Side,Mold,Cavity,Mold2,V1,V2,V3,V4
Left,#1,1,#1,7.231,0.569,0.522,1.441
Left,#1,1,#2,7.217,0.641,0.548,1.459
Left,#1,1,#3,7.239,0.687,0.55,1.499
Left,#1,1,#4,7.245,0.648,0.611,1.478
Left,#1,1,#5,7.223,0.594,0.606,1.342
Left,#1,2,#1,7.209,0.614,0.550,1.43
Left,#1,2,#2,7.244,0.645,0.546,1.541
Left,#1,2,#3,7.185,0.674,0.554,1.409
Left,#1,2,#4,7.246,0.690,0.632,1.4
Left,#1,2,#5,7.228,0.603,0.596,1.439
Left,#1,3,#1,7.173,0.557,0.514,1.389
Left,#1,3,#2,7.216,0.629,0.529,1.465
Left,#1,3,#3,7.233,0.701,0.562,1.309
Left,#1,3,#4,7.201,0.672,0.614,1.502
Left,#1,3,#5,7.192,0.593,0.589,1.469
Left,#1,4,#1,,,,
Left,#1,4,#2,,,,
Left,#1,4,#3,,,,
Left,#1,4,#4,,,,
Left,#1,4,#5,,,,
Left,#2,1,#1,7.272,0.657,0.648,1.49
Left,#2,1,#2,7.31,0.719,0.664,1.647
Left,#2,1,#3,7.244,0.700,0.617,1.537
Left,#2,1,#4,7.286,0.618,0.598,1.422
Left,#2,1,#5,7.283,0.577,0.582,1.517
Left,#2,2,#1,7.293,0.689,0.664,1.536
Left,#2,2,#2,7.272,0.684,0.629,1.437
Left,#2,2,#3,7.282,0.654,0.593,1.537
Left,#2,2,#4,7.285,0.616,0.593,1.434
Left,#2,2,#5,7.265,0.600,0.588,1.451
Left,#2,3,#1,7.296,0.687,0.669,1.628
Left,#2,3,#2,7.263,0.686,0.627,1.517
Left,#2,3,#3,7.283,0.687,0.598,1.419
Left,#2,3,#4,7.281,0.613,0.586,1.522
Left,#2,3,#5,7.302,0.620,0.625,1.584
Left,#2,4,#1,7.286,0.685,0.675,1.622
Left,#2,4,#2,7.259,0.685,0.607,1.538
Left,#2,4,#3,7.296,0.700,0.581,1.466
Left,#2,4,#4,7.276,0.604,0.569,1.381
Left,#2,4,#5,7.283,0.587,0.608,1.567
RIGHT,#1,1,#1,7.232,0.687,0.665,1.78
RIGHT,#1,1,#2,7.265,0.709,0.690,1.516
RIGHT,#1,1,#3,7.246,0.714,0.653,1.697
RIGHT,#1,1,#4,7.237,0.800,0.648,1.652
RIGHT,#1,1,#5,7.27,0.603,0.681,1.676
RIGHT,#1,2,#1,7.215,0.676,0.687,1.506
RIGHT,#1,2,#2,7.232,0.623,0.623,1.437
RIGHT,#1,2,#3,7.219,0.733,0.709,1.513
RIGHT,#1,2,#4,7.235,0.795,0.662,1.638
RIGHT,#1,2,#5,7.228,0.633,0.697,1.486
RIGHT,#1,3,#1,7.271,0.812,0.582,1.843
RIGHT,#1,3,#2,7.252,0.699,0.655,1.808
RIGHT,#1,3,#3,7.247,0.683,0.665,1.761
RIGHT,#1,3,#4,7.237,0.708,0.686,1.838
RIGHT,#1,3,#5,7.329,0.643,0.685,1.602
RIGHT,#1,4,#1,7.259,0.663,0.627,1.555
RIGHT,#1,4,#2,7.278,0.710,0.702,1.858
RIGHT,#1,4,#3,7.237,0.683,0.684,1.866
RIGHT,#1,4,#4,7.293,0.717,0.703,1.659
RIGHT,#1,4,#5,7.265,0.654,0.713,1.687
RIGHT,#2,1,#1,7.243,0.743,0.538,1.595
RIGHT,#2,1,#2,7.284,0.738,0.704,1.637
RIGHT,#2,1,#3,7.267,0.699,0.683,1.716
RIGHT,#2,1,#4,7.262,0.727,0.699,1.881
RIGHT,#2,1,#5,7.256,0.660,0.696,1.499
RIGHT,#2,2,#1,7.287,0.733,0.623,1.623
RIGHT,#2,2,#2,7.292,0.724,0.704,1.803
RIGHT,#2,2,#3,7.286,0.695,0.678,1.894
RIGHT,#2,2,#4,7.278,0.712,0.686,1.846
RIGHT,#2,2,#5,7.306,0.656,0.677,1.794
RIGHT,#2,3,#1,7.301,0.753,0.624,1.623
RIGHT,#2,3,#2,7.255,0.731,0.697,1.851
RIGHT,#2,3,#3,7.283,0.698,0.674,1.802
RIGHT,#2,3,#4,7.278,0.658,0.651,1.692
RIGHT,#2,3,#5,7.291,0.690,0.720,1.948
RIGHT,#2,4,#1,7.295,0.689,0.612,1.616
RIGHT,#2,4,#2,7.292,0.719,0.704,1.809
RIGHT,#2,4,#3,7.294,0.682,0.643,1.725
RIGHT,#2,4,#4,7.282,0.705,0.706,1.665
RIGHT,#2,4,#5,7.28,0.667,0.707,1.648
