CMG	Final SPK	526T_Side	526T_Max	626B_Side	626B_Max	626T_Side	626T_Max
	590	-55	40	-50	37	-48	44
750	390	-96	-3	-80	0	-93	1
799	412	-80	3	-63	0	-77	0
823	424	-78	9	-64	7	-82	0
804	419	-70	8	-63	3	-80	5
809	418	-76	5	-63	6	-78	3
807	418	-70	6	-64	2	-78	2
822	430	-77	12	-67	7	-81	7
798	417	-73	4	-65	3	-80	1
813	414	-77	5	-63	3	-76	4
815	425	-79	5	-63	4	-79	0
820	424	-82	8	-68	9	-80	3
807	412	-80	2	-66	3	-75	3
819	423	-69	10	-60	6	-72	5
810	420	-79	8	-62	3	-73	1
819	430	-74	11	-62	10	-77	7
809	424	-76	8	-63	5	-76	7
809	421	-77	8	-67	7	-82	5
801	427	-74	8	-64	6	-78	2
799	421	-75	7	-62	5	-72	2
805	423	-81	9	-64	6	-77	3
809	420	-76	4	-65	7	-82	0
824	426	-79	8	-66	7	-83	0
805	413	-71	5	-64	3	-80	3
822	433	-76	11	-62	9	-75	5
817	414	-78	4	-65	3	-75	1
812	412	-74	3	-61	1	-71	-2
811	414	-76	5	-63	5	-77	-2
807	420	-78	8	-66	8	-75	3
826	424	-77	7	-67	7	-80	4
811	424	-75	8	-63	6	-77	4
820	422	-77	8	-64	5	-72	5
812	419	-83	7	-68	6	-78	5
797	418	-73	6	-65	1	-74	1
836	438	-73	13	-63	10	-75	10
820	435	-76	11	-61	6	-75	6
803	407	-80	2	-65	-1	-72	-5
822	436	-76	15	-62	8	-79	8
813	429	-71	10	-65	7	-78	5
820	426	-72	11	-61	9	-74	4
820	426	-79	9	-68	9	-77	5
818	421	-76	8	-61	5	-72	2
801	414	-75	5	-68	4	-85	0
807	422	-83	8	-66	5	-80	1
788	418	-68	4	-63	0	-70	-1
842	424	-61	9	-58	4	-70	1
819	430	-77	9	-62	8	-78	4
830	432	-70	11	-61	9	-71	4
820	431	-73	10	-59	8	-68	5
834	438	-73	15	-60	12	-74	8
826	430	-71	10	-62	8	-76	2
814	427	-81	9	-66	10	-76	4
803	421	-78	4	-66	4	-73	-1
832	441	-80	13	-64	15	-70	11
795	411	-71	3	-60	1	-68	-1
813	424	-74	8	-63	5	-73	0
805	428	-80	6	-66	10	-76	5
804	417	-75	4	-59	4	-73	-2
806	425	-78	5	-65	5	-80	0
803	422	-75	4	-60	4	-72	3
840	431	-86	9	-67	11	-80	7
818	425	-75	8	-63	3	-78	-1
806	423	-71	5	-65	2	-79	-1
817	425	-79	7	-66	7	-83	1
831	423	-78	7	-66	6	-77	2
825	426	-83	8	-69	10	-73	3
813	424	-78	5	-64	5	-78	4
808	424	-74	8	-60	5	-73	3
812	430	-76	9	-60	8	-75	7
813	431	-74	9	-61	10	-73	8
805	414	-74	5	-62	4	-69	0
802	421	-80	4	-64	4	-79	-2
812	422	-80	5	-67	7	-78	2
812	421	-75	9	-63	6	-77	4
795	429	-75	9	-66	10	-73	-1
800	410	-76	3	-67	2	-77	-3
800	419	-87	6	-66	6	-81	2
822	429	-79	9	-67	9	-77	7
820	441	-78	14	-62	10	-74	7
833	437	-81	9	-68	12	-81	8
814	431	-78	9	-66	10	-82	4
826	436	-83	13	-65	11	-76	9
806	431	-74	9	-61	9	-76	6
819	424	-81	9	-66	7	-85	8
801	425	-76	7	-63	4	-74	4
816	426	-78	9	-62	8	-76	6
812	429	-82	9	-64	9	-78	3
803	426	-82	6	-66	8	-75	-2
797	416	-77	5	-66	2	-79	-2
813	423	-79	7	-62	4	-78	-3
812	420	-77	3	-60	5	-74	-3
816	445	-77	15	-60	13	-79	11
805	417	-79	7	-64	3	-81	0
807	422	-77	8	-64	6	-70	4
813	429	-74	9	-63	9	-80	4
817	424	-76	9	-65	9	-77	1
824	431	-78	13	-62	11	-81	8
813	422	-75	9	-66	7	-75	2
803	428	-77	9	-62	9	-74	2
825	431	-78	11	-64	9	-81	2
