Hz	Up 0.05 #1	Up 0.05 #2	Up 0.05 #3	Up 0.05 #4	Up 0.05 #5	Up 0.1 #1	Up 0.1 #2	Up 0.1 #3	Up 0.1 #4	Up 0.1 #5	NG #1	NG #2	NG #3	NG #4	NG #5	REF	UP	LOW	MASK
20	89.398	90.07	90.111	89.127	89.916	89.128	89.445	89.315	90.293	88.967	90.221	89.884	90.135	90.271	90.109	87.546	90.746	84.346	3.2
21.2	90.659	90.824	90.996	89.868	90.924	89.796	90.109	90.208	91.207	89.831	91.06	90.746	91.043	90.955	90.838	88.253	91.453	85.053	3.2
22.4	90.941	91.547	91.682	90.707	91.635	90.791	90.837	90.789	91.865	90.574	91.789	91.468	91.804	91.788	91.58	88.964	92.164	85.764	3.2
23.6	91.99	92.106	92.325	91.385	92.497	91.352	91.767	91.507	92.668	91.275	92.425	92.093	92.438	92.392	92.329	89.843	93.043	86.643	3.2
25	92.701	93.041	93.051	92.162	93.182	92.09	92.588	92.277	93.339	92.125	93.211	92.902	93.124	93.19	93.254	90.473	93.673	87.273	3.2
26.5	93.261	93.697	93.758	92.912	93.812	93.045	93.357	93.09	94.043	92.895	94.035	93.823	93.987	94.042	93.847	91.337	94.537	88.137	3.2
28	94.147	94.451	94.684	93.588	94.675	93.653	93.999	93.902	94.816	93.6	94.719	94.476	94.651	94.687	94.678	92.006	95.206	88.806	3.2
30	95.059	95.295	95.532	94.572	95.563	94.617	94.881	94.822	95.675	94.564	95.65	95.43	95.546	95.671	95.597	93.007	96.207	89.807	3.2
31.5	95.676	95.958	96.228	95.269	96.128	95.302	95.555	95.476	96.287	95.231	96.252	96.086	96.272	96.256	96.236	93.627	96.827	90.427	3.2
33.5	96.379	96.654	97	96.073	96.934	96.09	96.303	96.252	97.087	95.951	97.132	96.971	97.061	97.202	97.044	94.51	97.71	91.31	3.2
35.5	97.096	97.484	97.757	96.871	97.657	96.851	97.001	96.928	97.885	96.763	97.907	97.714	97.813	97.974	97.79	95.276	98.476	92.076	3.2
37.5	97.879	97.942	98.471	97.597	98.3	97.565	97.745	97.699	98.567	97.383	98.608	98.413	98.481	98.669	98.462	95.97	99.17	92.77	3.2
40	98.656	98.777	99.226	98.448	99.152	98.368	98.634	98.437	99.331	98.281	99.442	99.235	99.294	99.518	99.301	96.904	99.604	94.204	2.7
42.5	99.404	99.297	100.002	99.207	99.896	99.194	99.347	99.21	100.106	98.994	100.247	100.036	100.035	100.3	100.083	97.701	100.401	95.001	2.7
45	100.125	100.19	100.703	99.852	100.54	99.814	100.042	99.894	100.751	99.773	100.862	100.775	100.769	101.024	100.789	98.48	101.18	95.78	2.7
47.5	100.75	100.817	101.378	100.614	101.198	100.544	100.722	100.64	101.417	100.403	101.535	101.529	101.47	101.632	101.528	99.181	101.881	96.481	2.7
50	101.396	101.392	102.02	101.252	101.785	101.165	101.332	101.22	102.016	101.076	102.195	102.126	102.088	102.277	102.144	99.857	102.557	97.157	2.7
53	102.078	102.125	102.678	101.963	102.469	101.874	102.002	101.892	102.665	101.716	102.884	102.79	102.783	103.064	102.793	100.569	103.269	97.869	2.7
56	102.703	102.727	103.299	102.657	103.003	102.546	102.684	102.547	103.301	102.342	103.584	103.494	103.42	103.694	103.482	101.342	104.042	98.642	2.7
60	103.503	103.492	104.103	103.468	103.785	103.366	103.46	103.366	104.095	103.204	104.418	104.303	104.175	104.459	104.302	102.197	104.897	99.497	2.7
63	104.019	104.094	104.638	104.077	104.326	103.947	104	103.887	104.595	103.76	104.952	104.895	104.745	105.016	104.909	102.836	105.536	100.136	2.7
