11. BRS-161014 Report check Function for TEST of KR Member  2023.08.31
================================================================================
## Sheet1
RESULT CHECK FUNCTION FOR TEST OF KR MEMBER													
〔bg=#B7DEE8〕No	〔bg=#B7DEE8〕Date	〔bg=#B7DEE8〕Type	〔bg=#B7DEE8〕Input	〔bg=#B7DEE8〕OK	〔bg=#B7DEE8〕NG							〔bg=#B7DEE8〕Total NG	〔bg=#B7DEE8〕NG rate
					〔bg=#B7DEE8〕Aging	〔bg=#B7DEE8〕Frequency				〔bg=#B7DEE8〕Hearing			
						〔bg=#B7DEE8〕SPL	〔bg=#B7DEE8〕THD	〔bg=#B7DEE8〕SPL+THD	〔bg=#B7DEE8〕SPL+THD+F0	〔bg=#B7DEE8〕Touch	〔bg=#B7DEE8〕Noise		
1	31-Aug	1	27	5	0	1	6	1	0	5	9	22	〔fg=#FF0000,b〕81.48%
					〔fg=#FF0000〕0.00%	〔fg=#FF0000〕3.70%	〔fg=#FF0000〕22.22%	〔fg=#FF0000〕3.70%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕18.52%	〔fg=#FF0000〕33.33%		
2		3	26	9	0	0	2	0	0	5	10	17	〔fg=#FF0000,b〕65.38%
					〔fg=#FF0000〕0.00%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕7.69%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕19.23%	〔fg=#FF0000〕38.46%		
3		4	33	20	0	0	1	1	1	5	5	13	〔fg=#FF0000,b〕39.39%
					〔fg=#FF0000〕0.00%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕3.03%	〔fg=#FF0000〕3.03%	〔fg=#FF0000〕3.03%	〔fg=#FF0000〕15.15%	〔fg=#FF0000〕15.15%		
4		5	30	14	1	0	2	0	0	5	8	16	〔fg=#FF0000,b〕53.33%
					〔fg=#FF0000〕3.33%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕6.67%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕16.67%	〔fg=#FF0000〕26.67%		
5		6	28	13	0	0	1	1	1	2	10	15	〔fg=#FF0000,b〕53.57%
					〔fg=#FF0000〕0.00%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕3.57%	〔fg=#FF0000〕3.57%	〔fg=#FF0000〕3.57%	〔fg=#FF0000〕7.14%	〔fg=#FF0000〕35.71%		
6		7	32	12	0	0	4	0	0	5	11	20	〔fg=#FF0000,b〕62.50%
					〔fg=#FF0000〕0.00%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕12.50%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕15.62%	〔fg=#FF0000〕34.38%		
6		15	24	9	0	0	3	0	0	5	7	15	〔fg=#FF0000,b〕62.50%
					〔fg=#FF0000〕0.00%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕12.50%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕0.00%	〔fg=#FF0000〕20.83%	〔fg=#FF0000〕29.17%		
