## Sheet2
〔b〕No	〔b〕Voltage: 881V			〔b〕Voltage: 430V		
	〔b〕CMG material	〔b〕CMG+CP	〔b〕CMG+CP magnetic again	〔b〕CMG material	〔b〕CMG+CP	〔b〕CMG+CP magnetic again
1	1048	1241	1314	848	1076	1101
2	1099	1337	1337	800	1005	1050
3	1079	1330	1344	817	1089	1084
4	1037	1300	1320	804	1035	1065
5	1053	1307	1318	828	1050	1100
6	1074	1320	1333	811	1087	1104
7	1058	1297	1313	766	976	1013
8	1089	1303	1309	801	1091	1036
9	1089	1306	1327	807	1020	1018
10	1078	1309	1328	780	1032	1045
11	1074	1296	1340	837	1095	1072
12	1112	1311	1338	842	1146	1142
13	1069	1304	1334	787	1065	1061
14	1074	1208	1318	797	1046	1075
15	1083	1307	1345	853	1077	1046
16	1096	1301	1332	854	1077	1075
17	1086	1309	1331	870	1091	1086
18	1071	1309	1329	795	996	1028
19	1072	1326	1317	857	1061	1046
20	1070	1308	1318	756	947	1002
21	1069	1313	1323	838	1042	1080
22	1094	1302	1338	863	1095	1079
23	1064	1218	1245	862	1005	1086
24	1081	1297	1345	804	1008	1032
25	1051	1286	1303	734	903	927
26	1082	1308	1320	793	954	1022
27	1080	1311	1335	860	1011	1095
28	1055	1289	1323	802	954	1098
29	1064	1263	1328	829	1051	1077
30	1093	1306	1327	787	951	1014
〔bg=#FABF8F〕MAX	〔bg=#FABF8F〕1112	〔bg=#FABF8F〕1337	〔bg=#FABF8F〕1345	〔bg=#FABF8F〕870	〔bg=#FABF8F〕1146	〔bg=#FABF8F〕1142
〔bg=#C4D79B〕MIN	〔bg=#C4D79B〕1037	〔bg=#C4D79B〕1208	〔bg=#C4D79B〕1245	〔bg=#C4D79B〕734	〔bg=#C4D79B〕903	〔bg=#C4D79B〕927
〔bg=#CCC0DA〕AVG	〔bg=#CCC0DA〕1074.8	〔bg=#CCC0DA〕1297.4	〔bg=#CCC0DA〕1324.4	〔bg=#CCC0DA〕816.1	〔bg=#CCC0DA〕1034.5	〔bg=#CCC0DA〕1058.6
