### NAME: 3. BRS-161014 Report TEST Compare process hearing C2 & E2 2023.01.13

## Sheet1
REPORT TEST COMPARE HEARING C2 & E2									
〔bg=#8DB4E2〕No	〔bg=#8DB4E2〕Date	〔bg=#8DB4E2〕Type	〔bg=#8DB4E2〕Input	〔bg=#8DB4E2〕G1	〔bg=#8DB4E2〕G2	〔bg=#8DB4E2〕G3	〔bg=#8DB4E2〕Room 		
1	13-Jan	E2	100	91	8	1	 27room 		
2				〔bg=#D9D9D9,fg=#FF0000〕91.0%	〔bg=#D9D9D9,fg=#FF0000〕8.0%	〔bg=#D9D9D9,fg=#FF0000〕1.0%			
3		C2		84	15	1	 22room 		
4				〔bg=#D9D9D9,fg=#FF0000〕84.0%	〔bg=#D9D9D9,fg=#FF0000〕15.0%	〔bg=#D9D9D9,fg=#FF0000〕1.0%			
*) G1,G2 & G3: C2 and E2 detect diffirent									
 ++  E2 91pcs  detect G1  but C2 detect G1=79pcs , G2=11 pcs , G3=1pcs 									
 ++  E2 8pcs  detect G2  but C2 detect G1=5pcs , G2=3pcs 									
 ++  E2 1pcs  detect G3  but C2 detect G2=1pcs 									
〔bg=#B8CCE4〕Date 	〔bg=#B8CCE4〕Model 			〔bg=#B8CCE4〕E2 room 			〔bg=#B8CCE4〕C2 room 		
				〔bg=#B8CCE4〕27 room 	〔bg=#B8CCE4〕28 room 	〔bg=#B8CCE4〕29 room 	〔bg=#B8CCE4〕21 room 	〔bg=#B8CCE4〕22 room 	〔bg=#B8CCE4〕23 room 
1/15/2024	BRS-161014/16	1	Noise	G2	G2	G2	G2	G2	G2
		2		G2	G2	G2	G2	G2	G2
		3		G2	G2	G2	G2	G2	G2
		4		G2	G2	G2	G2	G2	G2
		5		G2	G2	G2	G2	G2	G2
		6		G2	G2	G2	G2	G2	G2
		7	Touch 	G2	G2	G2	G2	G2	G2
		8		G2	G2	G2	G2	G2	G2
		9		G2	G2	G2	G2	G2	G2
		10		〔bg=#FFFF00〕G1	G2	G2	G2	G2	G2
		11		G2	G2	G2	G2	G2	G2
		12		G2	G2	G2	G2	G2	G2
		13		G2	G2	G2	G2	G2	G2
		14		G2	G2	G2	G2	G2	G2
		15		G2	G2	G2	G2	G2	G2
		16		G2	G2	G2	G2	G2	G2
		17		G2	G2	G2	G2	G2	G2
		18		G2	G2	G2	G2	G2	G2
		19		〔bg=#FFFF00〕G2.5(NG )	〔bg=#FFFF00〕G2.5(NG )	G2	G2	〔bg=#FFFF00〕G2.5(NG )	G2
		20		G2	G2	G2	G2	G2	G2
