## 23.8
〔bg=#C4BD97,b〕TITLE	〔b〕REPORT TEST MATERIAL CENTER DOME OF NEW VENDER GES TRADING OF MODEL MSU-L20L15-07																〔bg=#C4BD97,b〕Dept	ME
																	〔bg=#C4BD97,b〕Date	23/Aug
																	〔bg=#C4BD97,b〕Maker	Thao
〔bg=#C4BD97,b〕1. Purpose test																		
 - Test material center Dome new vender GES TRADING 																		
〔bg=#C4BD97,b〕2. Content of testing																		
 - Test material Center dome new vender GES TRADING 																		
 - Make sample and checking VP+CD ass'y																		
 - Checking tension and make final sample and checking function																		
 - Checking NTI and Relibity at A1																		
〔bg=#C4BD97,b〕3.Result test																		
	〔b〕1. RESULT CHECKING VP+CD SEPARATE AT PROCESS SUB1 VP+CD ASS'Y																	
	〔bg=#B7DEE8,b〕No	〔bg=#B7DEE8,b〕Date	〔bg=#B7DEE8,b〕Line	〔bg=#B7DEE8,b〕Type	〔bg=#B7DEE8,b〕Vender		〔bg=#B7DEE8,b〕Q'ty check	〔bg=#B7DEE8,b〕OK	〔bg=#B7DEE8,b〕NG	〔bg=#B7DEE8,b〕 NG Rate								
	1	22/Aug	E2-4B	Material CD	GES TRADING 		133	133	〔fg=#FF0000〕0	〔fg=#FF0000〕0.0%								
	2				Normal  (Ralon laser)		100	100	〔fg=#FF0000〕0	〔fg=#FF0000〕0.0%								
	1	24/Aug	E2-4B	Material CD	GES TRADING  (No laser)		87	87	〔fg=#FF0000〕0	〔fg=#FF0000〕0.0%								
	2				GES TRADING  ( laser)		135	135	〔fg=#FF0000〕0	〔fg=#FF0000〕0.0%								
	4				Normal   (Ralon laser)		140	140	〔fg=#FF0000〕0	〔fg=#FF0000〕0.0%								
	〔b〕2. RESULT TENSION TEST																	
	〔bg=#B7DEE8,b〕RESULT CHECKING TENSION														〔bg=#FCD5B4,b〕Min	〔bg=#FCD5B4,b〕Max	〔bg=#FCD5B4,b〕AVG	
	〔bg=#DDD9C4,b〕Date	〔bg=#DDD9C4,b〕Spec	〔bg=#DDD9C4,b〕Type Test		〔bg=#DDD9C4,b〕Sample #1	〔bg=#DDD9C4,b〕Sample #2	〔bg=#DDD9C4,b〕Sample #3	〔bg=#DDD9C4,b〕Sample #4	〔bg=#DDD9C4,b〕Sample #5	〔bg=#DDD9C4,b〕Sample #6	〔bg=#DDD9C4,b〕Sample #7	〔bg=#DDD9C4,b〕Sample #8	〔bg=#DDD9C4,b〕Sample #9	〔bg=#DDD9C4,b〕Sample #10				
	23/Aug	VP+CD   SPEC ≥ 1.2Kgf	GES TRADING		2.483	2.197	2.435	2.458	2.715	2.777	2.244	2.817	2.263	2.271	〔b〕2.20	〔b〕2.82	〔b〕2.47	
			Normal  (Ralon laser)		2.166	2.337	2.265	2.039	2.17	2.207	2.426	2.456	2.675		〔b〕2.04	〔b〕2.67	〔b〕2.30	
	25/Aug	VP+CD   SPEC ≥ 1.2Kgf	GES TRADING  (No laser)		2.518	2.393	2.417	2.206	2.583	2.669	2.727	2.238	2.297	2.019	〔b〕2.02	〔b〕2.73	〔b〕2.41	
			GES TRADING  ( laser)		3.312	3.512	3.518	3.331	3.032	3.34	3.63	3.509	3.345	3.502	〔b〕3.03	〔b〕3.63	〔b〕3.40	
			Normal  (Ralon laser)		3.379	3.023	3.181	3.214	3.31	3.11	2.968	3.159	2.951	3.027	〔b〕2.95	〔b〕3.38	〔b〕3.13	
	〔b〕3. RESULT CHECKING FUNCTION																	
	〔bg=#B7DEE8,b〕Date	〔bg=#B7DEE8,b〕Type	〔bg=#B7DEE8,b〕Input 	〔bg=#B7DEE8,b〕OK 	〔bg=#B7DEE8,b〕Sigma 				〔bg=#B7DEE8,b〕Hearing 		〔bg=#B7DEE8,b〕Total NG	〔bg=#B7DEE8,b〕Total NG   rate	〔bg=#B7DEE8,b〕Result decap NG hearing +Sigma  Check VP/CD separate					
					〔bg=#B7DEE8,b〕SPL 	〔bg=#B7DEE8,b〕THD 	〔bg=#B7DEE8,b〕SPL+THD 	〔bg=#B7DEE8,b〕SPL+THD+F0	〔bg=#B7DEE8,b〕Noise 	〔bg=#B7DEE8,b〕Touch 								
	23/Aug	GES TRADING    (No laser)  	133	129	0	0	0	0	3	1	4	3.0%	〔fg=#FF0000〕NG separate VP + CD:4pcs					
					〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕2.3%	〔fg=#FF0000〕0.8%								
		Normal  (Ralon laser)	1120	1095	0	0	0	0	15	10	25	2.2%						
					〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕1.3%	〔fg=#FF0000〕0.9%								
	25/Aug	GES TRADING  (No laser)	87	85	0	0	0	0	2	0	2	2.3%	〔fg=#FF0000〕NG separate VP+CD:1/2pcs					
					〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕2.3%	〔fg=#FF0000〕0.0%								
		GES TRADING  ( laser)	134	132	0	0	0	0	2	0	2	1.5%	〔fg=#FF0000〕NG separate VP + CD:0/2 pcs					
					〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕1.5%	〔fg=#FF0000〕0.0%								
		Normal Ralon  (laser)	135	135	0	0	0	0	0	0	0	0.0%						
					〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%								
		〔bg=#92D050〕Total Test GES TRADING	〔bg=#92D050〕354	〔bg=#92D050〕346	〔bg=#92D050〕0	〔bg=#92D050〕0	〔bg=#92D050〕0	〔bg=#92D050〕0	〔bg=#92D050〕7	〔bg=#92D050〕1	〔bg=#92D050〕8	〔bg=#92D050〕2.3%						
					〔bg=#92D050,fg=#FF0000〕0.0%	〔bg=#92D050,fg=#FF0000〕0.0%	〔bg=#92D050,fg=#FF0000〕0.0%	〔bg=#92D050,fg=#FF0000〕0.0%	〔bg=#92D050,fg=#FF0000〕2.0%	〔bg=#92D050,fg=#FF0000〕0.3%								
		〔bg=#92D050〕Total Test Normal Ralon	〔bg=#92D050〕1255	〔bg=#92D050〕1230	〔bg=#92D050〕0	〔bg=#92D050〕0	〔bg=#92D050〕0	〔bg=#92D050〕0	〔bg=#92D050〕15	〔bg=#92D050〕10	〔bg=#92D050〕25	〔bg=#92D050〕2.0%						
					〔bg=#92D050,fg=#FF0000〕0.0%	〔bg=#92D050,fg=#FF0000〕0.0%	〔bg=#92D050,fg=#FF0000〕0.0%	〔bg=#92D050,fg=#FF0000〕0.0%	〔bg=#92D050,fg=#FF0000〕1.2%	〔bg=#92D050,fg=#FF0000〕0.8%								
	〔b〕This is Pic NG VP+CD separate type CD GES TRADING																	
〔bg=#C4BD97,b〕4. Decision																		
〔b〕 => Result test material CD GES TRADING :																		
〔b〕 - Result checking process VP+CD ass'y All OK																		
〔b〕 - Result checking tension All OK																		
〔b〕 - Result checking Function CD GES TRADING NG 8/354pcs rate 2.3% same same NG normal rate 2% 																		
〔b〕 - Result checking NG VP+CD separate VP+CD after checking Function : Type No laser CD NG 5/7pcs type CD laser All OK 																		
〔b〕 => CAN USE material CD of new vender GES TRADING ( need laser material CD )																		

## NTI_종합
〔b〕MASK	
HZ	%
100	90
240	42
312	35
500	25
1000	10
2000	8
4500	6
7000	10
14000	8

## SPL DATA_(NTI
					〔b〕Test 1 : CD KR												〔b〕Test 2 : CD GES TRADING																						
	〔fg=#0000FF,b〕MASK 1	〔fg=#0000FF,b〕MASK 2	〔fg=#0000FF,b〕 ST 		〔fg=#0000FF,b〕Test 1  #1	〔fg=#0000FF,b〕Test 1  #2	〔fg=#0000FF,b〕Test 1  #3	〔fg=#0000FF,b〕Test 1  #4	〔fg=#0000FF,b〕Test 1  #5	〔fg=#0000FF,b〕Test 1  #6	〔fg=#0000FF,b〕Test 1  #7	〔fg=#0000FF,b〕Test 1  #8	〔fg=#0000FF,b〕Test 1  #9	〔fg=#0000FF,b〕Test 1  #10	〔fg=#FF0000,b〕CD KR AVG		〔fg=#0000FF,b〕Test 2 #1	〔fg=#0000FF,b〕Test 2 #2	〔fg=#0000FF,b〕Test 2 #3	〔fg=#0000FF,b〕Test 2 #4	〔fg=#0000FF,b〕Test 2 #5	〔fg=#0000FF,b〕Test 2 #6	〔fg=#0000FF,b〕Test 2 #7	〔fg=#0000FF,b〕Test 2 #8	〔fg=#0000FF,b〕Test 2 #9	〔fg=#0000FF,b〕Test 2 #10	〔fg=#FF0000,b〕CD GES TRADING  AVG		〔fg=#0000FF,b〕Normal  #1	〔fg=#0000FF,b〕Normal  #2	〔fg=#0000FF,b〕Normal  #3	〔fg=#0000FF,b〕Normal  #4	〔fg=#0000FF,b〕Normal  #5	〔fg=#0000FF,b〕Normal  #6	〔fg=#0000FF,b〕Normal  #7	〔fg=#0000FF,b〕Normal  #8	〔fg=#0000FF,b〕Normal  #9	〔fg=#0000FF,b〕Normal  #10	〔fg=#FF0000,b〕Normal  AVG
100	82.71099	76.71099	79.71099		80.04898	79.93996	79.79914	79.95516	79.99493	79.82959	79.91575	80.05882	80.05313	80.13379	79.97293		79.97823	80.03167	79.93758	79.98589	79.9249	79.76926	80.37083	79.75446	80.15102	80.27667	80.01805		80.03531	80.29487	80.34813	79.84681	80.24227	79.82441	79.97358	79.93358	80.04995	79.86401	80.04129
106	83.18303	77.18303	80.18303		80.52811	80.39678	80.28958	80.43866	80.49751	80.28125	80.34675	80.55056	80.54844	80.6237	80.45013		80.42825	80.50891	80.27553	80.47206	80.39754	80.2384	80.8123	80.19027	80.62128	80.73876	80.46833		80.52121	80.7561	80.81051	80.34182	80.7161	80.31762	80.46626	80.44176	80.51718	80.35554	80.52441
112	83.73315	77.73315	80.73315		81.07238	80.93586	80.85064	81.00863	81.04292	80.8129	80.9191	81.10695	81.08706	81.17112	81.00076		80.98037	81.05574	80.86335	81.02926	80.93256	80.801	81.31781	80.74003	81.14807	81.27761	81.01458		81.07683	81.29277	81.35212	80.89431	81.25569	80.8605	81.01204	80.99247	81.06666	80.90417	81.07076
118	84.73254	78.73254	81.73254		82.06412	81.91389	81.85901	81.99857	82.06156	81.79783	81.91893	82.09608	82.06861	82.17375	81.99524		81.95774	82.0491	81.8953	82.01487	81.92153	81.81535	82.29582	81.75767	82.15072	82.25385	82.01120		82.07734	82.24899	82.33137	81.8922	82.23281	81.84612	82.03616	81.97441	82.05717	81.89439	82.05910
125	85.79511	79.79511	82.79511		83.13316	82.99395	83.00259	83.0736	83.11908	82.85873	83.00249	83.17076	83.12892	83.23793	83.07212		83.02609	83.11552	82.99655	83.0811	82.98278	82.88595	83.34166	82.86715	83.22814	83.30264	83.08276		83.16202	83.33403	83.37892	82.96943	83.29792	82.92012	83.08469	83.05811	83.15213	82.98528	83.13426
132	86.95128	80.95128	83.95128		84.3003	84.13323	84.18049	84.2168	84.26064	83.98985	84.16655	84.33892	84.2684	84.41757	84.22727		84.19785	84.25617	84.1983	84.22582	84.12266	84.02845	84.52972	84.03328	84.38964	84.45673	84.24386		84.28559	84.5156	84.53612	84.13076	84.44659	84.07506	84.23457	84.21791	84.33827	84.15483	84.29353
140	88.21762	82.21762	85.21762		85.54781	85.40116	85.46272	85.45685	85.51076	85.25642	85.44571	85.60572	85.5176	85.64493	85.48497		85.45765	85.52858	85.55763	85.47885	85.3732	85.29224	85.80586	85.32432	85.6571	85.72562	85.52010		85.54323	85.80014	85.79442	85.3777	85.68472	85.31576	85.4174	85.46863	85.61912	85.40645	85.54276
150	89.51027	83.51027	86.51027		86.81535	86.69183	86.76059	86.71627	86.78475	86.53006	86.7038	86.87479	86.78844	86.9096	86.75755		86.73296	86.80155	86.85129	86.75927	86.65121	86.5587	87.11462	86.6223	86.95542	87.0147	86.80620		86.8243	87.1151	87.07305	86.64672	86.93366	86.59424	86.69037	86.74982	86.90753	86.67343	86.82082
160	90.78010	84.78010	87.7801		88.0693	87.96514	88.02496	87.97516	88.04305	87.79222	87.96611	88.13318	88.02651	88.16578	88.01614		88.00069	88.0691	88.116	88.03385	87.92103	87.83601	88.39979	87.91395	88.21313	88.27657	88.07801		88.09546	88.42562	88.34038	87.90246	88.1921	87.87406	87.93417	88.02654	88.17857	87.93649	88.09059
170	92.07091	86.07091	89.07091		89.3897	89.27349	89.3273	89.28403	89.35501	89.10987	89.27349	89.44669	89.31481	89.4888	89.32632		89.29716	89.35368	89.43227	89.34497	89.2504	89.15861	89.68919	89.19484	89.51526	89.60068	89.38371		89.39994	89.74978	89.66617	89.23818	89.51544	89.19905	89.27925	89.3357	89.51964	89.26149	89.41646
180	93.45628	87.45628	90.45628		90.79976	90.69752	90.73549	90.72939	90.76886	90.5496	90.67924	90.87465	90.70982	90.91839	90.74627		90.71302	90.75028	90.82886	90.76964	90.70097	90.53743	91.03135	90.53352	90.9022	91.00329	90.77706		90.81463	91.14484	91.1086	90.68233	90.93741	90.64168	90.72798	90.74806	90.96605	90.71545	90.84870
190	94.82078	88.82078	91.82078		92.16245	92.04525	92.08627	92.09461	92.13282	91.90501	92.02963	92.22263	92.04848	92.28452	92.10117		92.07151	92.08973	92.17466	92.12756	92.07199	91.88276	92.38815	91.87635	92.24115	92.35617	92.12800		92.18402	92.49126	92.47185	92.03344	92.28513	92.00743	92.10746	92.09034	92.33019	92.08684	92.20880
200	96.08454	90.08454	93.08454		93.43676	93.319	93.35052	93.36947	93.41174	93.18523	93.31338	93.49464	93.32017	93.5589	93.37598		93.33849	93.34701	93.44262	93.39706	93.3457	93.14017	93.64831	93.13639	93.501	93.6324	93.39291		93.4625	93.74323	93.74847	93.31048	93.56808	93.27996	93.38705	93.35092	93.61755	93.36611	93.48344
212	97.29167	91.29167	94.29167		94.65595	94.53439	94.55465	94.58407	94.62546	94.40079	94.53359	94.71701	94.54754	94.77793	94.59314		94.54513	94.56057	94.65481	94.62322	94.55552	94.33913	94.87698	94.32201	94.7066	94.85314	94.60371		94.67419	94.93034	94.96325	94.51491	94.77204	94.48477	94.59569	94.56634	94.83469	94.57615	94.69124
224	98.45304	92.45304	95.45304		95.81778	95.69978	95.71708	95.72812	95.76568	95.54273	95.6941	95.88375	95.71723	95.93013	95.74964		95.70904	95.72087	95.8114	95.8002	95.7011	95.49504	96.06734	95.48502	95.86717	96.02392	95.76811		95.83669	96.08783	96.10811	95.64266	95.91923	95.62661	95.739	95.72456	95.98035	95.72282	95.83879
236	99.54112	93.54112	96.54112		96.90461	96.78108	96.79689	96.79463	96.84413	96.60956	96.78092	96.96478	96.80935	97.00075	96.82867		96.7875	96.80223	96.8993	96.88873	96.75909	96.58856	97.18805	96.59403	96.9522	97.12293	96.85826		96.93074	97.17431	97.18223	96.70735	96.99063	96.69777	96.81079	96.79546	97.05564	96.78514	96.91301
250	100.61838	94.61838	97.61838		97.99456	97.88086	97.88286	97.88365	97.92462	97.69571	97.87327	98.05626	97.89975	98.09143	97.91830		97.8806	97.88669	97.9869	97.98591	97.83501	97.67792	98.28088	97.68063	98.04408	98.2222	97.94808		98.01405	98.26527	98.27443	97.78987	98.07451	97.78181	97.90158	97.88323	98.15267	97.87123	98.00087
