## SPL DATA
	Standard	#1 Test	#2 Test	#3 Test	#4 Test	#5 Test	#6 Test	#7 Test	#8 Test	#9 Test	#10 Test	#1 Thường	#2 Thường	#3 Thường	#4 Thường	#5 Thường	#6 Thường	#7 Thường	#8 Thường	#9 Thường	#10 Thường
20	87.794	88.727	88.759	89.54	89.154	89.04	89.334	88.489	88.29	88.754	89.443	88.901	88.859	88.992	88.894	89.018	89.147	88.834	88.786	89.476	89.24
21.2	88.756	89.603	89.61	90.332	90.054	89.911	90.195	89.265	89.116	89.647	90.322	89.85	89.735	89.678	89.525	89.908	90.031	89.522	89.904	90.278	90.086
22.4	89.444	90.216	90.47	91.167	90.749	90.65	90.949	89.913	89.896	90.511	91.124	90.549	90.503	90.201	90.463	90.574	90.768	90.506	90.379	91.145	90.971
23.6	90.051	91.062	91.072	91.789	91.532	91.449	91.567	90.779	90.653	91.136	91.76	91.217	91.124	91.034	91.034	91.231	91.543	91.127	91.102	91.789	91.599
25	90.728	91.705	91.919	92.484	92.196	92.236	92.336	91.474	91.424	91.878	92.661	91.96	91.837	91.843	91.835	91.902	92.228	91.907	91.947	92.536	92.302
26.5	91.66	92.473	92.743	93.318	92.979	93.022	92.962	92.132	92.212	92.644	93.308	92.769	92.667	92.574	92.611	92.692	93.061	92.65	92.652	93.298	93.204
28	92.338	93.158	93.576	94.11	93.677	93.711	93.77	92.955	92.918	93.303	94.108	93.467	93.421	93.319	93.434	93.445	93.766	93.297	93.274	94.083	93.879
30	93.288	94.097	94.442	95.01	94.577	94.54	94.72	93.865	93.827	94.32	95.012	94.426	94.375	94.167	94.261	94.372	94.582	94.124	94.287	94.991	94.735
31.5	93.86	94.704	95.093	95.51	95.226	95.331	95.327	94.592	94.482	95	95.733	95.034	94.892	94.799	94.92	95.019	95.293	94.866	94.837	95.642	95.319
33.5	94.728	95.537	95.825	96.292	96.104	96.029	96.165	95.347	95.314	95.764	96.458	95.969	95.701	95.579	95.695	95.798	96.175	95.712	95.656	96.52	96.216
35.5	95.468	96.269	96.62	97.015	96.862	96.819	96.917	96.015	96.091	96.53	97.226	96.642	96.438	96.289	96.416	96.517	97.05	96.462	96.379	97.375	96.999
37.5	96.224	96.954	97.338	97.668	97.487	97.599	97.636	96.758	96.868	97.227	97.995	97.307	97.168	96.993	97.213	97.227	97.589	97.152	97.094	97.961	97.686
40	97.12	97.76	98.212	98.498	98.267	98.396	98.408	97.584	97.659	98.145	98.797	98.12	97.966	97.779	97.984	98.071	98.456	97.986	97.866	98.815	98.563
42.5	97.939	98.567	99.046	99.251	99.066	99.126	99.214	98.404	98.431	98.851	99.576	98.928	98.763	98.54	98.805	98.935	99.176	98.78	98.651	99.614	99.325
45	98.606	99.261	99.749	99.968	99.79	99.827	99.905	99.071	99.158	99.648	100.399	99.647	99.421	99.239	99.475	99.545	99.971	99.472	99.323	100.348	100.02
47.5	99.318	99.944	100.371	100.588	100.433	100.648	100.596	99.74	99.848	100.281	101.065	100.339	100.121	99.851	100.202	100.167	100.657	100.07	99.98	101.047	100.708
50	100.076	100.594	101.063	101.202	101.253	101.302	101.184	100.199	100.507	100.966	101.701	101.019	100.723	100.427	100.9	100.829	101.255	100.759	100.63	101.693	101.394
53	100.738	101.242	101.771	101.893	101.856	102.022	101.951	101.101	101.251	101.703	102.399	101.671	101.453	101.164	101.523	101.507	101.924	101.406	101.28	102.415	102.061
56	101.505	101.861	102.421	102.519	102.447	102.698	102.594	101.688	102.106	102.409	103.07	102.376	102.07	101.804	102.185	102.186	102.71	102.095	101.988	103.157	102.672
60	102.367	102.712	103.264	103.278	103.301	103.53	103.477	102.608	102.779	103.242	103.96	103.231	102.874	102.532	102.98	103.007	103.481	102.898	102.735	103.982	103.583
63	102.986	103.258	103.865	103.824	103.854	104.13	104.002	103.17	103.435	103.814	104.583	103.814	103.551	103.104	103.584	103.558	104.094	103.475	103.252	104.562	104.166
67	103.766	103.982	104.596	104.491	104.585	104.866	104.706	103.886	104.2	104.546	105.29	104.528	104.151	103.79	104.288	104.278	104.825	104.19	104.001	105.296	104.903
