## 26.11
〔b〕RESULT CHECK MACHINE ASS'Y YOKE+SMG																
〔bg=#C4D79B〕Date	〔bg=#C4D79B〕Time 	〔bg=#C4D79B〕Input	〔bg=#C4D79B〕Damage Yoke				〔bg=#C4D79B〕Ass'y offset Yoke				〔bg=#C4D79B〕Reveser Yoke				〔bg=#C4D79B〕Total NG	〔bg=#C4D79B,fg=#FF0000〕NG rate
			Head 1	Head 2	Head 3	Head 4	Head 1	Head 2	Head 3	Head 4	Head 1	Head 2	Head 3	Head 4		
19/Nov	1st	40	0	0	2	0	0	0	0	0	0	0	0	0	2	〔fg=#FF0000〕5.0%
	〔bg=#FFFF00〕Total	〔bg=#FFFF00〕40	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕5.0%
20/Nov	1st	60	3	0	0	0	0	0	0	0	0	0	0	0	3	〔fg=#FF0000〕5.0%
	2nd	40	2	3	4	1	0	0	0	0	0	0	0	0	10	〔fg=#FF0000〕25.0%
	〔bg=#FFFF00〕Total	〔bg=#FFFF00〕100	〔bg=#FFFF00〕5	〔bg=#FFFF00〕3	〔bg=#FFFF00〕4	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕13	〔bg=#FFFF00,fg=#FF0000〕13.0%
25/Nov	1st	20	1	0	1	0	0	0	0	0	0	0	0	0	2	〔fg=#FF0000〕10.0%
	〔bg=#FFFF00〕Total	〔bg=#FFFF00〕20	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕10.0%
27/Nov	1st	24	6	0	3	0	0	0	0	0	0	0	0	0	9	〔fg=#FF0000〕37.5%
	2nd	32	2	0	2	0	0	0	0	0	0	0	0	0	4	〔fg=#FF0000〕12.5%
	3rd	60	1	0	1	0	0	0	0	0	0	0	0	0	2	〔fg=#FF0000〕3.3%
	4th	108	0	0	0	0	0	0	1	0	0	0	0	0	1	〔fg=#FF0000〕0.9%
	5th	110	0	0	0	0	0	0	0	0	0	0	0	0	0	〔fg=#FF0000〕0.0%
	〔bg=#FFFF00〕Total	〔bg=#FFFF00〕334	〔bg=#FFFF00〕9	〔bg=#FFFF00〕0	〔bg=#FFFF00〕6	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕16	〔bg=#FFFF00,fg=#FF0000〕4.8%
28/Nov	1st	36	0	0	1	1	0	0	0	0	0	0	0	0	2	〔fg=#FF0000〕5.6%
	2nd	106	0	0	1	2	0	0	0	0	0	0	0	0	3	〔fg=#FF0000〕2.8%
	3rd	68	0	0	0	0	0	0	0	1	0	0	3	0	4	〔fg=#FF0000〕5.9%
	〔bg=#FFFF00〕Total	〔bg=#FFFF00〕210	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕3	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕3	〔bg=#FFFF00〕0	〔bg=#FFFF00〕9	〔bg=#FFFF00,fg=#FF0000〕4.3%
29/Nov	1st	200	0	1	2	0	0	0	2	0	0	0	0	0	5	〔fg=#FF0000〕2.5%
	2nd	80	0	1	0	0	0	0	2	0	0	0	0	0	3	〔fg=#FF0000〕3.8%
	3rd	40	0	0	0	1	0	0	1	1	0	0	0	0	3	〔fg=#FF0000〕7.5%
	4th	44	0	1	0	0	0	0	8	0	0	0	0	0	9	〔fg=#FF0000〕20.5%
	〔bg=#FFFF00〕Total	〔bg=#FFFF00〕364	〔bg=#FFFF00〕0	〔bg=#FFFF00〕3	〔bg=#FFFF00〕2	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕13	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕5.5%
