## Sheet1
- Change new base locate jig and balance ( Date 9-Oct ) at process laser cutting 								
	〔b〕RESULT CHECK NG AFTER SETTING MC CUTTING LASER SUP							
	〔bg=#C5D9F1,b〕Date	〔bg=#C5D9F1,b〕Line		〔bg=#C5D9F1,b〕Time	〔bg=#C5D9F1,b〕Q'Ty check	〔bg=#C5D9F1,b〕NG	〔bg=#C5D9F1,b〕NG Rate	〔bg=#C5D9F1,b〕Note
	24/Oct	E2-4A	Day shit	1st	100	0	〔fg=#FF0000〕0.0%	
				2nd	100	0	〔fg=#FF0000〕0.0%	
				3rd	100	0	〔fg=#FF0000〕0.0%	
				〔bg=#FFFF00〕Q'Ty 	〔bg=#FFFF00〕300	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	

## 161016 LAI
〔bg=#C5D9F1,b〕Date	〔bg=#C5D9F1,b〕Line		〔bg=#C5D9F1,b〕Time	〔bg=#C5D9F1,b〕Q'Ty check	〔bg=#C5D9F1,b〕OK	〔bg=#C5D9F1,b〕NG	〔bg=#C5D9F1,b〕NG Rate
10/Oct	E2-3B	Day shit	1st	200	199	1	〔fg=#FF0000〕0.5%
			2nd	200	198	2	〔fg=#FF0000〕1.0%
			〔bg=#FFFF00〕Q'Ty 	〔bg=#FFFF00〕400	〔bg=#FFFF00〕397	〔bg=#FFFF00〕3	〔bg=#FFFF00,fg=#FF0000〕0.8%
11/Oct	E2-3B	Day shit	1st	200	200	0	〔fg=#FF0000〕0.0%
			2nd	400	397	3	〔fg=#FF0000〕0.8%
			〔bg=#FFFF00〕Q'Ty 	〔bg=#FFFF00〕600	〔bg=#FFFF00〕597	〔bg=#FFFF00〕3	〔bg=#FFFF00,fg=#FF0000〕0.5%
14/Oct	E2-3B	Day shit	1st	200	200	0	〔fg=#FF0000〕0.0%
			〔bg=#FFFF00〕Q'Ty 	〔bg=#FFFF00〕200	〔bg=#FFFF00〕200	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%
15/Oct	E2-3B	Day shit	1st	120	120	0	〔fg=#FF0000〕0.0%
			〔bg=#FFFF00〕Q'Ty 	〔bg=#FFFF00〕120	〔bg=#FFFF00〕120	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%
