NAME: 17.1 BRS-161014 C2+E2  Report test Center Dome improve bending of Ralon vender 16.2.2024

---CONTENT---
## NG rate
〔bg=#BFBFBF,b〕TITLE	〔b〕REPORT TEST CD  IMPROVE  BENDING OF RALON VENDER   BRS - 161014												〔bg=#BFBFBF,b〕Dept	〔b〕ME
													〔bg=#BFBFBF,b〕Date	〔b〕16/Feb
													〔bg=#BFBFBF,b〕Marker	〔b〕Thuy
〔bg=#BFBFBF,b〕I. Purpose.														
 - To check CD improve bending lot of Ralon vender can or can not use? Because C2 test function NG high														
〔bg=#BFBFBF,b〕II. Content.														
 - E2 and C2 use CD improve lot of Ralon vender to make sample at sub 1														
 - Move make final and checking function => compare NG rate of function of Ralon and GES vender  ( only use AWF machine #1)														
〔bg=#BFBFBF,b〕III. Result 														
	〔b〕1. Result checking vision VP+CD of Sub 1													
	〔bg=#95B3D7,b〕Factory  LINE	〔bg=#B8CCE4,b〕Type	〔bg=#B8CCE4,b〕Input 	〔bg=#B8CCE4,b〕OK	〔bg=#B8CCE4,b〕NG type		〔bg=#B8CCE4,b〕Vision abnormal	〔bg=#B8CCE4,b〕Total NG	〔bg=#B8CCE4,fg=#FF0000,b〕NG rate					
					〔bg=#B8CCE4,b〕VP separate	〔bg=#B8CCE4,b〕Dome damage								
	E2	Test CD of Ralon	112	112	0	0	25	0	〔fg=#FF0000〕0.0%					
		Normal CD of Ges	112	111	1	0	0	1	〔fg=#FF0000〕0.9%					
	〔b〕Picture vision abnormal of CD Ralon vender													
	〔bg=#95B3D7,b〕Factory  LINE	〔bg=#95B3D7〕Type 	〔bg=#95B3D7〕Input 	〔bg=#95B3D7〕OK 	〔bg=#95B3D7〕Vision VP/CD 	〔bg=#95B3D7,fg=#FF0000〕Total NG 	〔bg=#95B3D7,fg=#FF0000〕NG Rate 							
					〔bg=#95B3D7〕Glue not enough  									
	C2	Test CD supplier Ralon	112	112	0	〔fg=#FF0000〕0	〔fg=#FF0000〕0.00%							
		Normal CD supplier GES 	112	112	0	〔fg=#FF0000〕0	〔fg=#FF0000〕0.00%							
	〔b〕2. Result checking Function													
	〔bg=#95B3D7,b〕Factory  LINE	〔bg=#95B3D7,b〕Type	〔bg=#95B3D7,b〕Input 	〔bg=#95B3D7,b〕OK 	〔bg=#95B3D7,b〕Sigma 				〔bg=#95B3D7,b〕Hearing 		〔bg=#95B3D7,b〕Total NG	〔bg=#95B3D7,b〕Total NG rate		
					〔bg=#95B3D7,b〕SPL 	〔bg=#95B3D7,b〕THD 	〔bg=#95B3D7,b〕SPL+THD 	〔bg=#95B3D7,b〕SPL+THD+F0	〔bg=#95B3D7,b〕Noise 	〔bg=#95B3D7,b〕Touch 				
	E2-Total	〔bg=#FFFF00〕Total Test CD of Ralon  	〔bg=#FFFF00〕103	〔bg=#FFFF00〕99	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000,b〕3.9%		
					〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00,fg=#FF0000〕100.0%	〔bg=#FFFF00,fg=#FF0000〕0.0%				
		Normal CD of GES	105	105	0	0	0	0	0	0	0	〔fg=#FF0000,b〕0.0%		
					〔fg=#FF0000〕#DIV/0!	〔fg=#FF0000〕#DIV/0!	〔fg=#FF0000〕#DIV/0!	〔fg=#FF0000〕#DIV/0!	〔fg=#FF0000〕#DIV/0!	〔fg=#FF0000〕#DIV/0!				
