NAME: 17.2 BRS 161016 Report check dimension compare CD vendor Ralon and GES 2024.02.18

---CONTENT---
## Sheet1
〔b〕RESULT CHECK DIMENSION CD																							
Vendor	Sample	Dimension						〔bg=#FDE9D9〕MIN	〔bg=#FDE9D9〕MAX	〔bg=#FDE9D9〕AVG													
		P1	P2	P3	P4	P5	P6														1+5	2+4	3+6
Ralon	#1	0.596	0.588	0.658	0.671	0.675	0.642	〔bg=#FDE9D9〕0.588	〔bg=#FDE9D9〕0.675	〔bg=#FDE9D9〕0.632											1.27	1.26	1.30
	#2	0.596	0.655	0.654	0.622	0.628	0.635	〔bg=#FDE9D9〕0.596	〔bg=#FDE9D9〕0.655	〔bg=#FDE9D9〕0.625											1.22	1.28	1.29
	#3	0.672	0.674	0.654	0.599	0.599	0.656	〔bg=#FDE9D9〕0.599	〔bg=#FDE9D9〕0.674	〔bg=#FDE9D9〕0.637											1.27	1.27	1.31
	#4	0.644	0.652	0.653	0.627	0.635	0.629	〔bg=#FDE9D9〕0.627	〔bg=#FDE9D9〕0.653	〔bg=#FDE9D9〕0.640											1.28	1.28	1.28
	#5	0.606	0.599	0.662	0.671	0.664	0.637	〔bg=#FDE9D9〕0.599	〔bg=#FDE9D9〕0.671	〔bg=#FDE9D9〕0.635											1.27	1.27	1.30
	〔bg=#FDE9D9〕MIN	〔bg=#FDE9D9〕0.596	〔bg=#FDE9D9〕0.588	〔bg=#FDE9D9〕0.653	〔bg=#FDE9D9〕0.599	〔bg=#FDE9D9〕0.599	〔bg=#FDE9D9〕0.629																
	〔bg=#FDE9D9〕MAX	〔bg=#FDE9D9〕0.672	〔bg=#FDE9D9〕0.674	〔bg=#FDE9D9〕0.662	〔bg=#FDE9D9〕0.671	〔bg=#FDE9D9〕0.675	〔bg=#FDE9D9〕0.656																
	〔bg=#FDE9D9〕AVG	〔bg=#FDE9D9〕0.634	〔bg=#FDE9D9〕0.631	〔bg=#FDE9D9〕0.657	〔bg=#FDE9D9〕0.635	〔bg=#FDE9D9〕0.637	〔bg=#FDE9D9〕0.642																
Ges	#1	0.690	0.697	0.665	0.660	0.665	0.701	〔bg=#FDE9D9〕0.660	〔bg=#FDE9D9〕0.701	〔bg=#FDE9D9〕0.681											1.36	1.36	1.37
	#2	0.683	0.693	0.662	0.665	0.671	0.706	〔bg=#FDE9D9〕0.662	〔bg=#FDE9D9〕0.706	〔bg=#FDE9D9〕0.684											1.35	1.36	1.37
	#3	0.648	0.657	0.697	0.668	0.681	0.649	〔bg=#FDE9D9〕0.648	〔bg=#FDE9D9〕0.697	〔bg=#FDE9D9〕0.673											1.33	1.32	1.35
	#4	0.674	0.690	0.677	0.667	0.675	0.679	〔bg=#FDE9D9〕0.667	〔bg=#FDE9D9〕0.690	〔bg=#FDE9D9〕0.679											1.35	1.36	1.36
	#5	0.682	0.674	0.638	0.675	0.677	0.710	〔bg=#FDE9D9〕0.638	〔bg=#FDE9D9〕0.710	〔bg=#FDE9D9〕0.674											1.36	1.35	1.35
	〔bg=#FDE9D9〕MIN	〔bg=#FDE9D9〕0.648	〔bg=#FDE9D9〕0.657	〔bg=#FDE9D9〕0.638	〔bg=#FDE9D9〕0.660	〔bg=#FDE9D9〕0.665	〔bg=#FDE9D9〕0.649																
	〔bg=#FDE9D9〕MAX	〔bg=#FDE9D9〕0.690	〔bg=#FDE9D9〕0.697	〔bg=#FDE9D9〕0.697	〔bg=#FDE9D9〕0.675	〔bg=#FDE9D9〕0.681	〔bg=#FDE9D9〕0.710																
	〔bg=#FDE9D9〕AVG	〔bg=#FDE9D9〕0.669	〔bg=#FDE9D9〕0.677	〔bg=#FDE9D9〕0.667	〔bg=#FDE9D9〕0.668	〔bg=#FDE9D9〕0.673	〔bg=#FDE9D9〕0.680																
〔bg=#FFFF00〕GAP  Ralon - Ges	〔bg=#FFFF00〕MIN	〔bg=#FFFF00〕-0.052	〔bg=#FFFF00〕-0.068	〔bg=#FFFF00〕0.015	〔bg=#FFFF00〕-0.061	〔bg=#FFFF00〕-0.066	〔bg=#FFFF00〕-0.020																
