## Sheet1
〔b〕REPORT TEST NEW DRY MACHINE WITH MATERIAL MAKE PRESS JIG											
〔bg=#B7DEE8〕Sample	〔bg=#B7DEE8〕Picture	〔bg=#B7DEE8〕Thickness	〔bg=#B7DEE8〕Name MTR				〔bg=#B7DEE8〕Note				〔b〕Method test and dry machine setting at 230◦C
				〔bg=#B7DEE8〕1min	〔bg=#B7DEE8〕3min	〔bg=#B7DEE8〕5min					
1		8.01mm	Bake line	52	72	88					
2		6.11mm	AL 6061	55	75	89					
3		10.66mm	MC Nylon Black	49	68	83					
〔bg=#FFFF00〕4		〔bg=#FFFF00〕16.31mm	〔bg=#FFFF00〕Ure Thare	〔bg=#FFFF00〕48	〔bg=#FFFF00〕65	〔bg=#FFFF00〕82	〔bg=#FFFF00,fg=#FF0000,b〕NG Melt				
5		12.66mm	Alcetan black	51	69	85					
6		5.06mm	PC Green	56	78	94					
7		6.79mm	Peek	54	76	92					
8		8.93mm	Teflon	50	70	87					
9		10.50mm	ABS	51	72	88					
10		9.15mm	White acetal	48	68	87					
11		5.9mm	My Mylon Blue	51	70	88					
12		4.98mm	PC Clean	51	75	91					
13		5.03mm	PUC	54	74	90					
14		5.01mm	PC Black	53	77	93					
15		5.00mm	PC Smog	53	76	92					
			〔bg=#FFFF00〕MIN	〔bg=#FFFF00〕48	〔bg=#FFFF00〕65	〔bg=#FFFF00〕82					
			〔bg=#FFFF00〕MAX	〔bg=#FFFF00〕56	〔bg=#FFFF00〕78	〔bg=#FFFF00〕94					
