## Summury
〔bg=#C6E0B4,b〕Date	〔bg=#C6E0B4,b〕Line	〔bg=#C6E0B4,b〕VP mold	〔bg=#C6E0B4,b〕IR	〔bg=#C6E0B4,b〕Lot date	〔bg=#C6E0B4,b〕Sub 1-Laser cutting VP				〔bg=#C6E0B4,b〕Vision VP+CD 		〔bg=#C6E0B4,b〕Total NG sub 1	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate sub 1	〔bg=#C6E0B4,b〕Input	〔bg=#C6E0B4,b〕Air leak	〔bg=#C6E0B4,b〕Sigma			〔bg=#C6E0B4,b〕Hearing		〔bg=#C6E0B4,b〕Total NG function	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate function	
					〔b〕Input	〔b〕VP/CD separate	〔bg=#FFFF00,b〕VP bending check by VP ass'y guige	〔bg=#FFFF00,fg=#FF0000,b〕Bending rate	〔b〕VP+CD separate	〔fg=#FF0000,b〕VP+CD separate  Rate					〔b〕SPL	〔b〕THD	〔b〕SPL+THD	〔b〕Noise	〔b〕Touch			
6/27/2024	E2-3B	VP #2		23/6	1200	0	〔bg=#FFFF00〕34	〔bg=#FFFF00,fg=#FF0000〕2.8%		〔bg=#FFFF00,fg=#FF0000〕0.0%	41	〔fg=#FF0000〕3.4%	1137		0	1	0	33	6	40	〔fg=#FF0000〕3.5%	
		VP #4		23/6	1160	1	〔bg=#FFFF00〕121	〔bg=#FFFF00,fg=#FF0000〕10.4%		〔bg=#FFFF00,fg=#FF0000〕0.0%	122	〔fg=#FF0000〕10.5%	1018		0	0	0	45	7	52	〔fg=#FF0000〕5.1%	
		VP #6		23/6	1200	0	〔bg=#FFFF00〕53	〔bg=#FFFF00,fg=#FF0000〕4.4%		〔bg=#FFFF00,fg=#FF0000〕0.0%	54	〔fg=#FF0000〕4.5%	1144		0	0	1	26	6	33	〔fg=#FF0000〕2.9%	
		〔bg=#F4B084〕VP #7 (Improve mold)		〔bg=#F4B084〕23/6	〔bg=#F4B084〕1154	〔bg=#F4B084〕0	〔bg=#F4B084〕689	〔bg=#F4B084,fg=#FF0000〕59.7%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕735	〔bg=#F4B084,fg=#FF0000〕63.7%	464		0	0	0	12	2	14	〔fg=#FF0000〕3.0%	
		VP #9 (Improve mold)		23/6	1176	0	〔bg=#FFFF00〕5	〔bg=#FFFF00,fg=#FF0000〕0.4%		〔bg=#FFFF00,fg=#FF0000〕0.0%	29	〔fg=#FF0000〕2.5%	1139		0	1	0	31	8	40	〔fg=#FF0000〕3.5%	
		VP #10		23/6	1197	0	〔bg=#FFFF00〕82	〔bg=#FFFF00,fg=#FF0000〕6.9%		〔bg=#FFFF00,fg=#FF0000〕0.0%	85	〔fg=#FF0000〕7.1%	1084		1	1	0	18	4	24	〔fg=#FF0000〕2.2%	
7/1/2024	E2-3B	VP #2		26/6	1200	0	〔bg=#FFFF00〕14	〔bg=#FFFF00,fg=#FF0000〕1.2%		〔bg=#FFFF00,fg=#FF0000〕0.0%	15	〔fg=#FF0000〕1.2%	1168	2	0	0	0	38	0	40	〔fg=#FF0000〕3.4%	
		〔bg=#F4B084〕VP #4 (Improve)		〔bg=#F4B084〕26/6	〔bg=#F4B084〕1200	〔bg=#F4B084〕0	〔bg=#F4B084〕504	〔bg=#F4B084,fg=#FF0000〕42.0%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕506	〔bg=#F4B084,fg=#FF0000〕42.2%	659	0	0	0	0	31	0	31	〔fg=#FF0000〕4.7%	NG high
		VP #6 (Improve)		26/6	1200	0	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕1.7%		〔bg=#FFFF00,fg=#FF0000〕0.0%	23	〔fg=#FF0000〕1.9%	1178	0	0	1	0	38	0	39	〔fg=#FF0000〕3.3%	
		〔bg=#F4B084〕VP #7 (Improve)		〔bg=#F4B084〕26/6	〔bg=#F4B084〕1500	〔bg=#F4B084〕0	〔bg=#F4B084〕418	〔bg=#F4B084,fg=#FF0000〕27.9%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕434	〔bg=#F4B084,fg=#FF0000〕28.9%	949	0	0	0	1	33	0	34	〔fg=#FF0000〕3.6%	
		〔bg=#F4B084〕VP #8 (Improve)		〔bg=#F4B084〕26/6	〔bg=#F4B084〕1200	〔bg=#F4B084〕0	〔bg=#F4B084〕436	〔bg=#F4B084,fg=#FF0000〕36.3%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕446	〔bg=#F4B084,fg=#FF0000〕37.2%	729	0	0	0	0	25	0	25	〔fg=#FF0000〕3.4%	
		VP #9 (Improve)		26/6	1500	0	〔bg=#FFFF00〕18	〔bg=#FFFF00,fg=#FF0000〕1.2%		〔bg=#FFFF00,fg=#FF0000〕0.0%	32	〔fg=#FF0000〕2.1%	1332	0	0	4	0	44	0	48	〔fg=#FF0000〕3.6%	
		VP #10 Test 1st		26/6	1200	0	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.2%		〔bg=#FFFF00,fg=#FF0000〕0.0%	46	〔fg=#FF0000〕3.8%	1146	0	0	0	1	36	0	37	〔fg=#FF0000〕3.2%	
7/2/2024	E2-3B	VP #10 Test 2nd		26/6	1200	0	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.1%		〔bg=#FFFF00,fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.3%								0	〔fg=#FF0000〕#DIV/0!	
		〔bg=#F4B084〕VP #7 (Improve) Test 2nd		〔bg=#F4B084〕26/6	〔bg=#F4B084〕1200	〔bg=#F4B084〕0	〔bg=#F4B084〕168	〔bg=#F4B084,fg=#FF0000〕14.0%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕170	〔bg=#F4B084,fg=#FF0000〕14.2%								0	〔fg=#FF0000〕#DIV/0!	
		VP #3 (Improve)		26/6	400	0	〔bg=#FFFF00〕10	〔bg=#FFFF00,fg=#FF0000〕2.5%		〔bg=#FFFF00,fg=#FF0000〕0.0%	24	〔fg=#FF0000〕6.0%								0	〔fg=#FF0000〕#DIV/0!	
		VP #9 Test 2nd		26/6	400	0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%								0	〔fg=#FF0000〕#DIV/0!	
		〔bg=#F4B084〕VP #4 Test 2nd		〔bg=#F4B084〕26/6	〔bg=#F4B084〕700	〔bg=#F4B084〕0	〔bg=#F4B084〕225	〔bg=#F4B084,fg=#FF0000〕32.1%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕230	〔bg=#F4B084,fg=#FF0000〕32.9%								0	〔fg=#FF0000〕#DIV/0!	
		VP #6 Test 2nd		26/6	800	0	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.5%		〔bg=#FFFF00,fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.6%								0	〔fg=#FF0000〕#DIV/0!	
		〔bg=#F4B084〕VP #8 Test 2nd		〔bg=#F4B084〕26/6	〔bg=#F4B084〕700	〔bg=#F4B084〕0	〔bg=#F4B084〕152	〔bg=#F4B084,fg=#FF0000〕21.7%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕152	〔bg=#F4B084,fg=#FF0000〕21.7%								0	〔fg=#FF0000〕#DIV/0!	
								〔bg=#FFFF00,fg=#FF0000〕#DIV/0!		〔bg=#FFFF00,fg=#FF0000〕#DIV/0!	0	〔fg=#FF0000〕#DIV/0!								0	〔fg=#FF0000〕#DIV/0!	
