## Sheet1
〔b〕MSU-L20S15-07 - TEST DOE LED UV VP+CD, LED UV COIL+VP+CD																									
〔bg=#C4D79B,b〕Process		〔bg=#C4D79B,b〕SPEC			〔bg=#C4D79B,b〕Type test		〔bg=#C4D79B,b〕Position 	〔bg=#C4D79B,b〕1	〔bg=#C4D79B,b〕2	〔bg=#C4D79B,b〕3	〔bg=#C4D79B,b〕4	〔bg=#C4D79B,b〕Tension test	〔bg=#C4D79B,b〕Sample 1	〔bg=#C4D79B,b〕Sample 2	〔bg=#C4D79B,b〕Sample 3	〔bg=#C4D79B,b〕Sample 4	〔bg=#C4D79B,b〕Sample 5	〔bg=#C4D79B,b〕Sample 6	〔bg=#C4D79B,b〕Sample 7	〔bg=#C4D79B,b〕Sample 8	〔bg=#C4D79B,b〕Sample 9	〔bg=#C4D79B,b〕Sample 10	〔bg=#FABF8F,b〕Max	〔bg=#FABF8F,b〕Min	〔bg=#FABF8F,b〕Avg
Led UV VP+CD		 PEAK 300 ~ 500 mW/㎠  Total 1,000 ~ 2,000 mJ/㎠ 			 Peak 200 mW/㎠		Peak	215	197	251	217	Normal VP+CD	1.713	1.892	1.911	1.809	1.856						〔bg=#FABF8F〕1.91	〔bg=#FABF8F〕1.71	〔bg=#FABF8F〕1.84
							Total	841	774	963	836	Test VP+CD	1.809	1.932	1.733	1.930	1.740	1.991	1.791	1.891	1.953	1.644	〔bg=#FABF8F〕1.99	〔bg=#FABF8F〕1.64	〔bg=#FABF8F〕1.84
Led UV Coil+VP+CD		 PEAK 300 ~ 500 mW/㎠  Total 2,000 ~ 3,000 mJ/㎠ 			 Peak 200 mW/㎠		〔bg=#C4D79B,b〕Position 	〔bg=#C4D79B,b〕1	〔bg=#C4D79B,b〕2	〔bg=#C4D79B,b〕3	〔bg=#C4D79B,b〕4	〔bg=#C4D79B,b〕Check Drying	〔bg=#C4D79B,b〕Input	〔bg=#C4D79B,b〕OK	〔bg=#C4D79B,b〕Glue not dry 100%	〔bg=#C4D79B,b〕NG rate									
							Peak	201	199	201	215	Normal 	10	0	10	100.0%									
							Total	1364	1342	1365	1421	Test 	10	0	10	100.0%									
TEST LED UV						NORMAL LED UV																			
〔b〕MSU-L20S15-07 - RESULT CHECKING FUNCTION																									
〔bg=#C4D79B,b〕Type		〔bg=#C4D79B,b〕Air leak			〔bg=#C4D79B,b〕Sigma								〔bg=#C4D79B,b〕Hearing (Voltage + 1V)						〔bg=#C4D79B,fg=#FF0000,b〕Total NG rate  (Hearing +1V)						
		〔bg=#C4D79B,b〕Input	〔bg=#C4D79B,b〕NG	〔bg=#C4D79B,fg=#FF0000,b〕NG rate	〔bg=#C4D79B,b〕Input	〔bg=#C4D79B,b〕SPL	〔bg=#C4D79B,b〕THD	〔bg=#C4D79B,b〕SPL+THD	〔bg=#C4D79B,b〕SPL+F0	〔bg=#C4D79B,b〕SPL+F0+THD	〔bg=#C4D79B,b〕Total NG	〔bg=#C4D79B,fg=#FF0000,b〕NG rate	〔bg=#C4D79B,b〕Input	〔bg=#C4D79B,b〕Noise	〔bg=#C4D79B,b〕Touch	〔bg=#C4D79B,b〕No sound	〔bg=#C4D79B,b〕Total NG	〔bg=#C4D79B,fg=#FF0000,b〕NG rate							
Test Led UV VP+CD		46	0	〔fg=#FF0000〕0.00%	46	0	0	0	0	0	0	〔fg=#FF0000〕0.00%	46	1	5	0	6	〔fg=#FF0000〕13.04%	〔fg=#FF0000〕13.04%						
Test Led UV Coil+VP+CD		65	0	〔fg=#FF0000〕0.00%	65	0	0	0	0	0	0	〔fg=#FF0000〕0.00%	65	8	24	0	32	〔fg=#FF0000〕49.23%	〔fg=#FF0000〕49.23%						
Normal		400	0	〔fg=#FF0000〕0.00%	400	0	0	0	1	0	1	〔fg=#FF0000〕0.25%	399	44	129	0	173	〔fg=#FF0000〕43.36%	〔fg=#FF0000〕43.61%						
