## 161016
TITLE		 REPORT TEST NEW DRY UV MACHINE 395NM - BRS-161016																Dept	ME
																		Date	2025-05-02 0:00:00
																		Marker	Le
I. Purpose.																			
 -  To test  new bond:  VE 562850 to improve NG separate VP+CD																			
II. Content.																			
  + Compare peak , total dry UV machine 																			
  + Tension test new bond with new dry UV machine 395  comapare with normal : 10pcs 																			
III. Result 																			
	1. RESULT CHECKING LED UV 																		
	Line	Led UV			Peak			Total 											
					Position 1	Position 2	Position 3	Position 1	Position 2	Position 3									
	C2-3B	Test ( 395nm)			55	55	74	280	275	367									
		Normal ( 365nm)	Led UV 1st Peak: 600~900mW/cm² Total: 2500~3800mW/cm		701			2824											
			Led UV 2nd Peak: 780~900mW/cm² Total: 2500~3500mW/cm²		889			3102											
			Led UV 3rd Peak: 780~900mW/cm² Total: 2500~3500mW/cm²		856			3272											
	2. RESULT CHECKING VISION VP+CD																		
	Type	Bonding amount	Input	OK	NG separate VP+CD	NG rate													
	Old bond (EA6116)	1.56mg	10	10	0	0													
	Test bond VE 562850	1.56mg	10	10	0	0													
	3.RESULT CHECK TENSION VP + CD ASS'Y ( Spec : 0.5kgf ) 																		
	Date	Line	Content 	Glue	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8	Sample #9	Sample #10	Min	Max	Average	Note 	
	2025-05-05 0:00:00	C2-3B	Test Dry UV 395nm 	VE 562850	1.907	1.702	1.868	1.499	1.63	1.924	1.82	1.903	2.016	2.155	1.499	2.155	1.8424	Pass	
			Normal ( Dry UV 365nm)		1.986	2.007	1.985	2.218	2.101	1.961	1.631	2.241	2.009	2.238	1.631	2.241	2.0377	Pass	
			Test Dry UV 395nm 	EA -16116	1.669	1.76	1.747	1.815	1.744	1.573	1.833	1.911	1.677	1.803	1.573	1.911	1.7532	Pass	
			Normal ( Dry UV 365nm)		1.668	1.782	1.804	1.545	1.888	1.859	1.382	1.942	1.944	1.947	1.382	1.947	1.7761	Pass	
IV. Decision																			
 Tension same with normal																			
