## 161016
〔bg=#BFBFBF,b〕TITLE		〔b〕 REPORT TEST NEW DRY UV MACHINE 395NM - BRS-161016																〔bg=#BFBFBF,b〕Dept	〔b〕ME
																		〔bg=#BFBFBF,b〕Date	〔b〕02/May
																		〔bg=#BFBFBF,b〕Marker	〔b〕Le
〔bg=#BFBFBF,b〕I. Purpose.																			
 -  To test  new bond:  																			
〔bg=#BFBFBF,b〕II. Content.																			
  + Compare peak , total dry UV machine 																			
  + Tension test new bond with new dry UV machine 395  comapare with normal : 10pcs 																			
〔bg=#BFBFBF,b〕III. Result 																			
	〔b〕1. RESULT CHECKING LED UV 																		
	〔bg=#BDD7EE,b〕Line	〔bg=#BDD7EE,b〕Led UV			〔bg=#BDD7EE,b〕Peak			〔bg=#BDD7EE,b〕Total 											
					〔bg=#BDD7EE,b〕Position 1	〔bg=#BDD7EE,b〕Position 2	〔bg=#BDD7EE,b〕Position 3	〔bg=#BDD7EE,b〕Position 1	〔bg=#BDD7EE,b〕Position 2	〔bg=#BDD7EE,b〕Position 3									
	〔b〕C2-3B	〔b〕Test ( 395nm)			55	55	74	280	275	367									
		〔b〕Normal ( 365nm)	〔b〕Led UV 1st  Peak: 600~900mW/cm²  Total: 2500~3800mW/cm		701			2824											
			〔b〕Led UV 2nd  Peak: 780~900mW/cm²  Total: 2500~3500mW/cm²		889			3102											
			〔b〕Led UV 3rd  Peak: 780~900mW/cm²  Total: 2500~3500mW/cm²		856			3272											
	〔b〕2. RESULT CHECKING VISION VP+CD																		
	〔bg=#BDD7EE,b〕Type	〔bg=#BDD7EE,b〕Bonding amount	〔bg=#BDD7EE,b〕Input	〔bg=#BDD7EE,b〕OK	〔bg=#BDD7EE,b〕NG separate VP+CD	〔bg=#BDD7EE,fg=#FF0000,b〕NG rate													
	Old bond (EA6116)	1.56mg	10	10	0	〔fg=#FF0000〕0.0%													
	〔bg=#F8CBAD〕Test bond VE 562850	〔bg=#F8CBAD〕1.56mg	〔bg=#F8CBAD〕10	〔bg=#F8CBAD〕10	〔bg=#F8CBAD〕0	〔bg=#F8CBAD,fg=#FF0000〕0.0%													
	〔b〕3.RESULT CHECK TENSION VP + CD ASS'Y ( Spec : 0.5kgf ) 																		
	〔bg=#BDD7EE,b〕Date	〔bg=#BDD7EE,b〕Line	〔bg=#BDD7EE,b〕Content 	〔bg=#BDD7EE,b〕Glue	〔bg=#BDD7EE,b〕Sample #1	〔bg=#BDD7EE,b〕Sample #2	〔bg=#BDD7EE,b〕Sample #3	〔bg=#BDD7EE,b〕Sample #4	〔bg=#BDD7EE,b〕Sample #5	〔bg=#BDD7EE,b〕Sample #6	〔bg=#BDD7EE,b〕Sample #7	〔bg=#BDD7EE,b〕Sample #8	〔bg=#BDD7EE,b〕Sample #9	〔bg=#BDD7EE,b〕Sample #10	〔bg=#BDD7EE,b〕Min	〔bg=#BDD7EE,b〕Max	〔bg=#BDD7EE,b〕Average	〔bg=#BDD7EE,b〕Note 	
	5/5/2025	C2-3B	〔bg=#FFFF00〕Test Dry UV 395nm 	VE 562850	1.907	1.702	1.868	1.499	1.630	1.924	1.820	1.903	2.016	2.155	〔bg=#DBDBDB〕1.499	〔bg=#A9D08E〕2.155	〔bg=#FFD966〕1.842	〔fg=#00B050,b〕Pass	
			Normal ( Dry UV 365nm)		1.986	2.007	1.985	2.218	2.101	1.961	1.631	2.241	2.009	2.238	〔bg=#DBDBDB〕1.631	〔bg=#A9D08E〕2.241	〔bg=#FFD966〕2.038	〔fg=#00B050,b〕Pass	
			〔bg=#FFFF00〕Test Dry UV 395nm 	EA -16116	1.669	1.760	1.747	1.815	1.744	1.573	1.833	1.911	1.677	1.803	〔bg=#DBDBDB〕1.573	〔bg=#A9D08E〕1.911	〔bg=#FFD966〕1.753	〔fg=#00B050,b〕Pass	
			Normal ( Dry UV 365nm)		1.668	1.782	1.804	1.545	1.888	1.859	1.382	1.942	1.944	1.947	〔bg=#DBDBDB〕1.382	〔bg=#A9D08E〕1.947	〔bg=#FFD966〕1.776	〔fg=#00B050,b〕Pass	
〔bg=#BFBFBF,b〕IV. Decision																			
〔fg=#0000FF,b〕 Tension same with normal																			
