## Report
〔bg=#BFBFBF,b〕TITLE	〔b〕REPORT TEST MATERIAL CD FROM NEW SUPPLIER GES TRADING _201507																〔bg=#BFBFBF,b〕Dept	〔b〕ME
																	〔bg=#BFBFBF,b〕Date	〔b〕28/Apr
																	〔bg=#BFBFBF,b〕Marker	〔b〕Le
〔bg=#BFBFBF,b〕I. Purpose.																		
 -  Test lot material CD from new supplier GES Trading OK or Not ?																		
〔bg=#BFBFBF,b〕II. Content.																		
TEST compare lot CD with other condition :																		
 + Plasma => PQC check dyne pen : 10EA																		
 + Test tension : 10EA																		
 + Test ass'y VP+CD check separate VP/CD 																		
 + Make sample and check funtion 																		
〔bg=#BFBFBF,b〕3.Result 																		
	〔b〕1. Result  Check Dyne Pen and Tension Test 																	
	〔bg=#B7DEE8,b〕No	〔bg=#B7DEE8,b〕Date 	〔bg=#B7DEE8,b〕Content 	〔bg=#B7DEE8,b〕Input	〔bg=#B7DEE8,b〕OK 	〔bg=#B7DEE8,b〕Dyne Pen 40	〔bg=#B7DEE8,b〕Tension Test	〔bg=#B7DEE8,b〕Total NG 	〔bg=#B7DEE8,b〕NG Rate									
						〔bg=#B7DEE8,b〕NG 	〔bg=#B7DEE8,b〕NG 											
	1	4/28/2025	〔bg=#FDE9D9〕New Supplier   GES Trading 	〔bg=#FDE9D9〕10	〔bg=#FDE9D9〕10	〔bg=#FDE9D9〕0		〔bg=#FDE9D9〕0	〔bg=#FDE9D9,fg=#FF0000〕0.0%									
						〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕0.0%											
	2		Normal   ( Supplier Ralon)	5	5	0		0	〔fg=#FF0000〕0.0%									
						〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%											
	〔b〕2. Result  Check Separate VP/CD 																	
	〔bg=#B7DEE8,b〕No	〔bg=#B7DEE8,b〕Date 	〔bg=#B7DEE8,b〕Content 	〔bg=#B7DEE8,b〕Input	〔bg=#B7DEE8,b〕OK 	〔bg=#B7DEE8,b〕NG separate VP/CD 	〔bg=#B7DEE8,b〕Total NG 											
	1	4/28/2025	〔bg=#FDE9D9〕New Supplier   GES Trading 	〔bg=#FDE9D9〕167	〔bg=#FDE9D9〕167	〔bg=#FDE9D9〕0	〔bg=#FDE9D9,fg=#FF0000〕0.0%											
	2		Normal   ( Supplier Ralon)	191	190.989528795812	2	〔fg=#FF0000〕1.0%											
	〔b〕3. Result check Function 																	
	〔bg=#B7DEE8,b〕No	〔bg=#B7DEE8,b〕Date Test	〔bg=#B7DEE8,b〕Content 	〔bg=#B7DEE8,b〕Input	〔bg=#B7DEE8,b〕OK	〔bg=#B7DEE8,b〕Sigma 				〔bg=#B7DEE8,b〕Hearing		〔bg=#B7DEE8,b〕Total NG	〔bg=#B7DEE8,b〕NG Rate	〔bg=#B7DEE8,b〕Note				
						〔bg=#B7DEE8,b〕SPL 	〔bg=#B7DEE8,b〕THD 	〔bg=#B7DEE8,b〕SPL+THD 	〔bg=#B7DEE8,b〕SPL+THD+F0	〔bg=#B7DEE8,b〕Noise 	〔bg=#B7DEE8,b〕Touch 							
	1	4/28/2025	〔bg=#FDE9D9〕New Supplier   GES Trading 	〔bg=#FDE9D9〕166	〔bg=#FDE9D9〕145	〔bg=#FDE9D9〕1	〔bg=#FDE9D9〕1	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕2	〔bg=#FDE9D9〕19	〔bg=#FDE9D9〕21	〔bg=#FDE9D9,fg=#FF0000〕12.7%					
						〔bg=#FDE9D9,fg=#FF0000〕0.6%	〔bg=#FDE9D9,fg=#FF0000〕0.6%	〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕1.2%	〔bg=#FDE9D9,fg=#FF0000〕11.4%							
	2		Normal   (Supplier Ralon)	189	184	0	0	0	0	3	2	5	〔fg=#FF0000〕2.6%					
						〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕1.6%	〔fg=#FF0000〕1.1%							
	〔b〕3.Result check tension VP + CD ass'y ( Spec : 1.2kgf ) 																	
	〔bg=#B7DEE8,b〕Date Test	〔bg=#B7DEE8,b〕Line	〔bg=#B7DEE8,b〕Content 	〔bg=#B7DEE8,b〕Sample #1	〔bg=#B7DEE8,b〕Sample #2	〔bg=#B7DEE8,b〕Sample #3	〔bg=#B7DEE8,b〕Sample #4	〔bg=#B7DEE8,b〕Sample #5	〔bg=#B7DEE8,b〕Sample #6	〔bg=#B7DEE8,b〕Sample #7	〔bg=#B7DEE8,b〕Sample #8	〔bg=#B7DEE8,b〕Sample #9	〔bg=#B7DEE8,b〕Sample #10	〔bg=#B7DEE8,b〕Min	〔bg=#B7DEE8,b〕Max	〔bg=#B7DEE8,b〕Average	〔bg=#B7DEE8,b〕Note 	
	8/23/2025	C2-2A	New Supplier   GES Trading 	2.830	3.263	3.263	3.427	3.012	2.570	3.324	3.007	3.963	2.784	〔bg=#D8E4BC〕2.570	〔bg=#76933C〕3.963	〔bg=#B1A0C7〕3.144		
			Normal   ( Supplier Ralon)	3.230	3.231	3.089	2.820	2.840						〔bg=#D8E4BC〕2.820	〔bg=#76933C〕3.231	〔bg=#B1A0C7〕3.042		
	〔b〕5. Result Decap NG Sigma +Hearing 																	
〔bg=#BFBFBF,b〕4. Decision																		

## Decap NG
〔bg=#C0C0C0,b〕TITLE		〔b〕REPORT ANALYZE NG FUNCTION MODEL L20S15- 07DT																〔bg=#C0C0C0,b〕Dept	ME			
																		〔bg=#C0C0C0,b〕Date	28-Apr-25			
																		〔bg=#C0C0C0,b〕Maker	〔b〕Trang			
〔bg=#C0C0C0,b〕1. Problem																						
-NG function MSU L20S15 - 07DT																						
〔bg=#C0C0C0,b〕2. Result NG 																						
〔bg=#C0C0C0,b〕3. Result analysis NG Function																						
〔fg=#FF0000〕- Data analysis  Sigma +Hearing																						〔fg=#FFFFFF,b〕No
	〔b〕TYPE				〔b〕Total	〔b〕Q'ty	〔b〕Portion	〔b〕Decap reason														
	Coil offset				15	4	26.7%															
	Particle ( NG Sigma)					1	6.7%															
	Don't know reason 					10	66.7%															
〔bg=#C0C0C0,b〕4. DECISION																						
			〔b〕RESULT ANALYSE NG FUNCTION OF MSU- L20S15 - 07DT       																			
			〔bg=#C5D9F1〕No	〔bg=#C5D9F1〕Reason NG	〔bg=#C5D9F1〕Q'ty analyse	〔bg=#C5D9F1〕Q'ty NG		〔bg=#C5D9F1,fg=#FF0000〕NG rate	〔bg=#C5D9F1〕Portion													
			1	Coil offset	15	4		〔fg=#FF0000〕0.266666666666667	〔fg=#FF0000〕0.266666666666667													
			2	Particle ( NG Sigma)		1		〔fg=#FF0000〕0.0666666666666667	〔fg=#FF0000〕0.0666666666666667													
			3	Don't know reason 		10		〔fg=#FF0000〕0.666666666666667	〔fg=#FF0000〕0.666666666666667													

## NTI_종합
〔b〕MASK	
HZ	%
100	90
240	42
312	35
500	25
1000	10
2000	8
4500	6
7000	10
14000	8

## SPL DATA_(NTI
	〔fg=#0000FF,b〕MASK 1	〔fg=#0000FF,b〕MASK 2	〔fg=#0000FF,b〕 ST 		〔fg=#0000FF,b〕Test GES #1	〔fg=#0000FF,b〕Test GES #2	〔fg=#0000FF,b〕Test GES #3	〔fg=#0000FF,b〕Test GES #4	〔fg=#0000FF,b〕Test GES #5	〔fg=#0000FF,b〕Test GES #6	〔fg=#0000FF,b〕Test GES #7	〔fg=#0000FF,b〕Test GES #8	〔fg=#0000FF,b〕Test GES #9	〔fg=#0000FF,b〕Test GES #10	〔fg=#FF0000,b〕Test GES AVG		〔fg=#0000FF,b〕Normal #1	〔fg=#0000FF,b〕Normal #2	〔fg=#0000FF,b〕Normal #3	〔fg=#0000FF,b〕Normal #4	〔fg=#0000FF,b〕Normal #5	〔fg=#0000FF,b〕Normal #6	〔fg=#0000FF,b〕Normal #7	〔fg=#0000FF,b〕Normal #8	〔fg=#0000FF,b〕Normal #9	〔fg=#0000FF,b〕Normal #10	〔fg=#FF0000,b〕Normal AVG
100	83.43065	77.43065	80.43065		80.7213	80.69947	80.64599	80.72502	80.47527	80.91408	80.97179	80.73619	80.94852	80.66045	80.74981		80.75494	80.25862	80.33228	80.57768	80.55508	80.14977	80.59479	80.16202	80.41814	80.05549	80.38588
106	83.90724	77.90724	80.90724		81.20051	81.18595	81.09174	81.21074	80.93671	81.34702	81.3943	81.24516	81.38933	81.09735	81.20988		81.18931	80.71878	80.77558	80.99686	81.01332	80.58715	81.01686	80.59596	80.83696	80.53121	80.82620
112	84.39031	78.39031	81.39031		81.6714	81.67235	81.56742	81.68673	81.41299	81.80787	81.87744	81.73482	81.86882	81.58254	81.68824		81.64929	81.18059	81.25048	81.48147	81.48426	81.06952	81.49416	81.07636	81.29922	81.00654	81.29919
118	85.26379	79.26379	82.26379		82.53943	82.56216	82.44911	82.56559	82.29907	82.68108	82.73627	82.63691	82.73734	82.47544	82.56824		82.50736	82.07744	82.12408	82.36086	82.34883	81.94823	82.3636	81.94239	82.15476	81.87081	82.16984
125	86.23584	80.23584	83.23584		83.53117	83.55715	83.4217	83.5613	83.29609	83.64128	83.69656	83.6476	83.69569	83.44153	83.54901		83.44862	83.05836	83.09158	83.34054	83.34737	82.916	83.33179	82.8919	83.11038	82.88535	83.14219
132	87.36890	81.36890	84.3689		84.66855	84.71306	84.54559	84.68252	84.42926	84.77111	84.79545	84.77622	84.80142	84.54883	84.67320		84.54482	84.20482	84.21751	84.45284	84.45149	84.05092	84.42778	83.99089	84.21998	84.02748	84.25885
140	88.58093	82.58093	85.58093		85.86967	85.91713	85.75152	85.86497	85.65281	85.98697	86.01807	85.97092	86.00788	85.77204	85.88120		85.7519	85.41144	85.42887	85.68349	85.6635	85.25989	85.65047	85.19576	85.43809	85.22604	85.47095
150	89.81533	83.81533	86.81533		87.10508	87.14769	86.97828	87.06817	86.89623	87.22524	87.23777	87.20181	87.22685	86.99127	87.10784		86.97524	86.6457	86.65555	86.9142	86.89679	86.48581	86.87502	86.41237	86.66811	86.46176	86.69906
160	91.07256	85.07256	88.07256		88.38074	88.41045	88.23792	88.34202	88.15864	88.48999	88.49453	88.47664	88.4796	88.2471	88.37176		88.24347	87.89981	87.92775	88.18305	88.14961	87.75635	88.13591	87.65869	87.92499	87.73521	87.96148
170	92.40540	86.40540	89.4054		89.7191	89.75739	89.59979	89.72303	89.49779	89.83682	89.84305	89.82985	89.83918	89.59733	89.72433		89.59757	89.244	89.30588	89.53303	89.49648	89.11081	89.48084	89.013	89.27416	89.08465	89.31404
180	93.81908	87.81908	90.81908		91.13332	91.18069	91.03545	91.13822	90.91149	91.25466	91.26345	91.24734	91.26334	91.02303	91.14510		91.02432	90.64052	90.7389	90.96109	90.92906	90.52949	90.90635	90.45361	90.70484	90.51141	90.73996
190	95.10697	89.10697	92.10697		92.42627	92.4778	92.33417	92.43441	92.19648	92.54928	92.5544	92.51645	92.56305	92.31307	92.43654		92.32414	91.92191	92.03588	92.25571	92.22256	91.82939	92.19789	91.75782	92.00175	91.81211	92.03592
200	96.34220	90.34220	93.3422		93.65577	93.71514	93.57137	93.67415	93.42355	93.78086	93.78378	93.75661	93.79896	93.54952	93.67097		93.56308	93.15171	93.26824	93.49437	93.45806	93.06402	93.4267	92.99257	93.23599	93.04488	93.26996
212	97.51176	91.51176	94.51176		94.81932	94.88873	94.74101	94.83326	94.5906	94.95224	94.95599	94.93406	94.97037	94.71813	94.84037		94.72764	94.32344	94.42885	94.65807	94.62816	94.2206	94.58765	94.15786	94.40291	94.20851	94.43437
224	98.59673	92.59673	95.59673		95.89109	95.96386	95.8091	95.88613	95.66026	96.0271	96.03255	96.00581	96.03781	95.79066	95.91044		95.8018	95.40943	95.48813	95.7303	95.69441	95.28897	95.66058	95.22748	95.47135	95.26792	95.50404
236	99.61407	93.61407	96.61407		96.89651	96.968	96.81208	96.89758	96.6671	97.03463	97.04302	97.0177	97.04623	96.79179	96.91746		96.81734	96.42163	96.48701	96.73567	96.69824	96.28435	96.66511	96.2207	96.46464	96.2635	96.50582
250	100.70030	94.70030	97.7003		97.97732	98.0516	97.89585	97.9817	97.74722	98.11902	98.12297	98.1174	98.12165	97.86191	97.99966		97.89871	97.50907	97.56749	97.8145	97.7767	97.35349	97.74148	97.28912	97.53261	97.33534	97.58185
265	101.94995	95.94995	98.94995		99.22091	99.29506	99.14173	99.22784	98.98745	99.36813	99.36956	99.36155	99.36366	99.09291	99.24288		99.14185	98.7552	98.80915	99.05298	99.02042	98.58469	98.98404	98.52165	98.76811	98.57121	98.82093
280	103.19746	97.19746	100.19746		100.45742	100.53178	100.38377	100.46513	100.22196	100.60987	100.60983	100.59702	100.60329	100.32217	100.48022		100.38213	99.99148	100.04556	100.2913	100.2601	99.81539	100.22361	99.75277	100.0002	99.8017	100.05642
300	104.50486	98.50486	101.50486		101.75066	101.82558	101.68391	101.75824	101.5122	101.90486	101.90513	101.89209	101.9014	101.60601	101.77401		101.67641	101.27812	101.33361	101.58838	101.55895	101.095	101.51428	101.03769	101.28916	101.08577	101.34574
315	105.83140	99.83140	102.8314		103.06123	103.13435	102.99828	103.06488	102.81516	103.22228	103.21707	103.20152	103.21363	102.91007	103.08385		102.98794	102.58855	102.64023	102.9017	102.87279	102.39258	102.80961	102.34404	102.59314	102.38552	102.65161
335	107.14235	101.14235	104.14235		104.35034	104.42044	104.29237	104.34895	104.09664	104.51754	104.51057	104.48864	104.50661	104.19619	104.37283		104.28252	103.88226	103.92575	104.19693	104.16464	103.66914	104.09663	103.62289	103.87734	103.66404	103.93821
355	108.44707	102.44707	105.44707		105.62541	105.69161	105.5721	105.61954	105.36315	105.79983	105.78857	105.7539	105.7813	105.4676	105.64630		105.56451	105.16578	105.2006	105.4795	105.4426	104.92878	105.36344	104.88879	105.14829	104.92795	105.21102
375	109.79885	103.79885	106.79885		106.93547	106.99551	106.88671	106.92767	106.66607	107.12088	107.10038	107.03999	107.08714	106.76905	106.95289		106.88302	106.49426	106.51549	106.80399	106.76175	106.22715	106.66481	106.19425	106.46119	106.23149	106.52374
400	111.13832	105.13832	108.13832		108.21885	108.27391	108.17191	108.21336	107.94837	108.42396	108.3869	108.27762	108.35939	108.03847	108.23127		108.17159	107.80725	107.81303	108.10935	108.0599	107.50833	107.93997	107.48277	107.7574	107.5165	107.81661
425	112.44947	106.44947	109.44947		109.45453	109.51456	109.40381	109.46192	109.19433	109.689	109.63231	109.43873	109.58125	109.25034	109.46208		109.41159	109.09441	109.07993	109.3803	109.32166	108.75549	109.1779	108.73872	109.02765	108.76931	109.07570
450	113.72435	107.72435	110.72435		110.63539	110.71125	110.56912	110.66721	110.39775	110.90994	110.83597	110.51548	110.75457	110.38603	110.63827		110.6028	110.3478	110.30875	110.6068	110.5376	109.96116	110.35355	109.9634	110.26633	109.9816	110.29298
475	114.97806	108.97806	111.97806		111.78564	111.87525	111.69093	111.84597	111.5639	112.09771	112.01537	111.55386	111.9045	111.44467	111.77778		111.76783	111.58189	111.51205	111.80203	111.71802	111.14449	111.47218	111.17077	111.48952	111.15768	111.48165
500	116.17090	110.17090	113.1709		112.8953	112.97746	112.78177	112.96757	112.66467	113.22405	113.13975	112.57768	112.99968	112.46117	112.86891		112.88528	112.75243	112.65378	112.94613	112.8421	112.26539	112.52256	112.32159	112.66332	112.25731	112.61099
530	117.35598	111.35598	114.35598		114.02021	114.06606	113.90743	114.08504	113.76341	114.33421	114.25889	113.65469	114.09183	113.53528	113.97171		114.01527	113.92024	113.79718	114.0958	113.9776	113.3826	113.59729	113.47692	113.84452	113.34679	113.74542
560	118.42587	112.42587	115.42587		115.05242	115.04701	114.9514	115.09918	114.76772	115.33363	115.27369	114.66899	115.08787	114.54774	114.98296		115.05154	114.98596	114.84083	115.14705	115.01437	114.41308	114.59844	114.53703	114.92635	114.35672	114.78714
600	119.40806	113.40806	116.40806		116.01833	115.95488	115.9412	116.03958	115.7084	116.25597	116.20982	115.65601	116.01163	115.52926	115.93251		116.02322	115.98683	115.8161	116.12957	115.98837	115.39791	115.55477	115.53693	115.93877	115.3334	115.77059
630	120.24034	114.24034	117.24034		116.85848	116.73534	116.81279	116.85266	116.53485	117.04674	117.01335	116.53724	116.80712	116.42451	116.76231		116.86736	116.85946	116.66906	116.98828	116.84286	116.27624	116.41709	116.41545	116.82016	116.21642	116.63724
670	120.93292	114.93292	117.93292		117.56854	117.40001	117.54951	117.5454	117.25199	117.71221	117.6907	117.28699	117.48209	117.20294	117.46904		117.5873	117.61261	117.40617	117.71735	117.57625	117.05225	117.17856	117.18221	117.57345	117.01381	117.39000
710	121.43694	115.43694	118.43694		118.1072	117.9121	118.10411	118.07617	117.81429	118.21476	118.20414	117.86421	117.99897	117.79996	118.00959		118.13839	118.20049	117.98077	118.27397	118.13766	117.68698	117.77864	117.79176	118.15553	117.67522	117.98194
750	120.76272	116.76272	118.76272		118.48258	118.27725	118.49062	118.44959	118.21998	118.55836	118.55833	118.28035	118.35892	118.2283	118.39043		118.52821	118.61725	118.39289	118.66108	118.5332	118.16186	118.21043	118.23794	118.56482	118.17604	118.40837
800	120.85084	116.85084	118.85084		118.63421	118.42607	118.64623	118.60397	118.4046	118.68078	118.69315	118.46846	118.5025	118.42604	118.54860		118.69227	118.7946	118.57766	118.81678	118.69783	118.40401	118.41388	118.45208	118.73989	118.43546	118.60245
850	120.73114	116.73114	118.73114		118.58777	118.38349	118.60044	118.56103	118.38881	118.60634	118.63084	118.45699	118.45065	118.42067	118.50870		118.65638	118.76112	118.55655	118.76636	118.65819	118.43632	118.41329	118.45812	118.7064	118.47965	118.58924
900	120.47409	116.47409	118.47409		118.41229	118.21743	118.42413	118.38933	118.24431	118.40626	118.44255	118.31773	118.27308	118.28304	118.34101		118.48804	118.58569	118.40003	118.58294	118.48412	118.32755	118.27694	118.32349	118.53533	118.37564	118.43798
950	120.14738	116.14738	118.14738		118.16498	117.98272	118.1749	118.14564	118.02428	118.13859	118.18507	118.10194	118.02592	118.06783	118.10119		118.24328	118.32531	118.16448	118.32256	118.23183	118.12812	118.05871	118.10242	118.28464	118.17704	118.20384
1000	119.83098	115.83098	117.83098		117.9213	117.75109	117.92582	117.9053	117.80415	117.87607	117.93128	117.88574	117.78773	117.84774	117.86362		118.00148	118.06342	117.92613	118.06491	117.9807	117.9197	117.84032	117.87263	118.03214	117.96591	117.96673
1060	119.57689	115.57689	117.57689		117.73096	117.57456	117.73166	117.71706	117.63196	117.67507	117.73617	117.71941	117.60328	117.67424	117.67944		117.81143	117.85053	117.73576	117.86109	117.78313	117.74967	117.66612	117.68661	117.8301	117.78934	117.77638
1120	119.36270	115.36270	117.3627		117.56343	117.42302	117.55765	117.5515	117.47968	117.50264	117.56878	117.57043	117.44544	117.51461	117.51772		117.64246	117.65782	117.563	117.67969	117.60551	117.58987	117.50691	117.51683	117.65204	117.62732	117.60415
1180	119.10879	115.10879	117.10879		117.34229	117.21522	117.33238	117.3337	117.27012	117.27519	117.35091	117.36295	117.23711	117.29256	117.30124		117.42137	117.41316	117.33688	117.44596	117.37455	117.37427	117.29456	117.29541	117.42486	117.41066	117.37917
1250	118.76079	114.76079	116.76079		117.01917	116.90235	117.00412	117.01632	116.95064	116.95423	117.02908	117.05274	116.91542	116.97006	116.98141		117.10301	117.07399	117.00754	117.1153	117.04634	117.04895	116.97695	116.96988	117.09414	117.08725	117.05233
1320	118.32927	114.32927	116.32927		116.60946	116.50818	116.59611	116.61373	116.54637	116.55109	116.63101	116.65614	116.51456	116.56505	116.57917		116.69803	116.64803	116.59747	116.70056	116.63631	116.6407	116.57219	116.56264	116.68864	116.67763	116.64222
1400	117.91151	113.91151	115.91151		116.20865	116.12088	116.19799	116.2179	116.14644	116.15308	116.23986	116.26612	116.1242	116.16963	116.18448		116.30042	116.233	116.19573	116.29495	116.23525	116.24076	116.17691	116.16296	116.29058	116.28089	116.24115
1500	117.52669	113.52669	115.52669		115.84035	115.76626	115.8404	115.85469	115.77729	115.79126	115.88221	115.90818	115.76524	115.81332	115.82392		115.93845	115.85708	115.83131	115.92634	115.86992	115.86754	115.81748	115.78912	115.91211	115.90426	115.87136
1600	118.08475	112.08475	115.08475		115.41163	115.35043	115.41424	115.42763	115.34494	115.37154	115.45883	115.4861	115.33817	115.39869	115.40022		115.50989	115.41884	115.39665	115.49281	115.43446	115.41746	115.3863	115.33626	115.45722	115.44545	115.42953
1700	117.50894	111.50894	114.50894		114.84007	114.79038	114.83414	114.85247	114.7777	114.79406	114.8877	114.9126	114.78006	114.83021	114.82994		114.93072	114.82431	114.81283	114.90805	114.85089	114.83271	114.80592	114.74737	114.87303	114.8588	114.84446
1800	116.82411	110.82411	113.82411		114.1619	114.11257	114.15082	114.16304	114.09023	114.10489	114.19847	114.23013	114.10571	114.15519	114.14729		114.25124	114.13741	114.13459	114.22877	114.18047	114.15455	114.12812	114.07079	114.19938	114.18339	114.16687
1900	116.20798	110.20798	113.20798		113.55238	113.49629	113.53376	113.54428	113.46692	113.49114	113.58507	113.61131	113.49374	113.54053	113.53154		113.6272	113.50456	113.50405	113.60124	113.55068	113.50137	113.50874	113.41623	113.53903	113.5265	113.52796
2000	115.78610	109.78610	112.7861		113.13507	113.08267	113.10834	113.12808	113.04737	113.07412	113.16654	113.19033	113.07738	113.118	113.11279		113.20149	113.06967	113.06746	113.17248	113.11763	113.07052	113.08427	112.9852	113.11254	113.09564	113.09769
2120	115.73802	109.73802	112.73802		113.09698	113.05078	113.07472	113.09174	113.00911	113.04248	113.13591	113.15573	113.04507	113.08318	113.07857		113.16756	113.02622	113.03371	113.13877	113.09081	113.04659	113.05524	112.96246	113.0917	113.07861	113.06917
2240	115.99059	109.99059	112.99059		113.36309	113.33585	113.372	113.3698	113.27501	113.33272	113.42804	113.44073	113.33057	113.36504	113.36128		113.44827	113.30491	113.31935	113.42489	113.37437	113.32587	113.34714	113.23677	113.36304	113.35411	113.34987
2360	116.37994	110.37994	113.37994		113.7557	113.73912	113.77526	113.78034	113.6712	113.75045	113.84478	113.85121	113.72892	113.76656	113.76635		113.84315	113.70173	113.70231	113.81776	113.75502	113.70362	113.7415	113.61566	113.73613	113.72846	113.73453
2500	116.73649	110.73649	113.73649		114.11192	114.10229	114.12958	114.14306	114.03509	114.10741	114.1977	114.21126	114.08621	114.12062	114.12451		114.2058	114.06072	114.05959	114.17901	114.11667	114.07213	114.09884	113.98724	114.11641	114.10321	114.09996
2650	116.74136	110.74136	113.74136		114.11944	114.09859	114.12701	114.1449	114.04107	114.10757	114.20459	114.20768	114.08791	114.11458	114.12533		114.20745	114.05433	114.06775	114.18272	114.11654	114.06498	114.09549	113.98141	114.1235	114.09972	114.09939
2800	116.38080	110.38080	113.3808		113.76458	113.7427	113.77044	113.78495	113.68153	113.76107	113.85165	113.84312	113.73545	113.74964	113.76851		113.85494	113.68825	113.70477	113.8339	113.74827	113.69627	113.73537	113.61135	113.76464	113.72838	113.73661
3000	116.22728	110.22728	113.22728		113.63386	113.60204	113.61988	113.64211	113.5423	113.62547	113.71878	113.71297	113.5971	113.61167	113.63062		113.72481	113.54799	113.56402	113.69823	113.60456	113.55032	113.58159	113.47156	113.63487	113.57965	113.59576
3150	116.27518	110.27518	113.27518		113.70756	113.68617	113.69689	113.71298	113.61568	113.70989	113.80365	113.79899	113.68158	113.68917	113.71026		113.80078	113.61993	113.64879	113.77466	113.67593	113.61742	113.64898	113.53988	113.71205	113.64411	113.66825
3350	116.17041	110.17041	113.17041		113.62473	113.61064	113.61989	113.63668	113.53097	113.65173	113.74562	113.73341	113.61522	113.6273	113.63962		113.71979	113.5412	113.58563	113.68493	113.59119	113.53363	113.57768	113.46381	113.64019	113.54968	113.58877
3550	116.09376	110.09376	113.09376		113.58166	113.54143	113.5292	113.58786	113.47444	113.58154	113.66757	113.65009	113.52997	113.55994	113.57037		113.65244	113.46884	113.496	113.59901	113.51479	113.45502	113.48373	113.40059	113.57608	113.47604	113.51225
