## Sheet1
〔b〕RESULT CHECK FUNCTION OF LOT TEST AWF COOLING TIME															
〔bg=#B7DEE8,b〕Date	〔bg=#B7DEE8,b〕Type	〔bg=#B7DEE8,b〕Input 	〔bg=#B7DEE8,b〕OK 	〔bg=#B7DEE8,b〕Sigma 				〔bg=#B7DEE8,b〕Hearing  ( + 1V ) 				〔bg=#B7DEE8,b〕Hearing  ( + 0V ) 			
				〔bg=#B7DEE8,b〕SPL 	〔bg=#B7DEE8,b〕THD 	〔bg=#B7DEE8,b〕SPL+THD 	〔bg=#B7DEE8,b〕SPL+THD+F0	〔bg=#B7DEE8,b〕Noise 	〔bg=#B7DEE8,b〕Touch 	〔bg=#B7DEE8,b〕Total NG	〔bg=#B7DEE8,b〕NG Rate	〔bg=#B7DEE8,b〕Noise 	〔bg=#B7DEE8,b〕Touch 	〔bg=#B7DEE8,b〕Total NG	〔bg=#B7DEE8,b〕NG Rate
13/Feb	Cooling time 4s	100	84	0	0	0	0	2	14	16	16.0%	2	0	2	2.0%
				〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕12.5%	〔fg=#FF0000〕87.5%			〔fg=#FF0000〕100.0%	〔fg=#FF0000〕0.0%		
	Cooling time 8s	156	107	0	0	0	0	6	43	49	31.4%	2	4	6	3.8%
				〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕12.2%	〔fg=#FF0000〕87.8%			〔fg=#FF0000〕33.3%	〔fg=#FF0000〕66.7%		
	Cooling time 10s	122	74	0	0	0	0	5	43	48	39.3%	3	4	7	5.7%
				〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕10.4%	〔fg=#FF0000〕89.6%			〔fg=#FF0000〕42.9%	〔fg=#FF0000〕57.1%		

## Sheet2
Date	Time	Calendar Week	Projectname	Operator	Serialnumber	Frequency response [dBSPL]	100.00Hz	106.00Hz	112.00Hz	118.00Hz	125.00Hz	132.00Hz	140.00Hz	150.00Hz	160.00Hz	170.00Hz	180.00Hz	190.00Hz	200.00Hz	212.00Hz	224.00Hz	236.00Hz	250.00Hz	265.00Hz	280.00Hz	300.00Hz	315.00Hz	335.00Hz	355.00Hz	375.00Hz	400.00Hz	425.00Hz	450.00Hz	475.00Hz	500.00Hz	530.00Hz	560.00Hz	600.00Hz	630.00Hz	670.00Hz	710.00Hz	750.00Hz	800.00Hz	850.00Hz	900.00Hz	950.00Hz	1000.00Hz	1060.00Hz	1120.00Hz	1180.00Hz	1250.00Hz	1320.00Hz	1400.00Hz	1500.00Hz	1600.00Hz	1700.00Hz	1800.00Hz	1900.00Hz	2000.00Hz	2120.00Hz	2240.00Hz	2360.00Hz	2500.00Hz	2650.00Hz	2800.00Hz	3000.00Hz	3150.00Hz	3350.00Hz	3550.00Hz	3750.00Hz	4000.00Hz	4250.00Hz	4500.00Hz	4750.00Hz	5000.00Hz	5300.00Hz	5600.00Hz	6000.00Hz	6300.00Hz	6700.00Hz	7100.00Hz	7500.00Hz	8000.00Hz	8500.00Hz	9000.00Hz	9500.00Hz	10000.00Hz	10600.00Hz	11200.00Hz	11800.00Hz	12500.00Hz	13200.00Hz	14000.00Hz	Result
13-02-2025	9:43:35	7	MSU-L20S15-07	VINH GAUGE	Spec		79.24727	79.70641	80.26967	81.28747	82.42306	83.65648	84.95151	86.23164	87.50972	88.88545	90.41452	91.81232	93.14409	94.40097	95.56254	96.63126	97.73172	98.94379	100.1593	101.4469	102.7498	104.05184	105.37592	106.74713	108.09698	109.41428	110.69738	111.95867	113.15927	114.35324	115.43227	116.42702	117.27092	117.97265	118.48771	118.82405	118.91662	118.80724	118.56815	118.25681	117.95894	117.7276	117.51963	117.27002	116.92645	116.52152	116.14289	115.80511	115.37812	114.79926	114.11583	113.47663	113.04944	113.03773	113.35304	113.73731	114.13456	114.1396	113.78221	113.67939	113.81594	113.77579	113.71576	113.76473	113.59789	113.1683	112.83887	112.83974	112.88991	113.1711	113.96365	115.19954	116.54196	117.67052	118.29578	118.62016	118.86859	118.97887	119.06109	119.38508	119.75419	119.70164	118.93533	118.36848	118.24933	117.75202	117.19187	PASSED
13-02-2025	9:44:13	7	MSU-L20S15-07	VINH GAUGE	1 ( 20000V)		80.02667	80.52133	81.10285	82.13412	83.28424	84.54351	85.84066	87.11034	88.38324	89.73752	91.2437	92.62448	93.95458	95.21819	96.396	97.4764	98.58263	99.79304	101.00044	102.27254	103.55918	104.83804	106.12009	107.42797	108.68854	109.90114	111.07023	112.20394	113.26719	114.30344	115.23112	116.07816	116.79557	117.40207	117.8692	118.19154	118.30531	118.24552	118.07712	117.84793	117.63407	117.48448	117.34686	117.15597	116.86586	116.51158	116.17398	115.86638	115.46705	114.91719	114.24863	113.63317	113.22229	113.21385	113.51723	113.91043	114.2808	114.29084	113.94069	113.82338	113.94497	113.91929	113.86076	113.89835	113.73271	113.29952	112.9636	112.96755	113.08655	113.56406	114.5784	115.91448	117.22289	118.33094	118.83929	118.94994	118.94635	118.84975	118.78371	118.97923	119.06338	118.61212	117.91802	117.39529	117.2261	116.93255	117.09567	PASSED
13-02-2025	9:44:32	7	MSU-L20S15-07	VINH GAUGE	2( 20000V)		80.19779	80.6604	81.20884	82.20003	83.31089	84.54407	85.81911	87.06504	88.34787	89.7662	91.30253	92.6967	94.0433	95.30063	96.4497	97.51699	98.62276	99.83086	101.03818	102.30902	103.58866	104.85644	106.11732	107.39206	108.60709	109.76108	110.8712	111.95966	112.98477	113.99655	114.91356	115.75584	116.47077	117.08367	117.56353	117.90485	118.04209	118.00612	117.86209	117.66078	117.47363	117.34588	117.22638	117.05276	116.76739	116.41702	116.08955	115.79573	115.39877	114.84188	114.16515	113.53974	113.12951	113.13569	113.47095	113.87967	114.26005	114.2634	113.91519	113.79704	113.90883	113.87748	113.81148	113.83045	113.64269	113.20388	112.86167	112.88625	113.04586	113.58752	114.65233	115.9612	117.19121	118.25556	118.74178	118.82829	118.80485	118.69212	118.58592	118.73535	118.75234	118.28005	117.64963	117.24	117.18958	116.99881	117.26974	PASSED
13-02-2025	9:44:48	7	MSU-L20S15-07	VINH GAUGE	3 ( 20000V)		80.0275	80.50467	81.05874	82.0583	83.18768	84.44148	85.72906	86.98477	88.26426	89.66416	91.17988	92.56115	93.90541	95.16193	96.32569	97.40308	98.51176	99.71817	100.92797	102.19685	103.4807	104.75599	106.02461	107.30126	108.51522	109.67502	110.80029	111.90359	112.94674	113.97971	114.90929	115.75877	116.48261	117.10006	117.57976	117.92134	118.05801	118.0162	117.86735	117.6547	117.45741	117.31928	117.1963	117.01303	116.73316	116.38376	116.05429	115.75437	115.3587	114.79563	114.1277	113.5044	113.09093	113.09717	113.43255	113.8274	114.21057	114.2148	113.86788	113.75144	113.86055	113.80159	113.74522	113.7696	113.58072	113.1431	112.82418	112.82367	112.94743	113.43391	114.45757	115.77212	117.03579	118.1151	118.61939	118.73296	118.73049	118.61959	118.51027	118.65845	118.67994	118.2293	117.66019	117.28119	117.19067	117.01918	117.25021	PASSED
13-02-2025	9:45:03	7	MSU-L20S15-07	VINH GAUGE	4 ( 20000V)		79.94069	80.43968	80.99951	82.03769	83.17155	84.42875	85.7056	86.95509	88.24249	89.66618	91.19228	92.59043	93.93796	95.18734	96.33172	97.40013	98.50364	99.71128	100.92079	102.19282	103.47521	104.74777	106.02056	107.31895	108.57349	109.77929	110.93768	112.05895	113.1049	114.1195	115.02499	115.85443	116.55702	117.15453	117.61721	117.94183	118.06029	118.00857	117.85116	117.6354	117.43334	117.29555	117.16782	116.9807	116.69687	116.34842	116.01799	115.7187	115.3229	114.75912	114.09209	113.46798	113.0531	113.05558	113.38144	113.77159	114.15786	114.16421	113.80727	113.69594	113.80903	113.74641	113.6953	113.7345	113.55626	113.12207	112.80564	112.79611	112.91357	113.36985	114.37576	115.70994	117.02372	118.13583	118.66588	118.80777	118.83259	118.73181	118.60457	118.73078	118.81585	118.50934	117.98373	117.60621	117.47364	117.26584	117.25377	PASSED
13-02-2025	9:45:17	7	MSU-L20S15-07	VINH GAUGE	5 ( 20000V)		80.11619	80.59088	81.13949	82.15097	83.27057	84.51032	85.78278	87.03378	88.321	89.73983	91.27522	92.67329	94.01313	95.25779	96.40063	97.46351	98.56488	99.77127	100.98057	102.25258	103.53612	104.81	106.08736	107.39181	108.65368	109.86839	111.03583	112.15935	113.202	114.21289	115.11303	115.93287	116.63075	117.22351	117.67942	117.99612	118.10872	118.04632	117.87763	117.65212	117.44706	117.30528	117.18005	117.00197	116.72008	116.37065	116.0422	115.74211	115.34141	114.77933	114.1148	113.48928	113.0694	113.07178	113.39545	113.78881	114.18194	114.19837	113.85001	113.75603	113.87081	113.81399	113.74077	113.77689	113.58642	113.15275	112.83605	112.85377	112.9684	113.42643	114.41841	115.73311	117.02869	118.11359	118.61298	118.69939	118.64518	118.48277	118.33329	118.40768	118.42882	118.08652	117.59838	117.34423	117.41506	117.36766	117.5824	PASSED
13-02-2025	9:45:33	7	MSU-L20S15-07	VINH GAUGE	6 ( 20000V)		79.67023	80.14119	80.69433	81.71582	82.86187	84.1181	85.40738	86.67049	87.95449	89.36073	90.87295	92.25579	93.59496	94.84695	95.98805	97.05085	98.14492	99.33525	100.52605	101.78684	103.06036	104.32681	105.5983	106.9001	108.16008	109.36846	110.52258	111.63669	112.68544	113.72336	114.66527	115.54529	116.31387	116.97968	117.51109	117.90406	118.0877	118.0906	117.9819	117.80519	117.63474	117.51537	117.40153	117.22295	116.93726	116.5833	116.24763	115.94161	115.53718	114.96496	114.28642	113.65461	113.23185	113.23358	113.56712	113.96468	114.34038	114.3409	113.98573	113.87151	113.97078	113.9206	113.84871	113.8683	113.66869	113.23394	112.90185	112.91675	113.04754	113.54884	114.58613	115.93982	117.25404	118.36465	118.88478	119.00888	119.01318	118.90037	118.78011	118.91739	119.01068	118.69468	118.17221	117.79897	117.69924	117.49452	117.53547	PASSED
13-02-2025	9:45:46	7	MSU-L20S15-07	VINH GAUGE	7( 20000V)		80.11437	80.58771	81.15907	82.2225	83.33305	84.56942	85.84544	87.07707	88.32947	89.74258	91.26923	92.65543	93.99899	95.2498	96.39943	97.46499	98.5696	99.77507	100.98424	102.25414	103.54134	104.81705	106.09436	107.38461	108.61115	109.77108	110.89419	112.01785	113.09732	114.18061	115.16721	116.078	116.83954	117.47826	117.96326	118.29821	118.41489	118.3528	118.1783	117.93961	117.71681	117.55798	117.41425	117.21471	116.92034	116.56051	116.22133	115.91554	115.51154	114.9358	114.26827	113.63391	113.20933	113.21925	113.55718	113.95554	114.34642	114.34819	113.97783	113.85437	113.95203	113.90722	113.87602	113.92433	113.75559	113.34118	113.0198	113.01941	113.15781	113.64147	114.63181	115.90121	117.1578	118.23352	118.70083	118.75447	118.68344	118.55897	118.48294	118.61799	118.55989	118.07108	117.447	117.03554	117.03675	117.00792	117.41701	PASSED
13-02-2025	9:46:02	7	MSU-L20S15-07	VINH GAUGE	8( 20000V)		80.00338	80.47707	81.03732	82.04942	83.20475	84.45068	85.73456	86.99022	88.27373	89.68381	91.20386	92.58907	93.92291	95.17944	96.32852	97.39996	98.50555	99.71289	100.91129	102.17624	103.45277	104.71687	105.98434	107.26485	108.47987	109.63009	110.7584	111.87378	112.9415	114.00625	114.97761	115.86311	116.60943	117.23932	117.72029	118.05204	118.17092	118.10832	117.93145	117.69634	117.47976	117.3282	117.19281	117.00766	116.72316	116.37023	116.03881	115.74312	115.34145	114.77036	114.11158	113.47652	113.05424	113.07182	113.41772	113.81086	114.20153	114.20343	113.83864	113.71856	113.81492	113.77341	113.72268	113.75715	113.57441	113.14541	112.81095	112.81708	112.95347	113.46185	114.50674	115.8284	117.07503	118.12968	118.59296	118.6632	118.62685	118.52076	118.43523	118.60221	118.65631	118.22798	117.64232	117.26201	117.20506	117.03157	117.27068	PASSED
13-02-2025	9:46:16	7	MSU-L20S15-07	VINH GAUGE	9 ( 20000V)		80.02015	80.4933	81.0488	82.07018	83.21415	84.46843	85.75814	87.02037	88.30953	89.72186	91.22989	92.6095	93.94206	95.18565	96.33038	97.40266	98.50757	99.71409	100.92047	102.18955	103.47029	104.74306	106.01325	107.29905	108.52388	109.68638	110.8054	111.91662	112.98595	114.0538	115.02623	115.92615	116.68685	117.32458	117.81406	118.15584	118.2821	118.22973	118.06554	117.83759	117.62595	117.4758	117.33779	117.14354	116.85071	116.48772	116.14884	115.84359	115.43768	114.86116	114.19392	113.55921	113.13337	113.14493	113.49087	113.89092	114.27376	114.27817	113.91548	113.78193	113.88269	113.8348	113.74059	113.75928	113.55851	113.09234	112.74533	112.79435	112.96673	113.54695	114.64186	115.95379	117.16976	118.19803	118.62391	118.63566	118.54298	118.39984	118.28897	118.44801	118.47562	118.04422	117.47102	117.12426	117.17063	117.06913	117.40542	PASSED
