## NG rate
〔bg=#BFBFBF,b〕TITLE	〔b〕REPORT TEST CMG / CPT / SMG-LONG REDUCE DIMENSION - 161014													〔bg=#BFBFBF,b〕Dept	〔b〕ME
														〔bg=#BFBFBF,b〕Date	〔b〕12/Jan
														〔bg=#BFBFBF,b〕Marker	〔b〕Thuy
〔bg=#BFBFBF,b〕I. Purpose.															
 - Improve NG hearing															
〔bg=#BFBFBF,b〕II. Content.															
 - To use semi Yoke from Korea change dimension, use VP 150 															
 + CMG/CPT: reudce dimension from 															
 + SMG-Long : reduce dimension form 															
〔bg=#BFBFBF,b〕III. Result 															
〔b〕1. RESULT Test Function															
	〔bg=#95B3D7,b〕Date	〔bg=#95B3D7,b〕Type	〔bg=#95B3D7,b〕Input 	〔bg=#95B3D7,b〕OK 	〔bg=#95B3D7,b〕Sigma 				〔bg=#95B3D7,b〕Hearing 		〔bg=#95B3D7,b〕HOHD	〔bg=#95B3D7,b〕Total NG	〔bg=#95B3D7,b〕Total NG rate		
					〔bg=#95B3D7,b〕SPL 	〔bg=#95B3D7,b〕THD 	〔bg=#95B3D7,b〕SPL+THD 	〔bg=#95B3D7,b〕SPL+THD+F0	〔bg=#95B3D7,b〕Noise 	〔bg=#95B3D7,b〕Touch 					
	1/12/2024	Test Yoke	285	281	0	0	0	0	4	0	0	4	〔fg=#FF0000,b〕1.4%		
					〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕100.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%				
		Normal	844	824	0	0	0	0	20	0	0	20	〔fg=#FF0000,b〕2.4%		
					〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕100.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%				
	〔fg=#0000FF,b〕 => NG rate of test yoke is reduce 														
〔bg=#BFBFBF,b〕4. Decision															

## Analyse NG
〔bg=#C0C0C0,b〕TITLE		〔b〕REPORT ANALYZE NG FUNCTION MODEL BRS-161014									〔bg=#C0C0C0,b〕Dept	ME 			
											〔bg=#C0C0C0,b〕Date	12-Jan-24			
											〔bg=#C0C0C0,b〕Maker				
〔bg=#C0C0C0,b〕1. Problem															
-NG function BRS-161014															
〔bg=#C0C0C0,b〕2. Result NG 															
〔fg=#FF0000〕- Type total function NG  : 20pcs															
〔bg=#C0C0C0,b〕3. Result analysis NG Function															
〔fg=#FF0000〕- Data analysis 															〔fg=#FFFFFF,b〕No
〔fg=#FF0000,b〕            NG Hearing Noise + Touch															
	〔b〕TYPE				〔b〕Total	〔b〕Q'ty	〔b〕Portion	〔b〕Decap reason							
	Coil deform				4	1	25.0%								
	Coil offset, MG Offset					1									
	Particle					1	25.0%								
	Coil +SP Gap					1	25.0%								
				.											
〔bg=#C0C0C0,b〕4. DECISION															
			〔b〕RESULT ANALYSE NG FUNCTION OF BRS 161014												
			〔bg=#C5D9F1〕No	〔bg=#C5D9F1〕Reason NG	〔bg=#C5D9F1〕Q'ty analyse	〔bg=#C5D9F1〕Q'ty NG		〔bg=#C5D9F1,fg=#FF0000〕NG rate	〔bg=#C5D9F1〕Portion						
			1	Coil deform	4	1		〔fg=#FF0000〕0.25	〔fg=#FF0000〕0.25						
			2	Coil offset, MG Offset		1		〔fg=#FF0000〕0.25	〔fg=#FF0000〕0.25						
			3	Particle		1		〔fg=#FF0000〕0.25	〔fg=#FF0000〕0.25						
			4	Coil +SP Gap		1		〔fg=#FF0000〕0.25	〔fg=#FF0000〕0						
				.											

## NTI_종합
〔b〕MASK	
HZ	%
100	40
200	30
300	30
400	40
500	40
1000	10
2000	5
7000	11
10000	11
14000	5

## SPL DATA_(NTI
	〔fg=#0000FF,b〕MASK 1	〔fg=#0000FF,b〕MASK 2	〔fg=#0000FF,b〕 ST AVG		〔fg=#0000FF,b〕NORMAL #1	〔fg=#0000FF,b〕NORMAL #2	〔fg=#0000FF,b〕NORMAL #3	〔fg=#0000FF,b〕NORMAL #4	〔fg=#0000FF,b〕NORMAL #5	〔fg=#0000FF,b〕NORMAL #6	〔fg=#0000FF,b〕NORMAL #7	〔fg=#0000FF,b〕NORMAL #8	〔fg=#0000FF,b〕NORMAL #9	〔fg=#0000FF,b〕NORMAL #10	〔fg=#FF0000,b〕NORMAL #AVG		〔fg=#0000FF,b〕TEST #1	〔fg=#0000FF,b〕TEST #2	〔fg=#0000FF,b〕TEST #3	〔fg=#0000FF,b〕TEST #4	〔fg=#0000FF,b〕TEST #5	〔fg=#0000FF,b〕TEST #6	〔fg=#0000FF,b〕TEST #7	〔fg=#0000FF,b〕TEST #8	〔fg=#0000FF,b〕TEST #9	〔fg=#0000FF,b〕TEST #10	〔fg=#FF0000,b〕TEST #AVG			〔fg=#0000FF,b〕ST#4	〔fg=#0000FF,b〕ST#5	〔fg=#FF0000,b〕ST AVG
100	74.77998	68.77998	71.77998		72.41471	71.80596	72.00089	72.03105	72.47954	72.34312	71.89513	72.14734	72.13833	72.2361	72.14922		72.59342	71.00666	71.43139	71.79298	71.85546	71.4457	71.30527	71.88807	71.56873	71.08432	71.59720			71.19079	72.36916	71.77998
106	75.25868	69.25868	72.25868		72.88637	72.2663	72.47091	72.49038	72.91999	72.78466	72.32105	72.64159	72.62638	72.6149	72.60225		72.80878	71.45445	71.97022	72.1237	72.2822	71.8725	71.7431	72.34049	72.05135	71.5259	72.01727			71.7037	72.81367	72.25868
112	75.80624	69.80624	72.80624		73.43886	72.79898	72.97788	73.03167	73.4232	73.32514	72.82477	73.15427	73.15206	73.09971	73.12265		73.13413	71.96004	72.55787	72.54106	72.8099	72.40164	72.26112	72.87343	72.6148	72.07773	72.52317			72.27726	73.33521	72.80624
118	76.80074	70.80074	73.80074		74.4111	73.76885	73.93485	74.01508	74.3846	74.30975	73.76725	74.16989	74.11741	74.04332	74.09221		74.09213	72.89346	73.55168	73.46944	73.7723	73.35295	73.17694	73.85674	73.61763	73.0706	73.48539			73.31238	74.28909	73.80074
125	77.89983	71.89983	74.89983		75.4889	74.82699	74.99259	75.10386	75.439	75.40614	74.8092	75.23929	75.18154	75.08251	75.15700		75.07547	73.94377	74.74309	74.46607	74.82194	74.39692	74.21068	74.8997	74.70763	74.15724	74.54225			74.43252	75.36714	74.89983
132	79.06591	73.06591	76.06591		76.65388	75.98232	76.13133	76.25892	76.59882	76.55811	75.96721	76.36631	76.39777	76.1405	76.30552		75.75177	75.10235	75.92497	75.37209	75.96017	75.51888	75.37989	76.02848	75.8524	75.31672	75.62077			75.61751	76.51431	76.06591
140	80.31341	74.31341	77.31341		77.89438	77.22617	77.35158	77.50292	77.84987	77.80579	77.22918	77.60904	77.62849	77.3896	77.54870		76.94044	76.33837	77.16568	76.57423	77.2182	76.60552	76.61842	77.26056	77.06993	76.57082	76.83622			76.86667	77.76016	77.31341
150	81.58911	75.58911	78.58911		79.15077	78.48769	78.62101	78.7695	79.11738	79.0598	78.49839	78.88773	78.89462	78.64259	78.81295		78.19461	77.60159	78.42867	77.83435	78.48336	77.87779	77.88107	78.51871	78.32107	77.83328	78.09745			78.14994	79.02828	78.58911
160	82.85547	76.85547	79.85547		80.38983	79.72962	79.87302	80.0223	80.34367	80.30305	79.75736	80.14922	80.13895	79.86967	80.05767		79.39934	78.85345	79.678	79.07773	79.72067	79.14682	79.15164	79.75829	79.56062	79.07907	79.34256			79.42525	80.28568	79.85547
170	84.16703	78.16703	81.16703		81.64487	80.98324	81.14786	81.28438	81.61474	81.55597	81.02375	81.43062	81.40815	81.1154	81.32090		80.66541	80.10216	80.95544	80.31165	80.98778	80.43188	80.42634	81.03472	80.80165	80.34061	80.60576			80.77259	81.56147	81.16703
180	85.56968	79.56968	82.56968		82.97429	82.30499	82.46696	82.61185	82.93093	82.88994	82.35208	82.76887	82.72934	82.44286	82.64721		81.99595	81.42005	82.29108	81.6395	82.31999	81.78327	81.74835	82.36714	82.14213	81.6663	81.93738			82.22214	82.91723	82.56968
190	86.86380	80.86380	83.86380		84.24282	83.55891	83.73541	83.88128	84.19043	84.16322	83.61088	84.03298	84.00014	83.7082	83.91243		83.26278	82.6765	83.55638	82.91335	83.58271	83.13696	83.01807	83.5779	83.40806	82.93922	83.20719			83.53114	84.19646	83.86380
200	88.07745	82.07745	85.07745		85.44184	84.75495	84.93884	85.08312	85.39341	85.3758	84.81063	85.24025	85.20443	84.9102	85.11535		84.46211	83.87776	84.76565	84.11808	84.77696	84.34864	84.21313	84.79538	84.59924	84.14183	84.40988			84.75597	85.39893	85.07745
212	89.22268	83.22268	86.22268		86.58723	85.89433	86.08117	86.22319	86.5459	86.51783	85.95124	86.38095	86.34634	86.05903	86.25872		85.60322	85.01595	85.90742	85.26613	85.92142	85.48819	85.34875	85.9467	85.74019	85.2956	85.55336			85.91353	86.53184	86.22268
224	90.30385	84.30385	87.30385		87.68278	86.98486	87.16969	87.31673	87.64488	87.61096	87.03639	87.47207	87.43685	87.1524	87.35076		86.69031	86.1056	86.99749	86.37039	87.01138	86.60944	86.43831	87.04038	86.83314	86.38944	86.64859			86.98978	87.61792	87.30385
236	91.32761	85.32761	88.32761		88.72728	88.02904	88.21932	88.36222	88.69362	88.65314	88.07842	88.51706	88.4807	88.21032	88.39711		87.72563	87.15308	88.03601	87.41352	88.05052	87.64662	87.47754	88.09267	87.86816	87.43993	87.69037			87.99798	88.65723	88.32761
250	92.35539	86.35539	89.35539		89.75669	89.05674	89.25127	89.39066	89.72462	89.67868	89.10714	89.55023	89.50595	89.23615	89.42581		88.74946	88.18335	89.06807	88.43946	89.08	88.66957	88.50337	89.15537	88.89454	88.4709	88.72141			89.0273	89.68348	89.35539
