## SPL
Hz	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10			
〔bg=#FFFF00〕18.75	〔bg=#FFFF00〕91.8510199439916	〔bg=#FFFF00〕91.9494605707397	〔bg=#FFFF00〕91.8517211410141	〔bg=#FFFF00〕92.0289141515426	〔bg=#FFFF00〕92.1122435061213	〔bg=#FFFF00〕92.3730912457448	〔bg=#FFFF00〕92.5959210258593	〔bg=#FFFF00〕92.2253653593499	〔bg=#FFFF00〕92.4333475703213	〔bg=#FFFF00〕92.3087676129766	〔bg=#FFFF00〕92.5959210258593	〔bg=#FFFF00〕91.8510199439916	〔bg=#FFFF00〕0.744901081867695
22.5	94.1862090164016	94.6334847589358	94.4051167400985	94.8374682095467	94.4759167417272	94.3777291383086	94.5643400703728	94.1827472054988	94.6836001597093	94.392391446299	94.8374682095467	94.1827472054988	0.654721004047943
26.25	96.553655259714	96.3367045288114	96.5458208091985	97.2043047171239	96.5624050632383	96.4827947804277	96.8264277519139	96.369753811386	96.8586732967985	96.4602751241229	97.2043047171239	96.3367045288114	0.867600188312451
30	98.2248831327344	98.1065927467756	98.2087714426359	98.5870510002721	98.314790640218	98.1399300688457	98.5564895312714	98.2010407136279	98.4251398713275	98.352817635157	98.5870510002721	98.1065927467756	0.480458253496494
33.75	99.6713004116659	99.7653458520692	99.691848191506	100.035929421891	99.8903825377896	99.6417335914941	100.004321440535	99.6860560001783	99.9477272138364	99.9062916159415	100.035929421891	99.6417335914941	0.394195830396782
37.5	100.967599432403	100.994569831679	100.994962677252	101.375240599158	101.215119974261	101.073103159127	101.205379867372	100.857314985004	101.383914601838	101.118737466832	101.383914601838	100.857314985004	0.526599616833337
41.25	102.218799788309	102.111417792301	102.100889829842	102.384482455331	102.214939367581	102.023221477369	102.263900576234	101.920983181158	102.358471935	102.25717866949	102.384482455331	101.920983181158	0.463499274173003
45	103.330739646155	103.189741232032	103.22158150265	103.226114819672	103.112242794436	103.098188048809	103.325133239286	102.849218817897	103.244102936065	103.259467223022	103.330739646155	102.849218817897	0.481520828257516
48.75	104.057023701911	104.081073783778	104.014903705205	104.108116935647	104.135450699407	104.087316863364	104.173005961774	103.617542313675	104.216642838686	104.190767342119	104.216642838686	103.617542313675	0.599100525011437
52.5	104.995330337887	105.106246656148	104.742161898542	105.176633679687	104.976672917861	104.960086912142	105.028513243724	104.739907469371	105.112128881422	105.062013201253	105.176633679687	104.739907469371	0.436726210316365
