## 13.11
〔bg=#BFBFBF,b〕TITLE		〔b〕TIU L5S3-01 R RESULT CHECK FRAME NG LOW GAUSS												〔bg=#BFBFBF,b〕Dept	〔bg=#BFBFBF,b〕ME
														〔bg=#BFBFBF,b〕Date	〔bg=#BFBFBF,b〕17-Nov
														〔bg=#BFBFBF,b〕Maker 	〔bg=#BFBFBF,b〕Nhung
〔bg=#BFBFBF,b〕I. Purpose.															
- New Frame happen NG low gauss, rate 2/8pcs ~ 12.5%															
=> Check reason NG															
〔bg=#BFBFBF,b〕II. Content.															
- Check gauss follow position 															
- Setting Magnetization 1 Point=> 2 Point															
〔bg=#BFBFBF,b〕III. Result.															
〔b〕1. Result test	〔b〕Spec: N > 150G														
	〔bg=#8DB4E2〕Type	〔bg=#8DB4E2〕Position	〔bg=#8DB4E2〕#1	〔bg=#8DB4E2〕#2	〔bg=#8DB4E2〕#3	〔bg=#8DB4E2〕#4	〔bg=#8DB4E2〕#5	〔bg=#8DB4E2〕#6	〔bg=#8DB4E2〕#7	〔bg=#8DB4E2〕#8	〔bg=#8DB4E2,fg=#FF0000〕Note				
	〔b〕Magnetization 1 point	Time 1	174	166	181	184	159	152	〔fg=#FF0000〕125	151					
		Re-check 1st					160	161	〔fg=#FF0000〕139	153	〔fg=#FF0000〕Same position				
		Re-check 2nd	165	169	157	157					Change Position 5~8 to 1~4 and check				
	〔bg=#D8E4BC,b〕Change Magnetization 2 point	〔bg=#D8E4BC〕1	〔bg=#D8E4BC〕176	〔bg=#D8E4BC〕168	〔bg=#D8E4BC〕175	〔bg=#D8E4BC〕163	〔bg=#D8E4BC〕175	〔bg=#D8E4BC〕166	〔bg=#D8E4BC〕167	〔bg=#D8E4BC〕157	〔bg=#D8E4BC〕After change Magnetiization from 1point => 2 point Result check Gauss OK				
		〔bg=#D8E4BC〕2	〔bg=#D8E4BC〕164	〔bg=#D8E4BC〕165	〔bg=#D8E4BC〕178	〔bg=#D8E4BC〕190	〔bg=#D8E4BC〕171	〔bg=#D8E4BC〕166	〔bg=#D8E4BC〕185	〔bg=#D8E4BC〕153					
		〔bg=#D8E4BC〕3	〔bg=#D8E4BC〕152	〔bg=#D8E4BC〕161	〔bg=#D8E4BC〕172	〔bg=#D8E4BC〕158	〔bg=#D8E4BC〕186	〔bg=#D8E4BC〕171	〔bg=#D8E4BC〕157	〔bg=#D8E4BC〕170					
		〔bg=#D8E4BC〕4	〔bg=#D8E4BC〕168	〔bg=#D8E4BC〕165	〔bg=#D8E4BC〕176	〔bg=#D8E4BC〕168	〔bg=#D8E4BC〕151	〔bg=#D8E4BC〕154	〔bg=#D8E4BC〕171	〔bg=#D8E4BC〕157					
		〔bg=#D8E4BC〕5	〔bg=#D8E4BC〕179	〔bg=#D8E4BC〕165	〔bg=#D8E4BC〕159	〔bg=#D8E4BC〕169	〔bg=#D8E4BC〕169	〔bg=#D8E4BC〕156	〔bg=#D8E4BC〕165	〔bg=#D8E4BC〕174					
〔bg=#BFBFBF,b〕III. Decision.															

## SPL
															9500	4.45699999999999													
															9000	12.394													
																								4.45699999999999				9500	9000
																												4.45699999999999	12.394
HZ	〔b〕OK										〔b〕편심											HZ	OK_MAX	OK-MIN	NG-MAX	NG-MIN			
	〔bg=#F2DCDB〕# 1	〔bg=#F2DCDB〕# 2	〔bg=#F2DCDB〕# 3	〔bg=#F2DCDB〕# 4	〔bg=#F2DCDB〕# 5	〔bg=#F2DCDB〕# 6	〔bg=#F2DCDB〕# 7	〔bg=#F2DCDB〕# 8	〔bg=#F2DCDB〕# 9	〔bg=#F2DCDB〕# 10	〔bg=#DCE6F1〕# 1	〔bg=#DCE6F1〕# 2	〔bg=#DCE6F1〕# 3	〔bg=#DCE6F1〕# 4	〔bg=#DCE6F1〕# 5	〔bg=#DCE6F1〕# 6	〔bg=#DCE6F1〕# 7	〔bg=#DCE6F1〕# 8	〔bg=#DCE6F1〕# 9	〔bg=#DCE6F1〕# 10	〔bg=#DCE6F1〕# 11	HZ	OK_MAX	OK-MIN	NG-MAX	NG-MIN			
20	70.78	70.787	71.877	71.556	72.726	70.123	71.499	72.281	71.485	73.446	73.036	72.911	72.063	75.229	71.973	73.214	72.974	71.916	72.988	70.653	72.399	20	73.446	70.123	75.229	70.653		3.32299999999999	4.57599999999999
21.2	73.02	72.79	71.364	72.57	73.007	71.306	71.493	71.955	72.807	73.96	73.724	72.802	73.359	74.606	72.502	73.929	73.472	72.986	73.604	71.409	73.569	21.2	73.96	71.306	74.606	71.409		2.654	3.19699999999999
22.4	73.287	72.554	71.715	71.566	74.182	71.76	72.569	72.936	72.36	74.807	73.771	73.566	73.505	76	72.525	74.168	74.11	73.047	74.202	72.798	72.85	22.4	74.807	71.566	76	72.525		3.241	3.47499999999999
23.6	74.852	72.085	72.336	73.238	74.536	72.815	73.006	73.664	73.956	74.788	74.554	73.769	73.513	75.456	71.959	73.894	73.701	74.099	73.617	72.724	74.122	23.6	74.852	72.085	75.456	71.959		2.76700000000001	3.497
25	74.082	73.499	73.603	73.602	74.079	72.799	74.276	74.597	73.813	75.571	74.833	74.786	74.465	76.288	71.691	73.924	74.568	74.159	73.955	73.782	73.839	25	75.571	72.799	76.288	71.691		2.77199999999999	4.59699999999999
26.5	74.647	73.975	74.238	74.097	75.192	73.595	74.745	73.817	74.501	75.826	75.396	74.771	75.087	76.962	73.166	75.785	75.164	74.924	75.171	73.118	74.415	26.5	75.826	73.595	76.962	73.118		2.23099999999999	3.84400000000001
28	74.596	73.444	74.603	74.502	75.06	73.632	74.387	74.108	74.464	75.831	75.611	75.542	75.627	77.234	74.123	75.405	75.286	74.389	75.505	74.181	75.353	28	75.831	73.444	77.234	74.123		2.387	3.11099999999999
30	75.003	74.818	74.87	74.455	75.912	73.741	74.124	75.237	74.982	76.543	76.111	76.332	75.795	77.717	73.87	76.109	75.281	75.059	76.571	74.389	75.996	30	76.543	73.741	77.717	73.87		2.80200000000001	3.84699999999999
31.5	75.211	74.537	75.288	75.136	76.467	75.134	75.043	76.076	75.327	77.214	76.375	76.68	76.434	77.477	74.929	76.773	76.172	75.872	76.018	75.459	75.926	31.5	77.214	74.537	77.477	74.929		2.67699999999999	2.548
33.5	75.523	75.66	75.72	75.759	76.483	75.513	75.617	76.168	75.526	77.766	78.215	76.72	76.834	78.66	75.047	76.991	77.127	75.973	76.657	75.474	76.326	33.5	77.766	75.513	78.66	75.047		2.253	3.613
35.5	77.048	75.95	75.733	76.224	77.117	75.804	77.475	76.021	77.43	77.999	77.542	76.932	77.14	78.859	75.91	77.693	77.44	76.454	77.006	76.115	76.563	35.5	77.999	75.733	78.859	75.91		2.26599999999999	2.949
37.5	76.939	76.522	76.423	76.351	78.355	75.967	76.679	76.653	76.9	78.734	78.014	78.178	77.846	79.629	76.185	77.708	77.908	77.479	77.433	76.586	77.651	37.5	78.734	75.967	79.629	76.185		2.767	3.444
40	77.377	76.635	75.909	76.58	77.387	75.92	76.304	77.927	77.883	78.595	78.302	77.845	78.368	80.562	76.549	77.985	78.555	78.08	78.469	77.212	78.231	40	78.595	75.909	80.562	76.549		2.68599999999999	4.01299999999999
42.5	78.033	80.325	76.836	77.09	78.71	76.672	77.406	78.587	77.724	79.392	78.925	78.794	78.874	79.799	77.31	79.077	79.559	77.78	78.722	76.929	77.997	42.5	80.325	76.672	79.799	76.929		3.65300000000001	2.87
