## GRAPH
		〔bg=#D9D9D9,b〕구       분			〔bg=#D9D9D9,b〕SPL(1.2W)						〔bg=#D9D9D9,b〕Fo  (675±120Hz)		〔bg=#D9D9D9,b〕THD_%  (200Hz)		〔bg=#D9D9D9,b〕THD_%  (400Hz)		〔bg=#D9D9D9,b〕THD_%  (1000Hz)																																																																																														
					〔bg=#D9D9D9,b〕100~750 Hz  (200, 400, 560, 710Hz Avg)  (109.2±3dB)		〔bg=#D9D9D9,b〕800 - 1.5kHz  (0.8, 1.0, 1.2, 1.5kHz)  (118.3±2dB)		〔bg=#D9D9D9,b〕1.6 - 14kHz  (Avg)  (115.8±3dB)																																																																																																						
		〔bg=#FFE699,b〕SPEC		〔bg=#FFE699,b〕Upper	〔bg=#FFE699,b〕112.20_		〔bg=#FFE699,b〕120.30_		〔bg=#FFE699,b〕118.80_		〔bg=#FFE699,b〕795.00_		〔bg=#FFE699,b〕45.00_		〔bg=#FFE699,b〕25.00_		〔bg=#FFE699,b〕8.00_																																																																																														
				〔bg=#FFE699,b〕Center	〔bg=#E2EFDA,b〕109.20_		〔bg=#E2EFDA,b〕118.30_		〔bg=#E2EFDA,b〕115.80_		〔bg=#E2EFDA,b〕675.00_		〔bg=#E2EFDA,b〕45.00_		〔bg=#E2EFDA,b〕25.00_		〔bg=#E2EFDA,b〕8.00_																																																																																														
〔fg=#FFFFFF〕2	〔fg=#FFFFFF〕2	〔b〕STD			〔b〕101.23_	〔fg=#FF0000,b〕-7.97	〔b〕116.32_	〔fg=#FF0000,b〕-1.98	〔b〕113.77_	〔fg=#FF0000,b〕-2.03	〔b〕872.95_	〔fg=#FF0000,b〕+197.95	〔b〕13.09_	〔fg=#FF0000,b〕-31.91	〔b〕13.05_	〔fg=#FF0000,b〕-11.95	〔b〕2.02_	〔fg=#FF0000,b〕-5.98																																																																																													
〔fg=#FFFFFF〕32	〔fg=#FFFFFF〕32	〔b〕Normal			〔b〕100.24_	〔fg=#FF0000,b〕-8.96	〔b〕116.13_	〔fg=#FF0000,b〕-2.17	〔b〕114.08_	〔fg=#FF0000,b〕-1.72	〔b〕918.65_	〔fg=#FF0000,b〕+243.65	〔b〕12.03_	〔fg=#FF0000,b〕-32.97	〔b〕14.00_	〔fg=#FF0000,b〕-11.00	〔b〕2.93_	〔fg=#FF0000,b〕-5.07																																																																																													
〔fg=#FFFFFF〕54	〔fg=#FFFFFF〕54	〔b〕Test Bond SJ4765			〔b〕100.42_	〔fg=#FF0000,b〕-8.78	〔b〕116.10_	〔fg=#FF0000,b〕-2.20	〔b〕114.02_	〔fg=#FF0000,b〕-1.78	〔b〕911.02_	〔fg=#FF0000,b〕+236.02	〔b〕11.82_	〔fg=#FF0000,b〕-33.18	〔b〕12.34_	〔fg=#FF0000,b〕-12.66	〔b〕2.64_	〔fg=#FF0000,b〕-5.36																																																																																													

## RAW DATA
	〔b〕Test Sample Name 1		〔bg=#E2EFDA〕Normal					STD																														Normal																						Test Bond SJ4765																						0																						0																						0
	〔b〕Test Sample Name 2		〔bg=#E2EFDA〕Test Bond SJ4765				SPL_FREQ1	  101.2 									SPL_FREQ1	  100.3 	  100.4 	  100.5 	  100.6 	  100.3 	  100.0 	  100.2 	  100.1 	  99.9 	  100.1 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  100.2 		  100.7 	  100.3 	  100.3 	  100.6 	  100.4 	  100.3 	  100.5 	  100.8 	  100.4 	  100.0 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  100.4 		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!
	〔b〕Test Sample Name 3						SPL_FREQ2	  116.3 									SPL_FREQ2	  116.1 	  116.2 	  116.2 	  116.2 	  116.1 	  116.2 	  116.3 	  116.1 	  116.0 	  116.1 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  116.1 		  116.1 	  116.1 	  116.1 	  116.0 	  116.0 	  116.0 	  116.2 	  116.2 	  116.1 	  116.2 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  116.1 		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!
	〔b〕Test Sample Name 4						SPL_FREQ3	  113.8 									SPL_FREQ3	  114.1 	  114.0 	  114.2 	  114.0 	  114.0 	  114.1 	  114.3 	  113.9 	  114.0 	  114.2 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  114.1 		  114.0 	  114.0 	  114.1 	  113.9 	  114.0 	  114.0 	  114.0 	  113.9 	  114.0 	  114.3 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  114.0 		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!
	〔b〕Test Sample Name 5						〔b〕SPL	AVG	1	2	3	4	5					〔bg=#E2EFDA〕1	〔bg=#E2EFDA〕2	〔bg=#E2EFDA〕3	〔bg=#E2EFDA〕4	〔bg=#E2EFDA〕5	〔bg=#E2EFDA〕6	〔bg=#E2EFDA〕7	〔bg=#E2EFDA〕8	〔bg=#E2EFDA〕9	〔bg=#E2EFDA〕10	〔bg=#E2EFDA〕11	〔bg=#E2EFDA〕12	〔bg=#E2EFDA〕13	〔bg=#E2EFDA〕14	〔bg=#E2EFDA〕15	〔bg=#E2EFDA〕16	〔bg=#E2EFDA〕17	〔bg=#E2EFDA〕18	〔bg=#E2EFDA〕19	〔bg=#E2EFDA〕20	〔bg=#FFC000〕AVG		〔bg=#E2EFDA〕1	〔bg=#E2EFDA〕2	〔bg=#E2EFDA〕3	〔bg=#E2EFDA〕4	〔bg=#E2EFDA〕5	〔bg=#E2EFDA〕6	〔bg=#E2EFDA〕7	〔bg=#E2EFDA〕8	〔bg=#E2EFDA〕9	〔bg=#E2EFDA〕10	〔bg=#E2EFDA〕11	〔bg=#E2EFDA〕12	〔bg=#E2EFDA〕13	〔bg=#E2EFDA〕14	〔bg=#E2EFDA〕15	〔bg=#E2EFDA〕16	〔bg=#E2EFDA〕17	〔bg=#E2EFDA〕18	〔bg=#E2EFDA〕19	〔bg=#E2EFDA〕20	〔bg=#FFC000〕AVG		〔bg=#E2EFDA〕1	〔bg=#E2EFDA〕2	〔bg=#E2EFDA〕3	〔bg=#E2EFDA〕4	〔bg=#E2EFDA〕5	〔bg=#E2EFDA〕6	〔bg=#E2EFDA〕7	〔bg=#E2EFDA〕8	〔bg=#E2EFDA〕9	〔bg=#E2EFDA〕10	〔bg=#E2EFDA〕11	〔bg=#E2EFDA〕12	〔bg=#E2EFDA〕13	〔bg=#E2EFDA〕14	〔bg=#E2EFDA〕15	〔bg=#E2EFDA〕16	〔bg=#E2EFDA〕17	〔bg=#E2EFDA〕18	〔bg=#E2EFDA〕19	〔bg=#E2EFDA〕20	〔bg=#FFC000〕AVG		〔bg=#E2EFDA〕1	〔bg=#E2EFDA〕2	〔bg=#E2EFDA〕3	〔bg=#E2EFDA〕4	〔bg=#E2EFDA〕5	〔bg=#E2EFDA〕6	〔bg=#E2EFDA〕7	〔bg=#E2EFDA〕8	〔bg=#E2EFDA〕9	〔bg=#E2EFDA〕10	〔bg=#E2EFDA〕11	〔bg=#E2EFDA〕12	〔bg=#E2EFDA〕13	〔bg=#E2EFDA〕14	〔bg=#E2EFDA〕15	〔bg=#E2EFDA〕16	〔bg=#E2EFDA〕17	〔bg=#E2EFDA〕18	〔bg=#E2EFDA〕19	〔bg=#E2EFDA〕20	〔bg=#FFC000〕AVG		〔bg=#E2EFDA〕1	〔bg=#E2EFDA〕2	〔bg=#E2EFDA〕3	〔bg=#E2EFDA〕4	〔bg=#E2EFDA〕5	〔bg=#E2EFDA〕6	〔bg=#E2EFDA〕7	〔bg=#E2EFDA〕8	〔bg=#E2EFDA〕9	〔bg=#E2EFDA〕10	〔bg=#E2EFDA〕11	〔bg=#E2EFDA〕12	〔bg=#E2EFDA〕13	〔bg=#E2EFDA〕14	〔bg=#E2EFDA〕15	〔bg=#E2EFDA〕16	〔bg=#E2EFDA〕17	〔bg=#E2EFDA〕18	〔bg=#E2EFDA〕19	〔bg=#E2EFDA〕20	〔bg=#FFC000〕AVG
							FREQ	〔bg=#FFC000,b〕STD_AVG	〔bg=#E2EFDA,b〕STD #1	〔bg=#C6E0B4,b〕STD #2	〔bg=#C6E0B4,b〕STD #3	〔bg=#C6E0B4,b〕STD #4	〔bg=#C6E0B4,b〕STD #5	〔bg=#FFC000〕MASK	〔bg=#FFC000〕MASK			〔bg=#E2EFDA,b〕Normal #1	〔bg=#E2EFDA,b〕Normal #2	〔bg=#E2EFDA,b〕Normal #3	〔bg=#E2EFDA,b〕Normal #4	〔bg=#E2EFDA,b〕Normal #5	〔bg=#E2EFDA,b〕Normal #6	〔bg=#E2EFDA,b〕Normal #7	〔bg=#E2EFDA,b〕Normal #8	〔bg=#E2EFDA,b〕Normal #9	〔bg=#E2EFDA,b〕Normal #10	〔bg=#E2EFDA,b〕Normal #11	〔bg=#E2EFDA,b〕Normal #12	〔bg=#E2EFDA,b〕Normal #13	〔bg=#E2EFDA,b〕Normal #14	〔bg=#E2EFDA,b〕Normal #15	〔bg=#E2EFDA,b〕Normal #16	〔bg=#E2EFDA,b〕Normal #17	〔bg=#E2EFDA,b〕Normal #18	〔bg=#E2EFDA,b〕Normal #19	〔bg=#E2EFDA,b〕Normal #20	〔bg=#FFC000〕Normal_AVG		〔bg=#E2EFDA,b〕Test Bond SJ4765 #1	〔bg=#E2EFDA,b〕Test Bond SJ4765 #2	〔bg=#E2EFDA,b〕Test Bond SJ4765 #3	〔bg=#E2EFDA,b〕Test Bond SJ4765 #4	〔bg=#E2EFDA,b〕Test Bond SJ4765 #5	〔bg=#E2EFDA,b〕Test Bond SJ4765 #6	〔bg=#E2EFDA,b〕Test Bond SJ4765 #7	〔bg=#E2EFDA,b〕Test Bond SJ4765 #8	〔bg=#E2EFDA,b〕Test Bond SJ4765 #9	〔bg=#E2EFDA,b〕Test Bond SJ4765 #10	〔bg=#E2EFDA,b〕Test Bond SJ4765 #11	〔bg=#E2EFDA,b〕Test Bond SJ4765 #12	〔bg=#E2EFDA,b〕Test Bond SJ4765 #13	〔bg=#E2EFDA,b〕Test Bond SJ4765 #14	〔bg=#E2EFDA,b〕Test Bond SJ4765 #15	〔bg=#E2EFDA,b〕Test Bond SJ4765 #16	〔bg=#E2EFDA,b〕Test Bond SJ4765 #17	〔bg=#E2EFDA,b〕Test Bond SJ4765 #18	〔bg=#E2EFDA,b〕Test Bond SJ4765 #19	〔bg=#E2EFDA,b〕Test Bond SJ4765 #20	〔bg=#FFC000〕Test Bond SJ4765_AVG		〔bg=#E2EFDA,b〕 #1	〔bg=#E2EFDA,b〕 #2	〔bg=#E2EFDA,b〕 #3	〔bg=#E2EFDA,b〕 #4	〔bg=#E2EFDA,b〕 #5	〔bg=#E2EFDA,b〕 #6	〔bg=#E2EFDA,b〕 #7	〔bg=#E2EFDA,b〕 #8	〔bg=#E2EFDA,b〕 #9	〔bg=#E2EFDA,b〕 #10	〔bg=#E2EFDA,b〕 #11	〔bg=#E2EFDA,b〕 #12	〔bg=#E2EFDA,b〕 #13	〔bg=#E2EFDA,b〕 #14	〔bg=#E2EFDA,b〕 #15	〔bg=#E2EFDA,b〕 #16	〔bg=#E2EFDA,b〕 #17	〔bg=#E2EFDA,b〕 #18	〔bg=#E2EFDA,b〕 #19	〔bg=#E2EFDA,b〕 #20	〔bg=#FFC000〕_AVG		〔bg=#E2EFDA,b〕 #1	〔bg=#E2EFDA,b〕 #2	〔bg=#E2EFDA,b〕 #3	〔bg=#E2EFDA,b〕 #4	〔bg=#E2EFDA,b〕 #5	〔bg=#E2EFDA,b〕 #6	〔bg=#E2EFDA,b〕 #7	〔bg=#E2EFDA,b〕 #8	〔bg=#E2EFDA,b〕 #9	〔bg=#E2EFDA,b〕 #10	〔bg=#E2EFDA,b〕 #11	〔bg=#E2EFDA,b〕 #12	〔bg=#E2EFDA,b〕 #13	〔bg=#E2EFDA,b〕 #14	〔bg=#E2EFDA,b〕 #15	〔bg=#E2EFDA,b〕 #16	〔bg=#E2EFDA,b〕 #17	〔bg=#E2EFDA,b〕 #18	〔bg=#E2EFDA,b〕 #19	〔bg=#E2EFDA,b〕 #20	〔bg=#FFC000〕_AVG		〔bg=#E2EFDA,b〕 #1	〔bg=#E2EFDA,b〕 #2	〔bg=#E2EFDA,b〕 #3	〔bg=#E2EFDA,b〕 #4	〔bg=#E2EFDA,b〕 #5	〔bg=#E2EFDA,b〕 #6	〔bg=#E2EFDA,b〕 #7	〔bg=#E2EFDA,b〕 #8	〔bg=#E2EFDA,b〕 #9	〔bg=#E2EFDA,b〕 #10	〔bg=#E2EFDA,b〕 #11	〔bg=#E2EFDA,b〕 #12	〔bg=#E2EFDA,b〕 #13	〔bg=#E2EFDA,b〕 #14	〔bg=#E2EFDA,b〕 #15	〔bg=#E2EFDA,b〕 #16	〔bg=#E2EFDA,b〕 #17	〔bg=#E2EFDA,b〕 #18	〔bg=#E2EFDA,b〕 #19	〔bg=#E2EFDA,b〕 #20	〔bg=#FFC000〕_AVG
	〔b〕SPL MASK (GRAPH)						100	〔bg=#FFC000〕72.6519	〔bg=#C6E0B4〕72.6519					〔bg=#FFC000〕69.6519	〔bg=#FFC000〕75.6519			〔bg=#E2EFDA〕71.99933	〔bg=#E2EFDA〕71.86207	〔bg=#E2EFDA〕71.98289	〔bg=#E2EFDA〕72.08381	〔bg=#E2EFDA〕71.69303	〔bg=#E2EFDA〕71.48685	〔bg=#E2EFDA〕71.67992	〔bg=#E2EFDA〕71.51653	〔bg=#E2EFDA〕71.48021	〔bg=#E2EFDA〕71.58405											〔bg=#FFC000〕71.736869		〔bg=#E2EFDA〕72.33181	〔bg=#E2EFDA〕71.8053	〔bg=#E2EFDA〕71.71575	〔bg=#E2EFDA〕72.00629	〔bg=#E2EFDA〕71.87968	〔bg=#E2EFDA〕71.75974	〔bg=#E2EFDA〕71.98234	〔bg=#E2EFDA〕72.17046	〔bg=#E2EFDA〕71.76721	〔bg=#E2EFDA〕71.53443											〔bg=#FFC000〕71.895301																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!
	〔b〕FREQ		〔b〕MASK dB (-)	〔b〕MASK dB (+)			106	〔bg=#FFC000〕73.17095	〔bg=#C6E0B4〕73.17095					〔bg=#FFC000〕70.17095	〔bg=#FFC000〕76.17095			〔bg=#E2EFDA〕72.43995	〔bg=#E2EFDA〕72.36337	〔bg=#E2EFDA〕72.49015	〔bg=#E2EFDA〕72.61157	〔bg=#E2EFDA〕72.19924	〔bg=#E2EFDA〕72.0107	〔bg=#E2EFDA〕72.1969	〔bg=#E2EFDA〕72.04821	〔bg=#E2EFDA〕71.84698	〔bg=#E2EFDA〕72.11934											〔bg=#FFC000〕72.232641		〔bg=#E2EFDA〕72.79479	〔bg=#E2EFDA〕72.29954	〔bg=#E2EFDA〕72.2333	〔bg=#E2EFDA〕72.51818	〔bg=#E2EFDA〕72.39139	〔bg=#E2EFDA〕72.27776	〔bg=#E2EFDA〕72.42843	〔bg=#E2EFDA〕72.68102	〔bg=#E2EFDA〕72.27923	〔bg=#E2EFDA〕72.06188											〔bg=#FFC000〕72.396552																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!
	〔b〕START	〔b〕END					112	〔bg=#FFC000〕73.67849	〔bg=#C6E0B4〕73.67849					〔bg=#FFC000〕70.67849	〔bg=#FFC000〕76.67849			〔bg=#E2EFDA〕72.96435	〔bg=#E2EFDA〕72.93268	〔bg=#E2EFDA〕73.07246	〔bg=#E2EFDA〕73.16161	〔bg=#E2EFDA〕72.76615	〔bg=#E2EFDA〕72.55523	〔bg=#E2EFDA〕72.76817	〔bg=#E2EFDA〕72.58222	〔bg=#E2EFDA〕72.47546	〔bg=#E2EFDA〕72.67749											〔bg=#FFC000〕72.795582		〔bg=#E2EFDA〕73.35058	〔bg=#E2EFDA〕72.83282	〔bg=#E2EFDA〕72.80165	〔bg=#E2EFDA〕73.06503	〔bg=#E2EFDA〕72.94253	〔bg=#E2EFDA〕72.83056	〔bg=#E2EFDA〕72.97829	〔bg=#E2EFDA〕73.21508	〔bg=#E2EFDA〕72.85271	〔bg=#E2EFDA〕72.60002											〔bg=#FFC000〕72.946927																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!
	〔bg=#E2EFDA〕100	〔bg=#E2EFDA〕750	〔bg=#E2EFDA〕-3	〔bg=#E2EFDA〕3	109.2		118	〔bg=#FFC000〕74.61132	〔bg=#C6E0B4〕74.61132					〔bg=#FFC000〕71.61132	〔bg=#FFC000〕77.61132			〔bg=#E2EFDA〕73.94142	〔bg=#E2EFDA〕73.93586	〔bg=#E2EFDA〕74.0907	〔bg=#E2EFDA〕74.13911	〔bg=#E2EFDA〕73.73176	〔bg=#E2EFDA〕73.49076	〔bg=#E2EFDA〕73.79326	〔bg=#E2EFDA〕73.55186	〔bg=#E2EFDA〕73.47293	〔bg=#E2EFDA〕73.62373											〔bg=#FFC000〕73.777139		〔bg=#E2EFDA〕74.32751	〔bg=#E2EFDA〕73.89566	〔bg=#E2EFDA〕73.80178	〔bg=#E2EFDA〕74.04541	〔bg=#E2EFDA〕73.95903	〔bg=#E2EFDA〕73.82243	〔bg=#E2EFDA〕73.9325	〔bg=#E2EFDA〕74.19181	〔bg=#E2EFDA〕73.84178	〔bg=#E2EFDA〕73.58902											〔bg=#FFC000〕73.940693																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!
	〔bg=#E2EFDA〕800	〔bg=#E2EFDA〕1500	〔bg=#E2EFDA〕-2	〔bg=#E2EFDA〕2	118.3		125	〔bg=#FFC000〕75.63017	〔bg=#C6E0B4〕75.63017					〔bg=#FFC000〕72.63017	〔bg=#FFC000〕78.63017			〔bg=#E2EFDA〕74.94249	〔bg=#E2EFDA〕74.96341	〔bg=#E2EFDA〕75.13067	〔bg=#E2EFDA〕75.18985	〔bg=#E2EFDA〕74.7941	〔bg=#E2EFDA〕74.53267	〔bg=#E2EFDA〕74.8179	〔bg=#E2EFDA〕74.62702	〔bg=#E2EFDA〕74.53032	〔bg=#E2EFDA〕74.68412											〔bg=#FFC000〕74.821255		〔bg=#E2EFDA〕75.32302	〔bg=#E2EFDA〕74.92572	〔bg=#E2EFDA〕74.84335	〔bg=#E2EFDA〕75.09926	〔bg=#E2EFDA〕74.97945	〔bg=#E2EFDA〕74.8721	〔bg=#E2EFDA〕74.96535	〔bg=#E2EFDA〕75.24072	〔bg=#E2EFDA〕74.88475	〔bg=#E2EFDA〕74.62353											〔bg=#FFC000〕74.975725																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!
