## Test new jig magnetize
〔bg=#BFBFBF,b〕TITLE		〔b〕REPORT TEST NEW JIG MAGNETIZE MODEL 161016 							〔bg=#BFBFBF,b〕Dept	〔b〕ME
									〔bg=#BFBFBF,b〕Date	〔b〕06/Jun
									〔bg=#BFBFBF,b〕Marker	〔b〕Huong
〔bg=#BFBFBF,b〕I. Purpose.										
- Check new jig magnetize (Test at sub 2 model C1118)  can use or not 										
〔bg=#BFBFBF,b〕II. Content.										
- Use new jig magnetize and check Ng damage yoke and new jig after use 										
- Check gauss after use new jig 										
〔bg=#BFBFBF,b〕III. Result 										
〔b〕- Result check Ng damage yoke after use new jig magnetize ( auto ) 										
	〔b〕RESULT CHECK NG DAMAGE YOKE AFTER USE NEW JIG MAGNETIZE ( AUTO ) 									
	〔bg=#8DB4E2,b〕Date	〔bg=#8DB4E2,b〕Input	〔bg=#8DB4E2,b〕NG damage yoke	〔bg=#8DB4E2,b〕Deform yoke 	〔bg=#8DB4E2,b〕Q'Ty NG	〔bg=#8DB4E2,b〕NG Rate				
	06/Jun	100	0	0	0	〔fg=#FF0000〕0.0%				
〔b〕- Check jig damage after use : 										
	〔bg=#8DB4E2〕Date	〔bg=#FFC000〕Times test/JIG	〔bg=#8DB4E2〕Input  4JIG (8possition)	〔bg=#8DB4E2〕Before damage	〔bg=#8DB4E2〕After magnetic damage					
					〔bg=#8DB4E2〕Big	〔bg=#8DB4E2〕Small				
	6/6/2025	〔bg=#FFC000〕75	8	0	0	8				
				〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕100.0%				
〔b〕- Check gauss of sample  use new jig magnetize ( auto ) 										
	〔bg=#8DB4E2〕Date	〔bg=#8DB4E2〕Type		〔bg=#8DB4E2〕Input	〔bg=#8DB4E2〕OK	〔bg=#8DB4E2〕NG Gauss	〔bg=#8DB4E2〕NG rate			
	6/6/2025	JIG TEST	SMG short	30	30	0	〔fg=#FF0000〕0.0%			
			SMG Long	30	5	25	〔fg=#FF0000〕83.3%			
		Normal	SMG short	30	30	0	〔fg=#FF0000〕0.0%			
			SMG Long	30	30	0	〔fg=#FF0000〕0.0%			
〔bg=#BFBFBF,b〕4. Decision										
〔fg=#FF0000,b〕After magnetic JIG happen damage										

## Sheet1
〔b〕RESULT CHECK GAUSS																	
〔bg=#C5D9F1〕Type		〔bg=#C5D9F1〕#1	〔bg=#C5D9F1〕#2	〔bg=#C5D9F1〕#3	〔bg=#C5D9F1〕#4	〔bg=#C5D9F1〕#5	〔bg=#C5D9F1〕#6	〔bg=#C5D9F1〕#7	〔bg=#C5D9F1〕#8	〔bg=#C5D9F1〕#9	〔bg=#C5D9F1〕#10	〔bg=#D8E4BC〕Min	〔bg=#FABF8F〕Max	〔bg=#92D050〕Average	〔bg=#D8E4BC〕Min  Rate	〔bg=#FABF8F〕Max  Rate	〔bg=#92D050〕Average  Rate
Use new jig magnetize 	S-MG Short  Spec ( Min 700G )	796	728	843	814	715	802	750	803	785	788	〔bg=#D8E4BC〕713	〔bg=#FABF8F〕859	〔bg=#92D050〕788.383333333333	0.960916442048518	0.973922902494331	0.967578955981018
		833	746	818	793	808	791	817	854	849	833						
		767	811	808	777	809	822	755	831	794	712						
		713	748	805	796	773	838	852	749	859	843						
		786	741	755	720	736	747	725	741	830	744						
		761	833	813	719	775	804	785	811	824	825						
	S-MH Long   Spec : (Min : 1000G )	1043	957	966	930	928	1028	1030	968	1008	941	〔bg=#D8E4BC〕887	〔bg=#FABF8F〕1063	〔bg=#92D050〕984.4	0.886113886113886	0.954219030520646	0.920616612372773
		981	1006	1009	990	918	994	950	1020	1016	1031						
		1027	970	930	1012	981	1047	1031	1010	1033	887						
		993	987	939	960	916	1017	988	976	1011	928						
		1033	994	887	1003	1020	1063	932	955	985	964						
		1057	917	1006	991	899	1020	1007	1019	968	987						
Old Jig 	S-MG Short  Spec ( Min 700G )	757	797	770	808	882	775	831	833	810	878	〔bg=#D8E4BC〕742	〔bg=#FABF8F〕882	〔bg=#92D050〕814.8			
		813	850	797	794	773	807	849	742	785	830						
		800	847	815	821	870	873	878	854	807	794						
		838	803	822	808	821	820	793	823	837	763						
		789	868	811	859	791	853	826	837	774	832						
		768	794	742	783	823	813	843	786	822	806						
	S-MH Long   Spec : (Min : 1000G )	1071	1081	1001	1077	1048	1080	1099	1105	1104	1059	〔bg=#D8E4BC〕1001	〔bg=#FABF8F〕1114	〔bg=#92D050〕1069.28333333333			
		1037	1084	1091	1065	1097	1096	1103	1088	1069	1046						
		1087	1009	1114	1090	1041	1089	1064	1111	1035	1042						
		1078	1065	1093	1053	1049	1078	1056	1084	1063	1074						
		1075	1041	1091	1040	1036	1045	1037	1088	1070	1041						
		1027	1078	1063	1108	1073	1051	1101	1072	1064	1080						
