## GRAPH
		〔bg=#D9D9D9,b〕구       분			〔bg=#D9D9D9,b〕SPL(1.2W)						〔bg=#D9D9D9,b〕Fo  (675±120Hz)		〔bg=#D9D9D9,b〕THD_%  (200Hz)		〔bg=#D9D9D9,b〕THD_%  (400Hz)		〔bg=#D9D9D9,b〕THD_%  (1000Hz)																																																																																														
					〔bg=#D9D9D9,b〕100~750 Hz  (200, 400, 560, 710Hz Avg)  (109.2±3dB)		〔bg=#D9D9D9,b〕800 - 1.5kHz  (0.8, 1.0, 1.2, 1.5kHz)  (118.3±2dB)		〔bg=#D9D9D9,b〕1.6 - 14kHz  (Avg)  (115.8±3dB)																																																																																																						
		〔bg=#FFE699,b〕SPEC		〔bg=#FFE699,b〕Upper	〔bg=#FFE699,b〕112.20_		〔bg=#FFE699,b〕120.30_		〔bg=#FFE699,b〕118.80_		〔bg=#FFE699,b〕795.00_		〔bg=#FFE699,b〕45.00_		〔bg=#FFE699,b〕25.00_		〔bg=#FFE699,b〕8.00_																																																																																														
				〔bg=#FFE699,b〕Center	〔bg=#E2EFDA,b〕109.20_		〔bg=#E2EFDA,b〕118.30_		〔bg=#E2EFDA,b〕115.80_		〔bg=#E2EFDA,b〕675.00_		〔bg=#E2EFDA,b〕45.00_		〔bg=#E2EFDA,b〕25.00_		〔bg=#E2EFDA,b〕8.00_																																																																																														
〔fg=#FFFFFF〕2	〔fg=#FFFFFF〕2	〔b〕STD			〔b〕108.57_	〔fg=#FF0000,b〕-0.63	〔b〕117.35_	〔fg=#FF0000,b〕-0.95	〔b〕115.13_	〔fg=#FF0000,b〕-0.67	〔b〕653.44_	〔fg=#FF0000,b〕-21.56	〔b〕25.08_	〔fg=#FF0000,b〕-19.92	〔b〕8.83_	〔fg=#FF0000,b〕-16.17	〔b〕2.93_	〔fg=#FF0000,b〕-5.07																																																																																													
〔fg=#FFFFFF〕32	〔fg=#FFFFFF〕32	〔b〕Normal			〔b〕108.42_	〔fg=#FF0000,b〕-0.78	〔b〕117.18_	〔fg=#FF0000,b〕-1.12	〔b〕115.15_	〔fg=#FF0000,b〕-0.65	〔b〕652.24_	〔fg=#FF0000,b〕-22.76	〔b〕30.86_	〔fg=#FF0000,b〕-14.14	〔b〕12.29_	〔fg=#FF0000,b〕-12.71	〔b〕3.91_	〔fg=#FF0000,b〕-4.09																																																																																													
〔fg=#FFFFFF〕54	〔fg=#FFFFFF〕54	〔b〕SJ4774			〔b〕108.04_	〔fg=#FF0000,b〕-1.16	〔b〕117.07_	〔fg=#FF0000,b〕-1.23	〔b〕115.19_	〔fg=#FF0000,b〕-0.61	〔b〕662.91_	〔fg=#FF0000,b〕-12.09	〔b〕31.73_	〔fg=#FF0000,b〕-13.27	〔b〕13.62_	〔fg=#FF0000,b〕-11.38	〔b〕4.25_	〔fg=#FF0000,b〕-3.75																																																																																													
〔fg=#FFFFFF〕76	〔fg=#FFFFFF〕76	〔b〕VE562850			〔b〕108.54_	〔fg=#FF0000,b〕-0.66	〔b〕116.99_	〔fg=#FF0000,b〕-1.31	〔b〕115.14_	〔fg=#FF0000,b〕-0.66	〔b〕637.46_	〔fg=#FF0000,b〕-37.54	〔b〕30.25_	〔fg=#FF0000,b〕-14.75	〔b〕12.60_	〔fg=#FF0000,b〕-12.40	〔b〕4.05_	〔fg=#FF0000,b〕-3.95																																																																																													

## RAW DATA
	〔b〕Test Sample Name 1		〔bg=#E2EFDA〕Normal					STD																Normal												SJ4774												VE562850																						0																						0
	〔b〕Test Sample Name 2		〔bg=#E2EFDA〕SJ4774				SPL_FREQ1	  108.6 					SPL_FREQ1	  108.5 	  108.3 	  109.1 	  108.0 	  108.4 	  108.2 	  107.8 	  108.7 	  108.9 	  108.3 	  108.4 		  108.1 	  108.0 	  107.9 	  108.0 	  108.1 	  108.1 	  108.3 	  107.9 	  108.1 	  107.9 	  108.0 		  108.6 	  108.5 	  108.6 	  108.6 	  108.7 	  108.4 	  108.6 	  108.5 	  108.4 	  108.6 	  108.5 		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!
	〔b〕Test Sample Name 3		〔bg=#E2EFDA〕VE562850				SPL_FREQ2	  117.4 					SPL_FREQ2	  117.0 	  117.2 	  117.5 	  117.1 	  117.0 	  116.9 	  117.3 	  117.3 	  117.4 	  117.1 	  117.2 		  117.0 	  117.2 	  117.1 	  117.2 	  117.1 	  117.1 	  117.0 	  117.1 	  117.1 	  116.9 	  117.1 		  117.2 	  117.0 	  117.5 	  116.9 	  117.0 	  116.9 	  116.8 	  116.8 	  116.8 	  116.9 	  117.0 		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!
	〔b〕Test Sample Name 4						SPL_FREQ3	  115.1 					SPL_FREQ3	  115.1 	  115.2 	  115.2 	  115.1 	  115.1 	  115.1 	  115.2 	  115.2 	  115.2 	  115.2 	  115.2 		  115.1 	  115.4 	  115.3 	  115.2 	  115.2 	  115.2 	  115.0 	  115.2 	  115.2 	  115.1 	  115.2 		  115.2 	  115.0 	  115.5 	  115.1 	  115.0 	  115.2 	  115.0 	  115.2 	  115.1 	  115.1 	  115.1 		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!		  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	  - 	#DIV/0!
	〔b〕Test Sample Name 5						〔b〕SPL	AVG	1					〔bg=#E2EFDA〕1	〔bg=#E2EFDA〕2	〔bg=#E2EFDA〕3	〔bg=#E2EFDA〕4	〔bg=#E2EFDA〕5	〔bg=#E2EFDA〕6	〔bg=#E2EFDA〕7	〔bg=#E2EFDA〕8	〔bg=#E2EFDA〕9	〔bg=#E2EFDA〕10	〔bg=#FFC000〕AVG		〔bg=#E2EFDA〕1	〔bg=#E2EFDA〕2	〔bg=#E2EFDA〕3	〔bg=#E2EFDA〕4	〔bg=#E2EFDA〕5	〔bg=#E2EFDA〕6	〔bg=#E2EFDA〕7	〔bg=#E2EFDA〕8	〔bg=#E2EFDA〕9	〔bg=#E2EFDA〕10	〔bg=#FFC000〕AVG		〔bg=#E2EFDA〕1	〔bg=#E2EFDA〕2	〔bg=#E2EFDA〕3	〔bg=#E2EFDA〕4	〔bg=#E2EFDA〕5	〔bg=#E2EFDA〕6	〔bg=#E2EFDA〕7	〔bg=#E2EFDA〕8	〔bg=#E2EFDA〕9	〔bg=#E2EFDA〕10	〔bg=#FFC000〕AVG		〔bg=#E2EFDA〕1	〔bg=#E2EFDA〕2	〔bg=#E2EFDA〕3	〔bg=#E2EFDA〕4	〔bg=#E2EFDA〕5	〔bg=#E2EFDA〕6	〔bg=#E2EFDA〕7	〔bg=#E2EFDA〕8	〔bg=#E2EFDA〕9	〔bg=#E2EFDA〕10	〔bg=#E2EFDA〕11	〔bg=#E2EFDA〕12	〔bg=#E2EFDA〕13	〔bg=#E2EFDA〕14	〔bg=#E2EFDA〕15	〔bg=#E2EFDA〕16	〔bg=#E2EFDA〕17	〔bg=#E2EFDA〕18	〔bg=#E2EFDA〕19	〔bg=#E2EFDA〕20	〔bg=#FFC000〕AVG		〔bg=#E2EFDA〕1	〔bg=#E2EFDA〕2	〔bg=#E2EFDA〕3	〔bg=#E2EFDA〕4	〔bg=#E2EFDA〕5	〔bg=#E2EFDA〕6	〔bg=#E2EFDA〕7	〔bg=#E2EFDA〕8	〔bg=#E2EFDA〕9	〔bg=#E2EFDA〕10	〔bg=#E2EFDA〕11	〔bg=#E2EFDA〕12	〔bg=#E2EFDA〕13	〔bg=#E2EFDA〕14	〔bg=#E2EFDA〕15	〔bg=#E2EFDA〕16	〔bg=#E2EFDA〕17	〔bg=#E2EFDA〕18	〔bg=#E2EFDA〕19	〔bg=#E2EFDA〕20	〔bg=#FFC000〕AVG
							FREQ	〔bg=#FFC000,b〕STD_AVG	〔bg=#E2EFDA,b〕STD #1	〔bg=#FFC000〕MASK	〔bg=#FFC000〕MASK			〔bg=#E2EFDA,b〕Normal #1	〔bg=#E2EFDA,b〕Normal #2	〔bg=#E2EFDA,b〕Normal #3	〔bg=#E2EFDA,b〕Normal #4	〔bg=#E2EFDA,b〕Normal #5	〔bg=#E2EFDA,b〕Normal #6	〔bg=#E2EFDA,b〕Normal #7	〔bg=#E2EFDA,b〕Normal #8	〔bg=#E2EFDA,b〕Normal #9	〔bg=#E2EFDA,b〕Normal #10	〔bg=#FFC000〕Normal_AVG		〔bg=#E2EFDA,b〕SJ4774 #1	〔bg=#E2EFDA,b〕SJ4774 #2	〔bg=#E2EFDA,b〕SJ4774 #3	〔bg=#E2EFDA,b〕SJ4774 #4	〔bg=#E2EFDA,b〕SJ4774 #5	〔bg=#E2EFDA,b〕SJ4774 #6	〔bg=#E2EFDA,b〕SJ4774 #7	〔bg=#E2EFDA,b〕SJ4774 #8	〔bg=#E2EFDA,b〕SJ4774 #9	〔bg=#E2EFDA,b〕SJ4774 #10	〔bg=#FFC000〕SJ4774_AVG		〔bg=#E2EFDA,b〕VE562850 #1	〔bg=#E2EFDA,b〕VE562850 #2	〔bg=#E2EFDA,b〕VE562850 #3	〔bg=#E2EFDA,b〕VE562850 #4	〔bg=#E2EFDA,b〕VE562850 #5	〔bg=#E2EFDA,b〕VE562850 #6	〔bg=#E2EFDA,b〕VE562850 #7	〔bg=#E2EFDA,b〕VE562850 #8	〔bg=#E2EFDA,b〕VE562850 #9	〔bg=#E2EFDA,b〕VE562850 #10	〔bg=#FFC000〕VE562850_AVG		〔bg=#E2EFDA,b〕 #1	〔bg=#E2EFDA,b〕 #2	〔bg=#E2EFDA,b〕 #3	〔bg=#E2EFDA,b〕 #4	〔bg=#E2EFDA,b〕 #5	〔bg=#E2EFDA,b〕 #6	〔bg=#E2EFDA,b〕 #7	〔bg=#E2EFDA,b〕 #8	〔bg=#E2EFDA,b〕 #9	〔bg=#E2EFDA,b〕 #10	〔bg=#E2EFDA,b〕 #11	〔bg=#E2EFDA,b〕 #12	〔bg=#E2EFDA,b〕 #13	〔bg=#E2EFDA,b〕 #14	〔bg=#E2EFDA,b〕 #15	〔bg=#E2EFDA,b〕 #16	〔bg=#E2EFDA,b〕 #17	〔bg=#E2EFDA,b〕 #18	〔bg=#E2EFDA,b〕 #19	〔bg=#E2EFDA,b〕 #20	〔bg=#FFC000〕_AVG		〔bg=#E2EFDA,b〕 #1	〔bg=#E2EFDA,b〕 #2	〔bg=#E2EFDA,b〕 #3	〔bg=#E2EFDA,b〕 #4	〔bg=#E2EFDA,b〕 #5	〔bg=#E2EFDA,b〕 #6	〔bg=#E2EFDA,b〕 #7	〔bg=#E2EFDA,b〕 #8	〔bg=#E2EFDA,b〕 #9	〔bg=#E2EFDA,b〕 #10	〔bg=#E2EFDA,b〕 #11	〔bg=#E2EFDA,b〕 #12	〔bg=#E2EFDA,b〕 #13	〔bg=#E2EFDA,b〕 #14	〔bg=#E2EFDA,b〕 #15	〔bg=#E2EFDA,b〕 #16	〔bg=#E2EFDA,b〕 #17	〔bg=#E2EFDA,b〕 #18	〔bg=#E2EFDA,b〕 #19	〔bg=#E2EFDA,b〕 #20	〔bg=#FFC000〕_AVG
	〔b〕SPL MASK (GRAPH)						100	〔bg=#FFC000〕79.28992	〔bg=#C6E0B4〕79.28992	〔bg=#FFC000〕76.28992	〔bg=#FFC000〕82.28992			〔bg=#E2EFDA〕80.13198	〔bg=#E2EFDA〕80.06066	〔bg=#E2EFDA〕80.04607	〔bg=#E2EFDA〕79.58725	〔bg=#E2EFDA〕80.03052	〔bg=#E2EFDA〕80.08959	〔bg=#E2EFDA〕79.11566	〔bg=#E2EFDA〕79.86098	〔bg=#E2EFDA〕80.07065	〔bg=#E2EFDA〕79.90137	〔bg=#FFC000〕79.889473		〔bg=#E2EFDA〕79.36177	〔bg=#E2EFDA〕79.70277	〔bg=#E2EFDA〕79.40345	〔bg=#E2EFDA〕79.4392	〔bg=#E2EFDA〕79.613	〔bg=#E2EFDA〕79.78108	〔bg=#E2EFDA〕79.82166	〔bg=#E2EFDA〕79.45089	〔bg=#E2EFDA〕79.66804	〔bg=#E2EFDA〕79.59849	〔bg=#FFC000〕79.584035		〔bg=#E2EFDA〕79.97718	〔bg=#E2EFDA〕80.07917	〔bg=#E2EFDA〕80.05363	〔bg=#E2EFDA〕80.45417	〔bg=#E2EFDA〕80.15946	〔bg=#E2EFDA〕80.42262	〔bg=#E2EFDA〕80.4651	〔bg=#E2EFDA〕80.35264	〔bg=#E2EFDA〕79.87864	〔bg=#E2EFDA〕80.4208	〔bg=#FFC000〕80.226341																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!
	〔b〕FREQ		〔b〕MASK dB (-)	〔b〕MASK dB (+)			106	〔bg=#FFC000〕79.74976	〔bg=#C6E0B4〕79.74976	〔bg=#FFC000〕76.74976	〔bg=#FFC000〕82.74976			〔bg=#E2EFDA〕80.60027	〔bg=#E2EFDA〕80.46373	〔bg=#E2EFDA〕80.5255	〔bg=#E2EFDA〕80.07396	〔bg=#E2EFDA〕80.43893	〔bg=#E2EFDA〕80.56649	〔bg=#E2EFDA〕79.5854	〔bg=#E2EFDA〕80.33118	〔bg=#E2EFDA〕80.51169	〔bg=#E2EFDA〕80.38246	〔bg=#FFC000〕80.347961		〔bg=#E2EFDA〕79.87724	〔bg=#E2EFDA〕80.19352	〔bg=#E2EFDA〕79.91884	〔bg=#E2EFDA〕79.94439	〔bg=#E2EFDA〕80.10591	〔bg=#E2EFDA〕80.21101	〔bg=#E2EFDA〕80.34921	〔bg=#E2EFDA〕79.93698	〔bg=#E2EFDA〕80.14056	〔bg=#E2EFDA〕80.09122	〔bg=#FFC000〕80.076888		〔bg=#E2EFDA〕80.48573	〔bg=#E2EFDA〕80.58323	〔bg=#E2EFDA〕80.54598	〔bg=#E2EFDA〕80.93977	〔bg=#E2EFDA〕80.65622	〔bg=#E2EFDA〕80.87398	〔bg=#E2EFDA〕80.95139	〔bg=#E2EFDA〕80.84618	〔bg=#E2EFDA〕80.42448	〔bg=#E2EFDA〕80.90333	〔bg=#FFC000〕80.721029																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!
	〔b〕START	〔b〕END					112	〔bg=#FFC000〕80.30372	〔bg=#C6E0B4〕80.30372	〔bg=#FFC000〕77.30372	〔bg=#FFC000〕83.30372			〔bg=#E2EFDA〕81.14452	〔bg=#E2EFDA〕80.94209	〔bg=#E2EFDA〕81.09509	〔bg=#E2EFDA〕80.61657	〔bg=#E2EFDA〕81.00516	〔bg=#E2EFDA〕81.10803	〔bg=#E2EFDA〕80.14604	〔bg=#E2EFDA〕80.89402	〔bg=#E2EFDA〕81.07183	〔bg=#E2EFDA〕80.91327	〔bg=#FFC000〕80.893662		〔bg=#E2EFDA〕80.4754	〔bg=#E2EFDA〕80.75407	〔bg=#E2EFDA〕80.4904	〔bg=#E2EFDA〕80.49886	〔bg=#E2EFDA〕80.69179	〔bg=#E2EFDA〕80.78912	〔bg=#E2EFDA〕80.92267	〔bg=#E2EFDA〕80.49255	〔bg=#E2EFDA〕80.68425	〔bg=#E2EFDA〕80.65841	〔bg=#FFC000〕80.645752		〔bg=#E2EFDA〕81.0452	〔bg=#E2EFDA〕81.13809	〔bg=#E2EFDA〕81.08094	〔bg=#E2EFDA〕81.48304	〔bg=#E2EFDA〕81.2002	〔bg=#E2EFDA〕81.39749	〔bg=#E2EFDA〕81.49424	〔bg=#E2EFDA〕81.40122	〔bg=#E2EFDA〕81.04211	〔bg=#E2EFDA〕81.44536	〔bg=#FFC000〕81.272789																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!
	〔bg=#E2EFDA〕100	〔bg=#E2EFDA〕750	〔bg=#E2EFDA〕-3	〔bg=#E2EFDA〕3	109.2		118	〔bg=#FFC000〕81.29469	〔bg=#C6E0B4〕81.29469	〔bg=#FFC000〕78.29469	〔bg=#FFC000〕84.29469			〔bg=#E2EFDA〕82.12116	〔bg=#E2EFDA〕81.90911	〔bg=#E2EFDA〕82.09295	〔bg=#E2EFDA〕81.57077	〔bg=#E2EFDA〕81.99827	〔bg=#E2EFDA〕82.04818	〔bg=#E2EFDA〕81.13729	〔bg=#E2EFDA〕81.87401	〔bg=#E2EFDA〕82.04936	〔bg=#E2EFDA〕81.88652	〔bg=#FFC000〕81.868762		〔bg=#E2EFDA〕81.50998	〔bg=#E2EFDA〕81.7343	〔bg=#E2EFDA〕81.50063	〔bg=#E2EFDA〕81.49587	〔bg=#E2EFDA〕81.69595	〔bg=#E2EFDA〕81.78828	〔bg=#E2EFDA〕81.92499	〔bg=#E2EFDA〕81.51258	〔bg=#E2EFDA〕81.67003	〔bg=#E2EFDA〕81.65137	〔bg=#FFC000〕81.648398		〔bg=#E2EFDA〕82.03334	〔bg=#E2EFDA〕82.13245	〔bg=#E2EFDA〕82.05518	〔bg=#E2EFDA〕82.45469	〔bg=#E2EFDA〕82.1895	〔bg=#E2EFDA〕82.37745	〔bg=#E2EFDA〕82.47599	〔bg=#E2EFDA〕82.39781	〔bg=#E2EFDA〕82.07112	〔bg=#E2EFDA〕82.43802	〔bg=#FFC000〕82.262555																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!
	〔bg=#E2EFDA〕800	〔bg=#E2EFDA〕1500	〔bg=#E2EFDA〕-2	〔bg=#E2EFDA〕2	118.3		125	〔bg=#FFC000〕82.35455	〔bg=#C6E0B4〕82.35455	〔bg=#FFC000〕79.35455	〔bg=#FFC000〕85.35455			〔bg=#E2EFDA〕83.16608	〔bg=#E2EFDA〕82.94876	〔bg=#E2EFDA〕83.15319	〔bg=#E2EFDA〕82.61979	〔bg=#E2EFDA〕83.05636	〔bg=#E2EFDA〕83.10179	〔bg=#E2EFDA〕82.19532	〔bg=#E2EFDA〕82.94365	〔bg=#E2EFDA〕83.08733	〔bg=#E2EFDA〕82.92763	〔bg=#FFC000〕82.91999		〔bg=#E2EFDA〕82.61017	〔bg=#E2EFDA〕82.81147	〔bg=#E2EFDA〕82.57764	〔bg=#E2EFDA〕82.56476	〔bg=#E2EFDA〕82.74084	〔bg=#E2EFDA〕82.8317	〔bg=#E2EFDA〕83.0153	〔bg=#E2EFDA〕82.5673	〔bg=#E2EFDA〕82.74907	〔bg=#E2EFDA〕82.72967	〔bg=#FFC000〕82.719792		〔bg=#E2EFDA〕83.10151	〔bg=#E2EFDA〕83.17828	〔bg=#E2EFDA〕83.08133	〔bg=#E2EFDA〕83.52265	〔bg=#E2EFDA〕83.25807	〔bg=#E2EFDA〕83.41609	〔bg=#E2EFDA〕83.5245	〔bg=#E2EFDA〕83.45603	〔bg=#E2EFDA〕83.1418	〔bg=#E2EFDA〕83.49689	〔bg=#FFC000〕83.317715																						〔bg=#FFC000〕#DIV/0!																						〔bg=#FFC000〕#DIV/0!
