GroupId,GSortOrder,GroupName,Material,LineShift,ISortOrder
17,0,"SPK","BRS-161011S08ZZ","BRS-161011S08ZZ_B2FA",0
17,0,"SPK","BRS-161011S08ZZ","BRS-161011S08ZZ_D24A",1
17,0,"SPK","BRS-161011S08ZZ","BRS-161011S08ZZ_D29A",2
17,0,"SPK","BRS-161014S08ZZ","BRS-161014S08ZZ_E23A",3
17,0,"SPK","BRS-161014S08ZZ","BRS-161014S08ZZ_E23B",4
17,0,"SPK","BRS-161016S08ZZ","BRS-161016S08ZZ_C23A",5
17,0,"SPK","BRS-161016S08ZZ","BRS-161016S08ZZ_C23B",6
17,0,"SPK","BRS-161016S08ZZ","BRS-161016S08ZZ_C26A",7
17,0,"SPK","BRS-161016S08ZZ","BRS-161016S08ZZ_C26B",8
17,0,"SPK","BRS-161016S08ZZ","BRS-161016S08ZZ_E23A",9
17,0,"SPK","BRS-161016S08ZZ","BRS-161016S08ZZ_E23B",10
17,0,"SPK","BRS-181389S08ZZ","BRS-181389S08ZZ_B25A",11
17,0,"SPK","BRS-181389S08ZZ","BRS-181389S08ZZ_C29A",12
17,0,"SPK","BRS-181389S08ZZ","BRS-181389S08ZZ_C2AA",13
17,0,"SPK","BRS-201506S08ZZ","BRS-201506S08ZZ_C22A",14
17,0,"SPK","BRS-201506S08ZZ","BRS-201506S08ZZ_C22B",15
17,0,"SPK","BRS-201506S08ZZ","BRS-201506S08ZZ_C23A",16
17,0,"SPK","BRS-201506S08ZZ","BRS-201506S08ZZ_E24A",17
17,0,"SPK","BRS-201506S08ZZ","BRS-201506S08ZZ_E24B",18
17,0,"SPK","MSU-L20S15-07","MSU-L20S15-07_C22A",19
17,0,"SPK","MSU-L20S15-07","MSU-L20S15-07_C22B",20
17,0,"SPK","MSU-L20S15-07","MSU-L20S15-07_E24A",21
17,0,"SPK","MSU-L20S15-07","MSU-L20S15-07_E24B",22
18,1,"MODULE","SI-SM-G736B","SI-SM-G736B_B23A",0
18,1,"MODULE","SI-SM-G736B","SI-SM-G736B_B28A",1
18,1,"MODULE","SI-SM-G736B","SI-SM-G736B_B2CA",2
18,1,"MODULE","SI-SM-G736B","SI-SM-G736B_B2DA",3
18,1,"MODULE","SI-SM-S908U","SI-SM-S908U_B2AA",4
18,1,"MODULE","SI-SM-S908U","SI-SM-S908U_B2BA",5
18,1,"MODULE","SI-SM-S908U","SI-SM-S908U_B2GA",6
18,1,"MODULE","SI-SM-S908U","SI-SM-S908U_B2HA",7
18,1,"MODULE","MSM-S921B","MSM-S921B_B28A",8
18,1,"MODULE","MSM-S921B","MSM-S921B_B28B",9
18,1,"MODULE","MSM-S926U","MSM-S926U_B23A",10
18,1,"MODULE","MSM-S926U","MSM-S926U_B24A",11
18,1,"MODULE","MSM-S926U","MSM-S926U_B24B",12
18,1,"MODULE","MSM-S926U","MSM-S926U_B28A",13
18,1,"MODULE","MSM-S926U","MSM-S926U_SAMP",14
18,1,"MODULE","MSM-S931B","MSM-S931B_B23A",15
18,1,"MODULE","MSM-S931B","MSM-S931B_B2AA",16
18,1,"MODULE","MSM-S931B","MSM-S931B_B2AB",17
18,1,"MODULE","MSM-S936U","MSM-S936U_B25A",18
18,1,"MODULE","MSM-S936U","MSM-S936U_B25B",19
18,1,"MODULE","MSM-S936U","MSM-S936U_B27A",20
18,1,"MODULE","MSM-S936U","MSM-S936U_B28A",21
18,1,"MODULE","MSM-S936U","MSM-S936U_E22A",22
18,1,"MODULE","MSM-X526B-BOTTOM","MSM-X526B-BOTTOM_A21A",23
18,1,"MODULE","MSM-X526B-BOTTOM","MSM-X526B-BOTTOM_B21A",24
18,1,"MODULE","MSM-X526B-BOTTOM","MSM-X526B-BOTTOM_B21B",25
18,1,"MODULE","MSM-X526B-TOP","MSM-X526B-TOP_B23A",26
18,1,"MODULE","MSM-X526B-TOP","MSM-X526B-TOP_B23B",27
18,1,"MODULE","MSM-X526B-TOP","MSM-X526B-TOP_B24A",28
18,1,"MODULE","MSM-X526B-TOP","MSM-X526B-TOP_B24B",29
18,1,"MODULE","MSM-X526B-TOP","MSM-X526B-TOP_B27A",30
18,1,"MODULE","MSM-X626B-BOTTOM","MSM-X626B-BOTTOM_B23A",31
18,1,"MODULE","MSM-X626B-TOP","MSM-X626B-TOP_B22A",32
19,2,"UNIT","TIU-C11-18-L-ZZ","TIU-C11-18-L-ZZ_E21A",0
19,2,"UNIT","TIU-C11-18-L-ZZ","TIU-C11-18-L-ZZ_E21B",1
19,2,"UNIT","TIU-C11-18-R-ZZ","TIU-C11-18-R-ZZ_E21A",2
19,2,"UNIT","TIU-C11-18-R-ZZ","TIU-C11-18-R-ZZ_E21B",3
19,2,"UNIT","TIU-C11-18-R-ZZ","TIU-C11-18-R-ZZ_E22A",4
19,2,"UNIT","TIU-C11-18-R-ZZ","TIU-C11-18-R-ZZ_E22B",5
19,2,"UNIT","TIU-L5S3-01-L-ZZ","TIU-L5S3-01-L-ZZ_D33A",6
19,2,"UNIT","TIU-L5S3-01-L-ZZ","TIU-L5S3-01-L-ZZ_D33B",7
19,2,"UNIT","TIU-L5S3-01-R-ZZ","TIU-L5S3-01-R-ZZ_D34A",8
19,2,"UNIT","TIU-L5S3-01-R-ZZ","TIU-L5S3-01-R-ZZ_D34B",9
19,2,"UNIT","TIU-C11-20-L-ZZ","TIU-C11-20-L-ZZ_D31A",10
19,2,"UNIT","TIU-C11-20-L-ZZ","TIU-C11-20-L-ZZ_D31B",11
19,2,"UNIT","TIU-C11-20-R-ZZ","TIU-C11-20-R-ZZ_D32A",12
19,2,"UNIT","TIU-C11-20-R-ZZ","TIU-C11-20-R-ZZ_D32B",13
20,3,"TWS","338-RA-L","ASSY BRACKET-338-INNER-L_C24A",0
20,3,"TWS","338-RA-L","ASSY BRACKET-338-INNER-L_C24B",1
20,3,"TWS","338-RA-L","ASSY BRACKET-338-INNER-L_C26A",2
20,3,"TWS","338-RA-L","ASSY BRACKET-338-INNER-L_C26B",3
20,3,"TWS","338-RA-L","ASSY F-PCB-338-L_C2AB",4
20,3,"TWS","338-RA-L","ASSY F-PCB-338-L_C2BB",5
20,3,"TWS","338-RA-L","ASSY REAR-338-AP-L-RA1_C22A",6
20,3,"TWS","338-RA-L","ASSY REAR-338-AP-L-RA1_C22B",7
20,3,"TWS","338-RA-L","ASSY REAR-338-BK-L-RA1_C22A",8
20,3,"TWS","338-RA-L","ASSY REAR-338-BK-L-RA1_C22B",9
20,3,"TWS","338-RA-L","ASSY REAR-338-WH-L-RA1_C22A",10
20,3,"TWS","338-RA-L","ASSY REAR-338-WH-L-RA1_C22B",11
20,3,"TWS","338-RA-R","ASSY BRACKET-338-INNER-R_C23A",12
20,3,"TWS","338-RA-R","ASSY BRACKET-338-INNER-R_C23B",13
20,3,"TWS","338-RA-R","ASSY BRACKET-338-INNER-R_C24A",14
20,3,"TWS","338-RA-R","ASSY BRACKET-338-INNER-R_C24B",15
20,3,"TWS","338-RA-R","ASSY F-PCB-338-R_C2AA",16
20,3,"TWS","338-RA-R","ASSY F-PCB-338-R_C2BA",17
20,3,"TWS","338-RA-R","ASSY REAR-338-AP-R-RA1_C21A",18
20,3,"TWS","338-RA-R","ASSY REAR-338-AP-R-RA1_C21B",19
20,3,"TWS","338-RA-R","ASSY REAR-338-BK-R-RA1_C21A",20
20,3,"TWS","338-RA-R","ASSY REAR-338-BK-R-RA1_C21B",21
20,3,"TWS","338-RA-R","ASSY REAR-338-WH-R-RA1_C21A",22
20,3,"TWS","338-RA-R","ASSY REAR-338-WH-R-RA1_C21B",23
