"Source","SourceFile","ProductGroup","GroupSort","GroupName","Material","LineShift"
"JSON","161016.json","SPK","0","BRS-161016S08ZZ","BRS-161016S08ZZ","BRS-161016S08ZZ_E23A"
"JSON","161016.json","SPK","0","BRS-161016S08ZZ","BRS-161016S08ZZ","BRS-161016S08ZZ_E23B"
"JSON","161016.json","SPK","0","BRS-161016S08ZZ","YOKE ASSY(161016)","YOKE ASSY(161016)_E23A"
"JSON","161016.json","SPK","0","BRS-161016S08ZZ","YOKE ASSY(161016)","YOKE ASSY(161016)_E23B"
"JSON","181389.json","SPK","0","181389","BRS-181389S08ZZ","BRS-181389S08ZZ_B25A"
"JSON","181389.json","SPK","0","181389","BRS-181389S08ZZ","BRS-181389S08ZZ_C29A"
"JSON","181389.json","SPK","1","181389_b25a","BRS-181389S08ZZ","BRS-181389S08ZZ_B25A"
"JSON","201507.json","SPK","0","MSU-L20S15-07_E2","MSU-L20S15-07","MSU-L20S15-07_E24A"
"JSON","201507.json","SPK","0","MSU-L20S15-07_E2","MSU-L20S15-07","MSU-L20S15-07_E24B"
"JSON","201507.json","SPK","1","MSU-L20S15-07_E24A","MSU-L20S15-07","MSU-L20S15-07_E24A"
"JSON","201507.json","SPK","2","MSU-L20S15-07_E24B","MSU-L20S15-07","MSU-L20S15-07_E24B"
"JSON","526TOP.json","MODULE","0","a","MSM-X526B-TOP","MSM-X526B-TOP_B23A"
"JSON","526TOP.json","MODULE","0","a","MSM-X526B-TOP","MSM-X526B-TOP_B23B"
"JSON","526TOP.json","MODULE","0","a","MSM-X526B-TOP","MSM-X526B-TOP_B24A"
"JSON","526TOP.json","MODULE","0","a","MSM-X526B-TOP","MSM-X526B-TOP_B24B"
"JSON","526TOP.json","MODULE","0","a","MSM-X526B-TOP","MSM-X526B-TOP_B27A"
"JSON","626BOTTOM.json","MODULE","0","A","MSM-X626B-TOP","MSM-X626B-TOP_B22A"
"JSON","S931.json","MODULE","0","MSM-S931B","MSM-S931B","MSM-S931B_B2AA"
